レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202609081001,2026-09-08,10,01R,08:32,2026-09-08T08:22:21.009905+09:00,4.2,5.7,26.1,6.2,14.2,27.6,15.0,19.1,8.7,17.7,24.8,41.4,55.2,10.5,18.4,99.4,49.7,35.5,165.7,31.0,1.1,1.7,2.2,3.8,1.5,2.1,6.1,9.3,2.0,2.4,5.8,25.1,1.4,2.7,0.0,0.0,7.5,16.7,5.5,10.2,0.0,0.0,9.1,16.7,9.6,16.5,6.6,8.5,9.9,16.7,1.0,12.0,36.0,36.0,5.1,18.0,1.0,1.0,1.0,3.8,0.0,0.0,3.7,21.3,2.6,14.2,3.7,21.3
202609081401,2026-09-08,14,01R,08:44,2026-09-08T08:34:26.413811+09:00,8.4,2.7,87.8,7.0,9.4,81.0,15.2,36.3,3.0,43.9,65.8,131.7,150.5,263.4,14.6,263.4,117.0,50.1,263.4,150.5,1.6,2.2,2.7,3.8,1.0,1.2,6.8,9.3,1.3,1.7,20.8,25.7,2.6,4.4,22.0,25.7,6.2,8.9,5.7,8.8,23.7,25.7,11.9,15.7,7.7,11.1,2.4,4.2,61.2,75.7,1.0,22.7,73.8,32.8,98.5,49.2,1.0,1.0,3.3,10.8,2.3,7.3,1.5,4.5,3.3,10.8,1.8,5.6
202609081002,2026-09-08,10,02R,08:58,2026-09-08T08:48:17.322604+09:00,2.1,6.2,3.7,32.8,16.4,12.9,106.6,16.4,142.2,60.9,32.8,19.3,60.9,85.3,71.1,426.7,60.9,53.3,213.3,213.3,1.0,1.0,1.8,7.0,3.6,12.0,3.5,23.6,0.0,0.0,1.1,2.8,2.6,7.7,2.1,6.1,10.8,22.5,6.8,23.6,0.0,0.0,27.0,94.5,0.0,0.0,15.2,47.2,0.0,0.0,1.2,4.8,9.7,0.0,4.8,0.0,1.0,1.3,1.7,6.0,4.5,18.0,1.2,3.6,2.4,9.0,0.0,0.0
202609081402,2026-09-08,14,02R,09:10,2026-09-08T09:00:35.829690+09:00,3.0,3.3,8.8,39.1,18.2,39.1,54.8,24.1,43.2,102.7,8.1,13.7,45.6,13.0,30.4,74.7,68.5,45.6,411.0,82.2,1.1,1.2,2.7,4.3,2.0,3.1,3.9,5.7,10.0,14.0,1.8,2.6,1.6,2.3,3.5,5.1,7.6,10.6,3.4,4.3,9.5,11.1,37.7,42.2,7.6,8.9,18.8,21.2,20.5,21.5,2.0,1.8,14.5,5.4,21.7,43.5,1.0,3.2,1.0,1.0,6.1,37.8,4.2,25.2,4.2,25.2,0.0,0.0
202609081003,2026-09-08,10,03R,09:24,2026-09-08T09:14:24.002426+09:00,5.1,5.0,27.7,27.7,3.8,11.1,9.2,15.5,7.3,43.1,25.9,38.8,38.8,97.1,55.5,129.5,48.5,48.5,129.5,77.7,1.6,2.0,1.5,2.5,1.2,1.5,5.6,6.5,2.2,3.2,2.6,4.8,3.8,5.8,11.6,13.8,10.6,19.3,2.1,4.4,11.6,20.8,0.0,0.0,20.5,27.2,9.5,19.1,24.0,40.8,1.1,0.0,4.1,8.2,8.2,0.0,1.0,1.0,3.3,30.0,1.1,7.5,0.0,0.0,1.8,15.0,3.3,30.0
202609081403,2026-09-08,14,03R,09:36,2026-09-08T09:26:23.068106+09:00,8.0,8.8,2.7,44.8,9.8,5.2,58.0,6.3,44.8,18.6,32.9,24.6,246.7,61.6,51.9,141.0,42.9,164.5,164.5,58.0,1.8,2.2,3.0,4.5,1.6,2.0,1.5,2.3,48.2,70.8,5.3,6.8,4.1,5.6,3.4,6.9,25.1,41.2,4.2,5.2,1.4,2.3,54.5,70.5,5.1,11.1,24.5,42.1,0.0,0.0,1.0,11.8,15.7,11.8,9.4,0.0,1.0,1.1,2.6,4.5,2.6,4.5,3.7,6.5,1.2,1.9,3.7,6.5
202609081004,2026-09-08,10,04R,09:50,2026-09-08T09:40:26.506563+09:00,8.7,2.8,6.5,72.0,5.3,8.0,72.0,4.8,48.0,96.0,48.0,26.1,144.0,96.0,144.0,288.0,48.0,72.0,288.0,96.0,1.5,2.6,2.0,4.1,1.1,1.5,1.6,5.4,0.0,0.0,5.2,9.7,3.8,9.5,0.0,0.0,6.5,19.1,2.3,3.5,10.2,19.1,12.0,19.1,4.0,9.7,12.0,18.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,10.5,0.0,0.0,1.1,5.2,1.8,10.5,0.0,0.0
202609081404,2026-09-08,14,04R,10:02,2026-09-08T09:52:23.791945+09:00,7.5,16.3,190.5,57.1,1.5,24.8,7.9,81.6,25.9,142.8,14.2,71.4,95.2,142.8,57.1,571.5,43.9,10.5,571.5,190.5,3.2,8.0,1.0,1.1,2.0,3.5,10.2,22.6,5.1,8.1,1.6,3.2,3.0,5.4,0.0,0.0,26.2,46.8,1.4,2.1,7.0,14.0,3.7,5.5,9.1,14.8,13.1,15.6,29.5,46.8,1.8,0.0,1.4,13.1,26.2,0.0,1.8,13.0,4.8,39.0,1.0,1.0,1.2,7.8,1.8,13.0,0.0,0.0
