レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202609131001,2026-09-13,10,01R,08:32,2026-09-13T08:22:24.462162+09:00,6.9,16.1,12.0,13.8,8.4,12.9,5.6,7.4,8.4,8.7,193.5,64.5,48.3,27.6,96.7,64.5,193.5,38.7,27.6,16.1,3.8,6.8,1.5,2.3,2.3,3.2,1.5,2.7,1.1,1.2,3.7,12.1,18.0,30.0,0.0,0.0,13.2,29.2,8.1,15.1,0.0,0.0,11.0,29.2,8.2,15.3,4.5,7.0,3.1,7.8,1.0,26.2,0.0,0.0,13.1,13.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.2,0.0,0.0
202609132101,2026-09-13,21,01R,08:44,2026-09-13T08:34:18.424815+09:00,2.3,9.3,39.0,4.4,7.1,47.4,5.7,30.1,16.5,221.2,66.3,331.8,15.0,331.8,73.7,331.8,331.8,94.8,663.7,663.7,1.0,1.2,1.5,2.4,4.4,10.3,10.3,16.7,1.5,3.4,1.9,4.9,9.8,51.0,0.0,0.0,1.8,8.5,7.6,13.0,29.5,49.8,3.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,0.0,15.0,15.0,15.0,1.0,1.0,1.5,10.7,1.5,10.7,0.0,0.0,3.7,32.2,2.0,16.1
202609131002,2026-09-13,10,02R,08:58,2026-09-13T08:48:25.114143+09:00,3.2,5.3,4.7,6.1,38.7,12.9,32.8,32.8,30.4,30.4,25.1,26.6,21.3,42.6,32.8,28.4,426.7,142.2,142.2,142.2,1.3,1.5,2.4,3.3,2.2,2.6,3.5,4.2,3.6,4.6,1.6,2.0,3.5,4.8,7.7,9.8,2.7,3.4,8.5,10.1,7.1,8.2,5.6,6.9,11.7,13.3,7.3,8.3,12.4,13.3,1.4,2.1,15.3,30.7,15.3,30.7,1.0,1.1,1.0,1.6,3.5,6.1,6.7,11.6,2.5,4.2,3.5,6.1
202609132102,2026-09-13,21,02R,09:12,2026-09-13T09:02:19.079927+09:00,6.4,3.8,23.5,42.9,3.5,15.2,42.9,5.1,12.5,66.4,20.2,56.1,81.1,45.6,60.8,146.1,48.7,60.8,121.7,48.7,3.2,9.9,1.5,3.1,1.0,1.0,2.0,4.0,4.5,13.8,8.6,14.3,3.5,11.0,10.2,16.6,0.0,0.0,1.9,4.4,11.5,13.4,58.2,96.0,4.1,9.5,4.5,13.9,30.1,48.3,1.0,84.0,7.6,10.5,0.0,84.0,1.0,1.0,2.2,459.7,0.0,0.0,1.0,153.2,2.2,459.7,0.0,0.0
202609131003,2026-09-13,10,03R,09:24,2026-09-13T09:14:23.312916+09:00,3.4,9.2,11.7,35.1,6.2,3.4,12.5,12.5,87.7,58.5,35.1,58.5,58.5,43.8,58.5,87.7,58.5,58.5,0.0,29.2,1.2,2.0,1.0,1.0,5.4,10.3,4.0,7.9,6.2,12.3,2.7,7.2,17.2,20.3,2.4,2.8,13.1,15.4,28.7,60.0,6.0,12.6,7.6,15.5,18.5,20.5,15.1,15.5,27.5,30.3,1.5,4.5,4.5,4.5,0.0,0.0,1.0,1.1,0.0,0.0,1.0,2.8,0.0,0.0,2.2,11.2,0.0,0.0
202609132103,2026-09-13,21,03R,09:38,2026-09-13T09:28:18.539013+09:00,,,,,6.3,1.0,26.7,11.7,98.0,65.3,,,,,,,14.7,84.0,39.2,98.0,,,1.0,1.0,2.7,48.9,1.0,16.6,9.0,161.3,,,,,,,,,2.1,35.0,1.0,13.5,9.0,161.0,118.6,121.6,241.1,242.5,238.2,242.5,1.1,,3.8,32.6,7.2,65.2,1.1,2.8,,,1.0,1.0,4.4,12.7,1.6,4.2,3.0,8.7
202609131004,2026-09-13,10,04R,09:50,2026-09-13T09:40:24.545638+09:00,5.1,10.0,8.4,33.6,5.7,3.8,16.8,12.6,40.3,25.2,28.8,33.6,100.8,18.3,50.4,201.7,25.2,50.4,67.2,33.6,2.3,2.8,2.1,2.4,2.4,2.7,2.5,3.2,7.4,7.6,3.2,4.0,4.4,5.2,1.6,1.8,8.5,9.6,3.5,4.3,3.5,4.3,17.3,18.8,5.6,6.8,7.4,8.0,11.0,12.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,1.3,3.7,0.0,0.0,1.3,3.7,2.2,7.5
202609132104,2026-09-13,21,04R,10:04,2026-09-13T09:54:25.791148+09:00,4.7,11.9,6.5,9.7,14.4,5.0,6.2,17.0,43.3,11.3,95.4,59.6,95.4,68.1,53.0,59.6,68.1,36.6,29.8,43.3,1.6,1.9,1.4,1.6,7.5,11.6,1.6,2.6,2.3,2.8,6.1,9.0,7.7,13.4,8.0,16.5,3.7,4.7,17.6,30.5,2.1,4.2,4.3,5.9,0.0,0.0,19.8,32.0,4.1,7.7,1.0,0.0,9.7,0.0,9.7,39.0,1.0,1.0,0.0,0.0,1.0,35.4,1.5,63.7,6.3,318.9,6.3,318.9
202609131005,2026-09-13,10,05R,10:18,2026-09-13T10:08:24.644206+09:00,10.3,22.2,31.1,25.9,4.4,5.9,3.4,38.8,19.4,16.5,45.7,45.7,37.0,97.2,64.8,43.2,45.7,13.4,15.5,51.8,2.1,2.4,1.3,1.5,3.3,4.2,5.9,7.4,3.2,4.8,4.1,5.5,11.7,13.3,3.8,4.3,8.2,10.1,4.0,5.0,3.7,4.5,1.4,1.6,37.0,39.1,5.6,7.1,9.2,11.7,1.0,26.0,8.6,7.8,0.0,7.0,1.0,1.2,4.8,7.7,1.7,2.5,4.8,7.7,1.4,2.0,2.3,3.5
202609131101,2026-09-13,11,01R,10:29,2026-09-13T10:20:21.153944+09:00,1.8,23.0,7.3,36.5,19.9,15.1,54.8,24.3,73.1,36.5,24.3,10.4,54.8,23.0,48.7,31.3,24.3,62.6,36.5,43.8,1.3,1.8,3.5,4.2,5.7,7.3,2.4,3.2,5.0,6.2,9.0,18.0,0.0,0.0,1.8,3.2,9.2,18.3,5.8,9.3,3.8,4.1,3.0,3.4,4.0,5.7,10.7,18.3,2.6,2.7,3.2,9.7,9.7,9.7,1.6,9.7,2.0,5.5,1.5,4.1,2.0,5.5,2.0,5.5,1.1,1.8,0.0,0.0
