レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202609112101,2026-09-11,21,01R,08:32,2026-09-11T08:22:24.459077+09:00,3,一周,まわり足,直線,浜本 裕己,36.06,7.59,7.58,川上 清人,36.92,7.78,7.79,前原 哉,36.83,7.84,7.7,中村 楓,36.57,7.8,7.66,池 千夏,37.39,8.17,7.64,谷川 祐一,37.06,7.87,7.69
202609111401,2026-09-11,14,01R,08:44,2026-09-11T08:34:21.519060+09:00,3,一周,まわり足,直線,原田 佑実,36.6,5.67,7.0,佐藤 ほのか,37.0,5.67,7.17,樫葉 新心,36.97,5.93,7.13,西澤 日花里,37.4,5.87,7.23,深尾 巴恵,38.07,5.63,7.27,薗頭 心,36.9,6.1,7.03
202609112102,2026-09-11,21,02R,08:58,2026-09-11T08:48:15.753675+09:00,3,一周,まわり足,直線,野中 一平,36.32,7.54,7.64,津田 裕絵,36.93,8.09,7.62,冨成 謙児,37.28,8.16,7.68,西野 雄貴,36.47,7.71,7.64,仁科 さやか,37.02,8.05,7.61,上之 晃弘,37.08,8.06,7.7
202609111402,2026-09-11,14,02R,09:10,2026-09-11T09:00:54.502388+09:00,3,一周,まわり足,直線,赤井 睦,37.4,5.7,6.93,藤本 紗弥香,37.3,5.6,7.1,豊田 結,37.53,5.6,7.23,野田 亜湖,37.71,6.07,7.25,加藤 奈月,38.49,5.84,7.16,前田 紗希,38.33,5.9,7.15
202609112103,2026-09-11,21,03R,09:24,2026-09-11T09:14:28.305864+09:00,3,一周,まわり足,直線,三嶌 誠司,35.99,7.54,7.65,一色 凌雅,36.22,7.58,7.73,宗行 治哉,36.04,7.56,7.64,屋良 龍紀,36.94,8.02,7.74,鶴本 崇文,37.74,8.2,7.83,岡部 大輔,36.93,7.98,7.64
