レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202609121001,2026-09-12,10,01R,08:32,2026-09-12T08:22:20.501349+09:00,3,一周,まわり足,直線,中 亮太,36.5,5.33,6.7,木村 紗友希,37.33,6.0,6.65,黄金井 力良,38.02,5.97,6.8,小倉 康典,37.52,5.7,6.82,樋口 範政,37.18,5.68,6.75,豊田 泰洋,37.78,5.78,6.77
202609122101,2026-09-12,21,01R,08:44,2026-09-12T08:34:20.292535+09:00,3,一周,まわり足,直線,藤森 陸斗,36.49,7.73,7.67,屋良 龍紀,36.83,7.96,7.67,酒見 峻介,37.69,8.23,7.73,長尾 萌加,36.85,7.89,7.69,冨成 謙児,37.02,7.99,7.74,今泉 博人,37.18,7.99,7.78
202609121002,2026-09-12,10,02R,08:58,2026-09-12T08:48:22.705622+09:00,3,一周,まわり足,直線,平石 和男,36.57,5.58,6.72,大澤 風葵,36.92,5.63,6.65,信濃 由行,37.53,5.97,6.68,丹下 健,37.73,5.82,6.73,堤 昇,36.65,5.52,6.65,武田 信一,37.33,5.77,6.7
202609122102,2026-09-12,21,02R,09:10,2026-09-12T09:00:25.743697+09:00,3,一周,まわり足,直線,井手 良太,36.85,7.77,7.61,常盤 海心,36.71,7.76,7.64,岡部 大輔,36.85,7.96,7.64,君島 秀三,37.25,8.08,7.67,岡本 亜子,37.46,8.31,7.59,田川 大貴,37.72,8.3,7.68
202609121003,2026-09-12,10,03R,09:24,2026-09-12T09:14:26.781548+09:00,3,一周,まわり足,直線,高岡 竜也,37.08,5.68,6.73,富永 正人,37.07,5.53,6.73,藤生 雄人,37.83,5.82,6.82,宮武 英司,37.37,5.8,6.72,高田 綾,37.15,5.68,6.75,高橋 英之,37.32,5.67,6.77
202609122103,2026-09-12,21,03R,09:36,2026-09-12T09:26:23.964855+09:00,3,一周,まわり足,直線,田中 宏樹,36.48,7.74,7.62,小池 公生,36.82,7.78,7.64,西野 雄貴,36.22,7.67,7.56,伊藤 玲奈,36.84,7.97,7.64,中田 元泰,36.67,7.81,7.69,福島 陽子,37.28,7.94,7.69
202609121004,2026-09-12,10,04R,09:50,2026-09-12T09:40:27.368204+09:00,3,一周,まわり足,直線,若林 義人,36.97,5.7,6.68,山本 景士郎,37.4,5.75,6.78,表 憲一,37.37,5.67,6.85,長野 壮志郎,37.12,5.6,6.78,淺田 千亜希,37.63,6.0,6.7,亀山 雅幸,37.62,6.18,6.68
202609122104,2026-09-12,21,04R,10:02,2026-09-12T09:52:23.584926+09:00,3,一周,まわり足,直線,仲谷 颯仁,36.22,7.7,7.62,仁科 さやか,36.98,7.78,7.61,秋山 広一,36.96,7.81,7.64,津田 裕絵,37.24,8.02,7.64,宗行 治哉,37.18,7.84,7.67,浜本 裕己,36.75,7.91,7.65
202609121005,2026-09-12,10,05R,10:18,2026-09-12T10:08:20.549468+09:00,3,一周,まわり足,直線,佐藤 悠,36.85,5.78,6.7,金子 猛志,37.25,5.67,6.8,石川 諒,37.15,6.15,6.57,木村 紗友希,37.57,6.22,6.65,鈴木 茂高,38.28,5.95,6.92,尾上 雅也,36.98,5.62,6.73
202609122105,2026-09-12,21,05R,10:30,2026-09-12T10:20:17.996836+09:00,3,一周,まわり足,直線,鶴本 崇文,37.0,7.77,7.72,酒見 峻介,37.88,8.36,7.66,中村 楓,37.75,7.86,7.67,谷川 祐一,37.33,8.04,7.68,三嶌 誠司,36.9,7.69,7.66,伊藤 喜智,37.48,8.05,7.7
202609120901,2026-09-12,09,01R,10:33,2026-09-12T10:24:24.784745+09:00,3,一周,まわり足,直線,江夏 満,37.26,4.38,8.65,抹香 雄三,37.02,4.5,8.59,渡邊 雄斗,37.43,4.71,8.69,田村 慶,37.83,4.93,8.46,坂井 康嗣,38.21,4.99,8.46,坂口 貴彦,37.65,5.1,8.39
202609121701,2026-09-12,17,01R,10:38,2026-09-12T10:28:18.660145+09:00,3,一周,まわり足,直線,小林 京平,37.03,5.39,7.08,村上 彰一,37.06,5.37,7.19,中山 雄太,37.59,5.6,7.16,町田 洸希,37.44,5.76,7.13,上馬場 風依,37.3,5.42,7.23,小宮 涼雅,37.27,5.4,7.2
202609120801,2026-09-12,08,01R,10:39,2026-09-12T10:30:21.505354+09:00,3,一周,まわり足,直線,武井 莉里佳,36.81,5.62,7.06,坂 咲友理,37.35,5.68,7.01,石村 日奈那,37.47,5.96,7.01,沼田 七華,37.49,5.92,7.01,永田 楽,37.51,5.97,7.05,矢野 真梨菜,37.34,5.92,7.09
202609121801,2026-09-12,18,01R,10:42,2026-09-12T10:32:24.316010+09:00,2,一周,まわり足,,佐々木 完太,36.86,11.52,,大上 卓人,37.26,11.38,,石丸 海渡,37.47,11.73,,中島 孝平,37.18,11.37,,末永 和也,37.5,11.51,,砂長 知輝,37.27,11.62,
202609120201,2026-09-12,02,01R,10:47,2026-09-12T10:38:21.298065+09:00,3,一周,まわり足,直線,栗原 直也,35.93,5.24,6.84,佐藤 駿介,37.27,5.57,7.07,鈴木 唯央,36.83,5.36,6.93,立具 敬司,37.8,5.73,7.1,羽野 諒,37.25,5.48,7.07,澁澤 周羽,37.14,5.48,7.0
202609121006,2026-09-12,10,06R,10:50,2026-09-12T10:40:21.637235+09:00,3,一周,まわり足,直線,信濃 由行,38.27,5.87,6.82,平川 香織,37.62,5.82,6.7,豊田 泰洋,37.58,5.8,6.8,飯山 泰,36.93,5.77,6.72,茶谷 信次,37.08,5.73,6.8,一宮 稔弘,37.5,5.72,6.87
202609121601,2026-09-12,16,01R,10:57,2026-09-12T10:48:19.004666+09:00,3,一周,まわり足,直線,古川 誠之,36.77,5.57,6.73,佐藤 右京,38.0,5.7,6.87,大廣 咲季,38.0,5.83,6.77,大澤 誠也,37.3,5.97,6.77,宮田 栞,37.2,5.93,6.83,木山 誠一,37.27,6.0,6.9
