レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202609081302,2026-09-08,13,02R,11:03,2026-09-08T10:54:23.301393+09:00,2,一周,まわり足,,守屋 大地,37.41,11.55,,川崎 誠志,37.67,11.79,,大神 康司,37.99,11.84,,上岡 巧汰,37.45,11.63,,加木 郁,37.93,11.83,,坂口 周,38.12,11.94,
202609081102,2026-09-08,11,02R,11:06,2026-09-08T10:56:18.753946+09:00,3,一周,まわり足,直線,小川 竜太朗,37.4,5.87,8.43,山本 幸也,37.83,5.77,8.54,坂本 一真,37.82,5.86,8.21,西川 拓利,37.88,6.28,8.03,津田 陸翔,37.71,6.79,8.0,鳥居塚 嶺王,37.46,6.53,8.27
202609080902,2026-09-08,09,02R,11:12,2026-09-08T11:02:24.493972+09:00,3,一周,まわり足,直線,青木 玄太,37.24,4.49,8.7,金子 拓矢,37.65,4.58,8.93,白神 優,37.74,4.67,8.65,山崎 郡,37.82,4.73,8.73,高田 ひかる,38.04,5.06,8.57,柳生 泰二,38.06,5.04,8.51
202609081007,2026-09-08,10,07R,11:19,2026-09-08T11:10:26.763554+09:00,3,一周,まわり足,直線,長谷川 雅和,37.55,5.72,6.83,東口 晃,37.9,5.92,6.87,土性 雅也,37.62,5.77,6.82,川口 貴久,38.63,6.08,6.93,中岡 健人,37.4,5.67,6.82,岡村 将也,37.48,5.85,6.78
202609081602,2026-09-08,16,02R,11:22,2026-09-08T11:12:22.057432+09:00,3,一周,まわり足,直線,川崎 智稔,37.47,5.5,7.07,大塚 雅治,37.83,5.73,7.03,中北 涼,37.97,5.77,7.13,佐藤 右京,38.1,5.7,7.23,大澤 誠也,37.43,5.73,6.93,宮田 栞,38.0,5.73,7.17
202609080402,2026-09-08,04,02R,11:24,2026-09-08T11:14:28.176425+09:00,3,一周,まわり足,直線,黒澤 めぐみ,38.08,5.77,7.41,菅野 はやか,38.25,5.7,7.57,日隈 茜,38.67,5.9,7.58,中村 尊,37.43,5.63,7.43,今井 裕梨,37.75,5.73,7.43,小林 愛実,37.72,6.17,7.4
202609081407,2026-09-08,14,07R,11:28,2026-09-08T11:18:23.650523+09:00,3,一周,まわり足,直線,豊田 結,36.93,6.17,7.17,清埜 翔子,37.17,5.8,7.33,大山 千広,37.7,5.97,7.17,大豆生田 蒼,37.6,5.97,7.23,新田 芳美,37.93,6.17,7.26,福岡 泉水,37.72,6.04,7.17
202609081303,2026-09-08,13,03R,11:33,2026-09-08T11:24:26.214651+09:00,2,一周,まわり足,,木山 和幸,37.75,11.78,,岡本 猛,38.08,12.1,,井上 慧人,37.84,11.67,,森定 晃史,38.26,11.94,,向所 浩二,37.87,11.72,,山田 哲也,37.7,11.9,
202609081103,2026-09-08,11,03R,11:36,2026-09-08T11:26:25.510321+09:00,3,一周,まわり足,直線,村松 栄太,37.58,5.75,8.1,上野 拓馬,37.63,5.97,8.17,吉田 一心,37.59,5.8,8.2,濱野 斗馬,37.7,5.97,8.03,山崎 祥,38.1,6.2,7.9,大森 翼,37.68,6.09,8.07
202609080903,2026-09-08,09,03R,11:42,2026-09-08T11:32:26.318778+09:00,3,一周,まわり足,直線,塩田 北斗,37.27,4.53,8.77,春園 功太,37.96,4.68,8.58,尾上 雅也,37.33,4.9,8.4,石丸 海渡,37.7,5.0,8.37,西村 拓也,37.75,4.99,8.43,山口 剛,37.77,5.07,8.51
