レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609121001,2026-09-12,10,01R,08:32,2026-09-12T08:48:22.705622+09:00,0835,差　し,2,木村　紗友希,"1'49""3",1,中　　　亮太,"1'49""8",3,黄金井　力良,"1'52""1",5,樋口　　範政,"1'53""7",6,豊田　　泰洋,,4,小倉　　康典,,1,0.21,,2,0.21,,3,0.22,,4,0.22,,5,0.23,,6,0.28,,1,1,1.0,1.0,25.0,23.0
202609122101,2026-09-12,21,01R,08:44,2026-09-12T08:58:21.441185+09:00,0847,逃　げ,1,藤森　　陸斗,"1'49""6",3,酒見　　峻介,"1'50""9",4,長尾　　萌加,"1'51""1",5,冨成　　謙児,"1'51""2",2,屋良　　龍紀,,6,今泉　　博人,,1,0.17,,2,0.21,,3,0.19,,4,0.31,,5,0.23,,6,0.21,,1,3,2.0,2.0,26.5,25.9
202609121002,2026-09-12,10,02R,08:58,2026-09-12T09:14:26.781548+09:00,0901,逃　げ,1,平石　　和男,"1'49""6",2,大澤　　風葵,"1'50""5",6,武田　　信一,"1'53""2",5,堤　　　　昇,"1'54""5",4,丹下　　　健,,3,信濃　　由行,,1,0.19,,2,0.14,,3,0.15,,4,0.15,,5,0.17,,6,0.17,,1,1,1.0,1.0,25.0,23.0
202609122102,2026-09-12,21,02R,09:10,2026-09-12T09:26:23.964855+09:00,0913,逃　げ,1,井手　　良太,"1'48""5",2,常盤　　海心,"1'49""7",4,君島　　秀三,"1'50""8",3,岡部　　大輔,"1'52""4",6,田川　　大貴,,5,岡本　　亜子,,1,0.02,,2,0.11,,3,0.1,,4,0.03,,6,0.05,,5,0.07,,2,3,2.0,2.0,26.5,25.9
202609121003,2026-09-12,10,03R,09:24,2026-09-12T09:40:27.368204+09:00,0927,抜　き,2,富永　　正人,"1'49""2",1,高岡　　竜也,"1'50""4",5,高田　　　綾,"1'52""3",6,高橋　　英之,"1'54""0",3,藤生　　雄人,,4,宮武　　英司,,1,0.03,,2,0.11,,3,0.09,,4,0.16,,5,0.11,,6,0.14,,1,8,2.0,2.0,24.0,23.0
202609122103,2026-09-12,21,03R,09:36,2026-09-12T09:52:23.584926+09:00,0939,まくり差し,3,西野　　雄貴,"1'47""3",1,田中　　宏樹,"1'49""8",4,伊藤　　玲奈,"1'50""1",5,中田　　元泰,"1'51""4",2,小池　　公生,,6,福島　　陽子,,1,0.12,,2,0.17,,3,0.08,,4,0.14,,5,0.13,,6,0.13,,2,3,3.0,3.0,26.6,25.9
202609121004,2026-09-12,10,04R,09:50,2026-09-12T10:06:20.108715+09:00,0953,逃　げ,1,若林　　義人,"1'49""2",4,長野　壮志郎,"1'50""0",3,表　　　憲一,"1'52""6",2,山本　景士郎,"1'53""7",6,亀山　　雅幸,,5,淺田　千亜希,,1,0.15,,2,0.24,,3,0.18,,4,0.18,,5,0.19,,6,0.24,,1,1,2.0,2.0,24.0,23.0
202609122104,2026-09-12,21,04R,10:02,2026-09-12T10:16:22.903038+09:00,1005,逃　げ,1,仲谷　　颯仁,"1'47""2",3,秋山　　広一,"1'49""7",2,仁科　さやか,"1'50""8",4,津田　　裕絵,"1'51""2",6,浜本　　裕己,,5,宗行　　治哉,,1,0.16,,2,0.19,,3,0.18,,4,0.24,,5,0.17,,6,0.13,,2,3,3.0,3.0,26.9,26.0
202609121005,2026-09-12,10,05R,10:18,2026-09-12T10:34:18.689253+09:00,1021,逃　げ,1,佐藤　　　悠,"1'49""9",6,尾上　　雅也,"1'50""8",4,木村　紗友希,"1'52""4",2,金子　　猛志,"1'52""6",3,石川　　　諒,,5,鈴木　　茂高,,1,0.19,,2,0.24,,3,0.19,,4,0.14,,6,0.13,,5,0.24,,1,8,3.0,3.0,24.0,24.0
202609122105,2026-09-12,21,05R,10:30,2026-09-12T10:46:18.602703+09:00,1033,逃　げ,1,鶴本　　崇文,"1'48""9",5,三嶌　　誠司,"1'49""5",2,酒見　　峻介,"1'52""2",4,谷川　　祐一,"1'52""6",6,伊藤　　喜智,,3,中村　　　楓,,1,0.06,,4,0.06,,2,0.14,,3,0.12,,5,0.08,,6,0.02,,2,3,3.0,3.0,27.5,26.1
