レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609141001,2026-09-14,10,01R,08:32,2026-09-14T08:48:21.621348+09:00,0835,逃　げ,1,茶谷　　信次,"1'49""7",4,金子　　猛志,"1'51""4",5,武田　　信一,"1'52""6",3,丹下　　　健,"1'53""3",2,信濃　　由行,,6,樋口　　範政,,1,0.18,,2,0.11,,3,0.09,,4,0.07,,5,0.11,,6,0.15,,2,4,1.0,1.0,28.0,25.0
202609142101,2026-09-14,21,01R,08:44,2026-09-14T09:00:54.587359+09:00,0847,逃　げ,1,秋山　　広一,"1'47""8",2,中村　　　楓,"1'50""4",3,田川　　大貴,"1'50""8",5,今泉　　博人,"1'52""9",4,長尾　　萌加,,6,屋良　　龍紀,,1,0.14,,2,0.22,,3,0.19,,4,0.17,,6,0.18,,5,0.18,,3,,0.0,1.0,22.8,26.7
202609141002,2026-09-14,10,02R,08:58,2026-09-14T09:14:25.316152+09:00,0901,抜　き,2,平石　　和男,"1'49""7",4,表　　　憲一,"1'51""4",1,石川　　　諒,"1'52""8",6,淺田　千亜希,"1'54""2",3,鈴木　　茂高,,5,豊田　　祥生,,1,0.21,,2,0.17,,3,0.13,,4,0.13,,5,0.12,,6,0.11,,2,8,3.0,3.0,26.0,25.0
202609142102,2026-09-14,21,02R,09:10,2026-09-14T09:24:25.858844+09:00,0913,逃　げ,1,浜本　　裕己,"1'48""4",4,中田　　元泰,"1'49""7",3,鈴木　　秀茉,"1'51""7",2,上之　　晃弘,"1'53""5",5,池　　　千夏,,6,山田　　陽翔,,1,0.07,,2,0.11,,3,0.1,,4,0.07,,5,0.1,,6,0.12,,2,7,2.0,2.0,23.2,26.7
202609141003,2026-09-14,10,03R,09:24,2026-09-14T09:40:25.149433+09:00,0927,逃　げ,1,長野　壮志郎,"1'49""5",2,宮武　　英司,"1'51""2",3,中　　　亮太,"1'52""1",4,豊田　　泰洋,"1'54""4",5,金子　　良昭,,6,木村　紗友希,,1,0.18,,2,0.15,,3,0.14,,4,0.12,,5,0.08,,6,0.11,,2,8,2.0,2.0,25.0,25.0
202609142103,2026-09-14,21,03R,09:36,2026-09-14T09:52:21.130180+09:00,0939,差　し,5,石川　　真二,"1'47""7",1,三嶌　　誠司,"1'49""7",3,野中　　一平,"1'51""1",6,常盤　　海心,"1'51""6",2,冨成　　謙児,,4,岡本　　亜子,,1,0.13,,5,0.05,,2,0.07,,3,0.04,,6,0.06,,4,0.04,,2,7,2.0,2.0,22.7,26.7
202609141004,2026-09-14,10,04R,09:50,2026-09-14T10:06:25.258354+09:00,0953,逃　げ,1,岡瀬　　正人,"1'49""9",4,大澤　　風葵,"1'51""9",5,飯山　　　泰,"1'52""7",2,黄金井　力良,"1'54""2",6,高田　　　綾,,3,小倉　　康典,,1,0.13,,2,0.09,,3,0.11,,4,0.09,,5,0.08,,6,0.09,,2,8,2.0,2.0,26.0,25.0
202609142104,2026-09-14,21,04R,10:02,2026-09-14T10:18:23.258155+09:00,1005,逃　げ,1,鶴本　　崇文,"1'49""1",2,伊藤　　玲奈,"1'49""6",3,仁科　さやか,"1'50""7",6,藤森　　陸斗,"1'52""1",5,岡　　　暢祐,,4,小林　　遼太,,1,0.02,,2,0.05,,3,0.04,,4,0.06,,5,0.07,,6,0.04,,2,7,2.0,2.0,22.8,26.7
202609141005,2026-09-14,10,05R,10:18,2026-09-14T10:36:25.899774+09:00,1021,まくり,3,木谷　　賢太,"1'50""0",4,茶谷　　信次,"1'51""7",6,富永　　正人,"1'53""2",2,高橋　　英之,"1'55""6",5,尾上　　雅也,,1,松瀬　　弘美,,1,0.11,,2,0.1,,3,0.07,,4,0.11,,5,0.08,,6,0.09,,2,8,3.0,3.0,25.0,25.0
202609141101,2026-09-14,11,01R,10:29,2026-09-14T10:46:22.989373+09:00,1032,逃　げ,1,上田　　洋平,"1'51""0",4,小川　　時光,"1'52""1",2,間庭　　菜摘,"1'52""5",3,土屋　　太朗,"1'54""0",5,岩井　　　繁,,6,中川　　海虹,,1,0.23,,2,0.21,,3,0.16,,4,0.17,,5,0.2,,6,0.23,,1,,0.0,1.0,26.0,27.0
