記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-10,A1,G2_G3_一般,1,44.3159,12.9822,2836
2026-09-10,A1,G2_G3_一般,2,33.5765,16.1292,2125
2026-09-10,A1,G2_G3_一般,3,32.0612,17.5324,1960
2026-09-10,A1,G2_G3_一般,4,30.8693,16.2125,1967
2026-09-10,A1,G2_G3_一般,5,27.5714,16.9504,1857
2026-09-10,A1,G2_G3_一般,6,21.4227,16.5345,1448
2026-09-10,A1,SG_G1,1,85.9864,25.7053,294
2026-09-10,A1,SG_G1,2,51.0175,35.5115,285
2026-09-10,A1,SG_G1,3,50.5882,33.9346,289
2026-09-10,A1,SG_G1,4,43.931,31.1569,290
2026-09-10,A1,SG_G1,5,41.2371,29.4015,291
2026-09-10,A1,SG_G1,6,28.7248,27.8849,298
2026-09-10,A2,G2_G3_一般,1,61.5588,20.9192,2425
2026-09-10,A2,G2_G3_一般,2,45.2365,24.0869,2220
2026-09-10,A2,G2_G3_一般,3,44.1992,24.3526,2279
2026-09-10,A2,G2_G3_一般,4,39.7433,23.99,2084
2026-09-10,A2,G2_G3_一般,5,34.5433,22.6506,2091
2026-09-10,A2,G2_G3_一般,6,26.6004,21.6651,1862
2026-09-10,A2,SG_G1,1,99.1071,29.4913,28
2026-09-10,A2,SG_G1,2,53.5714,53.5,35
2026-09-10,A2,SG_G1,3,50.0,51.2348,30
2026-09-10,A2,SG_G1,4,43.1034,54.4948,29
2026-09-10,A2,SG_G1,5,48.2759,40.4346,29
2026-09-10,A2,SG_G1,6,41.4062,31.6286,32
2026-09-10,B1,全,1,69.0722,33.55,3794
2026-09-10,B1,全,2,47.3023,32.649,4678
2026-09-10,B1,全,3,44.8844,33.1011,4713
2026-09-10,B1,全,4,40.1546,32.4666,4787
2026-09-10,B1,全,5,35.5454,30.3443,4813
2026-09-10,B1,全,6,25.4878,26.038,4213
2026-09-10,B2,全,1,78.8462,47.1923,247
2026-09-10,B2,全,2,46.6828,44.3298,309
2026-09-10,B2,全,3,44.5157,42.1575,351
2026-09-10,B2,全,4,32.9307,36.8305,476
2026-09-10,B2,全,5,29.4168,36.6185,583
2026-09-10,B2,全,6,13.3058,26.8526,1753
2026-09-10,A1,G2_G3_一般,0,33.0362,17.427,12193
2026-09-10,A1,SG_G1,0,50.2232,35.4884,1747
2026-09-10,A2,G2_G3_一般,0,42.8223,25.4101,12961
2026-09-10,A2,SG_G1,0,55.3279,48.7791,183
2026-09-10,B1,全,0,43.1721,33.9046,26998
2026-09-10,B2,全,0,28.4149,39.1678,3719
