記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-09,A1,G2_G3_一般,1,44.3389,12.9747,2821
2026-09-09,A1,G2_G3_一般,2,33.5275,16.1583,2112
2026-09-09,A1,G2_G3_一般,3,31.962,17.5679,1947
2026-09-09,A1,G2_G3_一般,4,30.8864,16.2045,1963
2026-09-09,A1,G2_G3_一般,5,27.5325,16.9534,1848
2026-09-09,A1,G2_G3_一般,6,21.4789,16.5312,1447
2026-09-09,A1,SG_G1,1,85.8865,25.8356,282
2026-09-09,A1,SG_G1,2,50.9158,35.6145,273
2026-09-09,A1,SG_G1,3,50.1805,33.9298,277
2026-09-09,A1,SG_G1,4,44.1007,31.1717,278
2026-09-09,A1,SG_G1,5,41.4337,29.7316,279
2026-09-09,A1,SG_G1,6,29.021,28.1558,286
2026-09-09,A2,G2_G3_一般,1,61.5903,20.9012,2424
2026-09-09,A2,G2_G3_一般,2,45.2099,24.1312,2215
2026-09-09,A2,G2_G3_一般,3,44.2099,24.3336,2272
2026-09-09,A2,G2_G3_一般,4,39.6899,24.025,2080
2026-09-09,A2,G2_G3_一般,5,34.524,22.6356,2080
2026-09-09,A2,G2_G3_一般,6,26.6325,21.6904,1853
2026-09-09,A2,SG_G1,1,99.1071,29.4913,28
2026-09-09,A2,SG_G1,2,53.5714,53.5,35
2026-09-09,A2,SG_G1,3,50.0,51.2348,30
2026-09-09,A2,SG_G1,4,43.1034,54.4948,29
2026-09-09,A2,SG_G1,5,48.2759,40.4346,29
2026-09-09,A2,SG_G1,6,41.4062,31.6286,32
2026-09-09,B1,全,1,69.0702,33.6079,3775
2026-09-09,B1,全,2,47.2931,32.6558,4651
2026-09-09,B1,全,3,44.9883,33.0758,4695
2026-09-09,B1,全,4,40.1093,32.4591,4757
2026-09-09,B1,全,5,35.6085,30.3795,4782
2026-09-09,B1,全,6,25.5296,26.0515,4192
2026-09-09,B2,全,1,79.1667,47.019,246
2026-09-09,B2,全,2,46.8137,44.5115,306
2026-09-09,B2,全,3,44.83,41.9915,353
2026-09-09,B2,全,4,33.0882,36.9564,476
2026-09-09,B2,全,5,29.2735,36.4695,585
2026-09-09,B2,全,6,13.1452,26.9422,1763
2026-09-09,A1,G2_G3_一般,0,33.0129,17.4374,12138
2026-09-09,A1,SG_G1,0,50.2328,35.5445,1675
2026-09-09,A2,G2_G3_一般,0,42.8346,25.4217,12924
2026-09-09,A2,SG_G1,0,55.3279,48.7791,183
2026-09-09,B1,全,0,43.2005,33.9116,26852
2026-09-09,B2,全,0,28.3387,39.2156,3729
