記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-12,A1,G2_G3_一般,1,44.3364,12.7543,2818
2026-09-12,A1,G2_G3_一般,2,33.5501,16.1543,2107
2026-09-12,A1,G2_G3_一般,3,32.0729,17.5606,1949
2026-09-12,A1,G2_G3_一般,4,30.8979,16.1307,1949
2026-09-12,A1,G2_G3_一般,5,27.4771,16.9857,1855
2026-09-12,A1,G2_G3_一般,6,21.3431,16.5313,1437
2026-09-12,A1,SG_G1,1,86.1146,25.803,314
2026-09-12,A1,SG_G1,2,51.2418,35.041,306
2026-09-12,A1,SG_G1,3,50.7443,33.8438,309
2026-09-12,A1,SG_G1,4,43.7942,30.7632,311
2026-09-12,A1,SG_G1,5,40.9646,30.4791,311
2026-09-12,A1,SG_G1,6,29.0566,28.5232,318
2026-09-12,A2,G2_G3_一般,1,61.655,20.8767,2429
2026-09-12,A2,G2_G3_一般,2,45.3024,24.0633,2232
2026-09-12,A2,G2_G3_一般,3,44.1776,24.3634,2292
2026-09-12,A2,G2_G3_一般,4,39.6,24.1465,2100
2026-09-12,A2,G2_G3_一般,5,34.7952,22.7278,2100
2026-09-12,A2,G2_G3_一般,6,26.7537,21.5334,1876
2026-09-12,A2,SG_G1,1,99.1071,29.4913,28
2026-09-12,A2,SG_G1,2,53.5714,53.5,35
2026-09-12,A2,SG_G1,3,50.0,51.2348,30
2026-09-12,A2,SG_G1,4,43.1034,54.4948,29
2026-09-12,A2,SG_G1,5,48.2759,40.4346,29
2026-09-12,A2,SG_G1,6,41.4062,31.6286,32
2026-09-12,B1,全,1,68.7375,33.7659,3786
2026-09-12,B1,全,2,47.4218,32.5845,4670
2026-09-12,B1,全,3,44.9168,33.1435,4686
2026-09-12,B1,全,4,40.0714,32.5615,4763
2026-09-12,B1,全,5,35.5746,30.2775,4786
2026-09-12,B1,全,6,25.4832,26.0572,4191
2026-09-12,B2,全,1,79.0123,46.942,243
2026-09-12,B2,全,2,47.1683,44.4545,309
2026-09-12,B2,全,3,44.8718,42.5595,351
2026-09-12,B2,全,4,33.2463,36.9767,479
2026-09-12,B2,全,5,29.8791,36.9227,579
2026-09-12,B2,全,6,13.0939,26.623,1768
2026-09-12,A1,G2_G3_一般,0,33.0169,17.4031,12115
2026-09-12,A1,SG_G1,0,50.2943,35.5913,1869
2026-09-12,A2,G2_G3_一般,0,42.8698,25.4086,13029
2026-09-12,A2,SG_G1,0,55.3279,48.7791,183
2026-09-12,B1,全,0,43.1553,33.9104,26882
2026-09-12,B2,全,0,28.399,39.2082,3729
