記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-07,A1,G2_G3_一般,1,44.3785,12.6854,2848
2026-09-07,A1,G2_G3_一般,2,33.561,15.9083,2123
2026-09-07,A1,G2_G3_一般,3,32.0749,17.2809,1976
2026-09-07,A1,G2_G3_一般,4,30.6898,16.2178,1986
2026-09-07,A1,G2_G3_一般,5,27.4342,16.9926,1863
2026-09-07,A1,G2_G3_一般,6,21.4218,16.7891,1484
2026-09-07,A1,SG_G1,1,84.7471,26.7725,257
2026-09-07,A1,SG_G1,2,51.0843,35.7483,249
2026-09-07,A1,SG_G1,3,49.2969,34.1798,256
2026-09-07,A1,SG_G1,4,45.1587,31.4777,252
2026-09-07,A1,SG_G1,5,42.4806,29.8324,258
2026-09-07,A1,SG_G1,6,29.4656,27.4991,262
2026-09-07,A2,G2_G3_一般,1,61.6962,20.7269,2429
2026-09-07,A2,G2_G3_一般,2,45.0067,24.095,2235
2026-09-07,A2,G2_G3_一般,3,44.2507,24.1564,2282
2026-09-07,A2,G2_G3_一般,4,39.5267,24.0835,2081
2026-09-07,A2,G2_G3_一般,5,34.3341,22.6501,2095
2026-09-07,A2,G2_G3_一般,6,26.7276,21.7296,1861
2026-09-07,A2,SG_G1,1,99.1071,29.4913,28
2026-09-07,A2,SG_G1,2,53.5714,53.5,35
2026-09-07,A2,SG_G1,3,50.0,51.2348,30
2026-09-07,A2,SG_G1,4,43.1034,54.4948,29
2026-09-07,A2,SG_G1,5,48.2759,40.4346,29
2026-09-07,A2,SG_G1,6,41.4062,31.6286,32
2026-09-07,B1,全,1,69.1914,33.5063,3747
2026-09-07,B1,全,2,47.1243,32.7054,4618
2026-09-07,B1,全,3,44.7943,32.9603,4643
2026-09-07,B1,全,4,40.2021,32.4782,4749
2026-09-07,B1,全,5,35.6033,30.3062,4749
2026-09-07,B1,全,6,25.343,26.0518,4140
2026-09-07,B2,全,1,80.7851,45.2564,242
2026-09-07,B2,全,2,46.4765,44.356,298
2026-09-07,B2,全,3,44.7708,41.7587,349
2026-09-07,B2,全,4,33.5443,37.1846,474
2026-09-07,B2,全,5,29.5962,36.4814,582
2026-09-07,B2,全,6,13.2179,26.7184,1776
2026-09-07,A1,G2_G3_一般,0,32.9699,17.3642,12280
2026-09-07,A1,SG_G1,0,50.3129,35.3825,1534
2026-09-07,A2,G2_G3_一般,0,42.7756,25.3898,12983
2026-09-07,A2,SG_G1,0,55.3279,48.7791,183
2026-09-07,B1,全,0,43.1502,33.9003,26646
2026-09-07,B2,全,0,28.3862,39.0222,3721
