記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-14,A1,G2_G3_一般,1,44.4265,12.675,2790
2026-09-14,A1,G2_G3_一般,2,33.6394,16.1327,2080
2026-09-14,A1,G2_G3_一般,3,32.1804,17.5757,1940
2026-09-14,A1,G2_G3_一般,4,31.015,16.1301,1931
2026-09-14,A1,G2_G3_一般,5,27.4153,17.3689,1830
2026-09-14,A1,G2_G3_一般,6,21.4537,16.2687,1424
2026-09-14,A1,SG_G1,1,85.9939,25.7162,327
2026-09-14,A1,SG_G1,2,51.7134,35.2984,321
2026-09-14,A1,SG_G1,3,50.9657,33.1052,321
2026-09-14,A1,SG_G1,4,43.6923,31.8636,325
2026-09-14,A1,SG_G1,5,40.5521,31.2667,326
2026-09-14,A1,SG_G1,6,29.6049,28.7135,329
2026-09-14,A2,G2_G3_一般,1,61.7012,20.876,2416
2026-09-14,A2,G2_G3_一般,2,45.1831,24.1014,2212
2026-09-14,A2,G2_G3_一般,3,44.2523,24.1499,2247
2026-09-14,A2,G2_G3_一般,4,39.5323,24.1689,2074
2026-09-14,A2,G2_G3_一般,5,34.6863,22.5979,2088
2026-09-14,A2,G2_G3_一般,6,26.7266,21.3981,1862
2026-09-14,A2,SG_G1,1,99.1071,29.4913,28
2026-09-14,A2,SG_G1,2,53.5714,53.5,35
2026-09-14,A2,SG_G1,3,50.0,51.2348,30
2026-09-14,A2,SG_G1,4,43.1034,54.4948,29
2026-09-14,A2,SG_G1,5,48.2759,40.4346,29
2026-09-14,A2,SG_G1,6,41.4062,31.6286,32
2026-09-14,B1,全,1,68.7919,33.7347,3758
2026-09-14,B1,全,2,47.4398,32.5086,4613
2026-09-14,B1,全,3,44.9214,33.083,4645
2026-09-14,B1,全,4,39.8557,32.6977,4711
2026-09-14,B1,全,5,35.7058,30.1782,4732
2026-09-14,B1,全,6,25.4777,26.0451,4155
2026-09-14,B2,全,1,79.6809,46.7497,235
2026-09-14,B2,全,2,47.7869,44.5977,305
2026-09-14,B2,全,3,45.4741,42.243,348
2026-09-14,B2,全,4,34.1006,37.3814,467
2026-09-14,B2,全,5,30.1066,36.9747,563
2026-09-14,B2,全,6,12.8584,25.8849,1744
2026-09-14,A1,G2_G3_一般,0,33.0938,17.4227,11995
2026-09-14,A1,SG_G1,0,50.4053,35.7531,1949
2026-09-14,A2,G2_G3_一般,0,42.8429,25.3661,12899
2026-09-14,A2,SG_G1,0,55.3279,48.7791,183
2026-09-14,B1,全,0,43.1577,33.8982,26614
2026-09-14,B2,全,0,28.5158,39.1196,3662
