記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-11,A1,G2_G3_一般,1,44.2903,13.0385,2804
2026-09-11,A1,G2_G3_一般,2,33.5752,16.1633,2095
2026-09-11,A1,G2_G3_一般,3,32.0979,17.5681,1940
2026-09-11,A1,G2_G3_一般,4,30.9194,16.1694,1936
2026-09-11,A1,G2_G3_一般,5,27.5068,16.9893,1845
2026-09-11,A1,G2_G3_一般,6,21.3329,16.5511,1433
2026-09-11,A1,SG_G1,1,85.9868,25.8477,304
2026-09-11,A1,SG_G1,2,51.2162,35.4299,296
2026-09-11,A1,SG_G1,3,50.5017,33.6927,299
2026-09-11,A1,SG_G1,4,44.0532,30.9461,301
2026-09-11,A1,SG_G1,5,40.5298,30.5748,302
2026-09-11,A1,SG_G1,6,28.6364,28.73,308
2026-09-11,A2,G2_G3_一般,1,61.612,20.9025,2410
2026-09-11,A2,G2_G3_一般,2,45.393,24.0648,2214
2026-09-11,A2,G2_G3_一般,3,44.1722,24.3584,2277
2026-09-11,A2,G2_G3_一般,4,39.8155,23.9359,2087
2026-09-11,A2,G2_G3_一般,5,34.7522,22.7315,2078
2026-09-11,A2,G2_G3_一般,6,26.6899,21.5823,1867
2026-09-11,A2,SG_G1,1,99.1071,29.4913,28
2026-09-11,A2,SG_G1,2,53.5714,53.5,35
2026-09-11,A2,SG_G1,3,50.0,51.2348,30
2026-09-11,A2,SG_G1,4,43.1034,54.4948,29
2026-09-11,A2,SG_G1,5,48.2759,40.4346,29
2026-09-11,A2,SG_G1,6,41.4062,31.6286,32
2026-09-11,B1,全,1,68.7809,33.7371,3765
2026-09-11,B1,全,2,47.3836,32.5664,4640
2026-09-11,B1,全,3,44.9098,33.1175,4656
2026-09-11,B1,全,4,40.0676,32.5656,4732
2026-09-11,B1,全,5,35.5644,30.3298,4766
2026-09-11,B1,全,6,25.5095,26.0543,4171
2026-09-11,B2,全,1,79.0123,46.942,243
2026-09-11,B2,全,2,47.1591,44.5263,308
2026-09-11,B2,全,3,44.8864,42.4998,352
2026-09-11,B2,全,4,32.9641,36.9045,474
2026-09-11,B2,全,5,29.636,36.9604,577
2026-09-11,B2,全,6,13.194,26.7584,1747
2026-09-11,A1,G2_G3_一般,0,33.0192,17.4563,12053
2026-09-11,A1,SG_G1,0,50.1215,35.7352,1810
2026-09-11,A2,G2_G3_一般,0,42.8907,25.3864,12933
2026-09-11,A2,SG_G1,0,55.3279,48.7791,183
2026-09-11,B1,全,0,43.1508,33.9092,26730
2026-09-11,B2,全,0,28.4518,39.2712,3701
