記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-09-13,A1,G2_G3_一般,1,44.3509,12.7457,2804
2026-09-13,A1,G2_G3_一般,2,33.6242,16.1457,2097
2026-09-13,A1,G2_G3_一般,3,32.1179,17.5522,1950
2026-09-13,A1,G2_G3_一般,4,30.9338,16.1302,1949
2026-09-13,A1,G2_G3_一般,5,27.4581,17.0301,1849
2026-09-13,A1,G2_G3_一般,6,21.3226,16.2512,1429
2026-09-13,A1,SG_G1,1,85.7143,26.0472,315
2026-09-13,A1,SG_G1,2,51.3916,35.2844,309
2026-09-13,A1,SG_G1,3,51.1254,33.3502,311
2026-09-13,A1,SG_G1,4,44.0895,31.0192,313
2026-09-13,A1,SG_G1,5,41.1465,30.3056,314
2026-09-13,A1,SG_G1,6,29.6226,28.8868,318
2026-09-13,A2,G2_G3_一般,1,61.7502,20.8429,2434
2026-09-13,A2,G2_G3_一般,2,45.275,24.0379,2236
2026-09-13,A2,G2_G3_一般,3,44.1195,24.3322,2277
2026-09-13,A2,G2_G3_一般,4,39.627,24.138,2091
2026-09-13,A2,G2_G3_一般,5,34.7878,22.6991,2097
2026-09-13,A2,G2_G3_一般,6,26.7671,21.3393,1876
2026-09-13,A2,SG_G1,1,99.1071,29.4913,28
2026-09-13,A2,SG_G1,2,53.5714,53.5,35
2026-09-13,A2,SG_G1,3,50.0,51.2348,30
2026-09-13,A2,SG_G1,4,43.1034,54.4948,29
2026-09-13,A2,SG_G1,5,48.2759,40.4346,29
2026-09-13,A2,SG_G1,6,41.4062,31.6286,32
2026-09-13,B1,全,1,68.7864,33.6691,3774
2026-09-13,B1,全,2,47.358,32.4778,4648
2026-09-13,B1,全,3,44.907,33.137,4675
2026-09-13,B1,全,4,39.941,32.6219,4745
2026-09-13,B1,全,5,35.5453,30.2831,4768
2026-09-13,B1,全,6,25.4632,26.062,4188
2026-09-13,B2,全,1,79.3617,46.7521,235
2026-09-13,B2,全,2,47.1947,44.5037,303
2026-09-13,B2,全,3,45.1308,42.3242,344
2026-09-13,B2,全,4,33.8641,37.3233,471
2026-09-13,B2,全,5,29.7619,36.9325,567
2026-09-13,B2,全,6,12.822,26.1023,1747
2026-09-13,A1,G2_G3_一般,0,33.0378,17.3774,12078
2026-09-13,A1,SG_G1,0,50.4894,35.4991,1880
2026-09-13,A2,G2_G3_一般,0,42.8883,25.3787,13011
2026-09-13,A2,SG_G1,0,55.3279,48.7791,183
2026-09-13,B1,全,0,43.1114,33.898,26798
2026-09-13,B2,全,0,28.2792,39.0871,3667
