レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202609131001,2026-09-13,10,01R,08:32,2026-09-13T08:22:24.462162+09:00,10.2,13.4,14.6,23.9,13.1,16.4,17.3,17.4,29.6,34.7,19.9,23.3,35.5,37.6,26.9,21.3,39.0,39.2,37.3,29.8,49.8,91.3,93.7,92.9,117.6,251.3,425.3,381.3,257.1,315.9,737.2,307.1,245.7,1105,1843,614.3,291.0,614.3,1579,263.2,64.6,73.2,66.6,79.5,96.1,167.5,269.7,257.1,136.5,240.3,425.3,263.2,105.3,650.4,381.3,221.1,230.3,502.6,315.9,291.0,212.6,141.7,111.6,153.5,345.5,737.2,409.5,737.2,245.7,691.1,691.1,650.4,157.9,325.2,345.5,263.2,345.5,650.4,1005,789.8,208.6,151.4,165.0,125.6,650.4,650.4,1382,850.6,221.1,650.4,1228,650.4,263.2,691.1,650.4,335.0,263.2,789.8,552.9,526.5,208.6,216.8,208.6,221.1,257.1,614.3,1105,1228,460.7,921.5,582.0,1843,442.3,1382,1228,789.8,307.1,1843,1105,1579
202609132101,2026-09-13,21,01R,08:44,2026-09-13T08:34:18.424815+09:00,4.7,19.5,67.1,8.4,8.6,22.1,102.9,13.0,54.2,57.6,272.3,65.1,142.4,175.0,322.4,298.8,16.8,21.1,60.8,229.0,21.5,66.2,152.2,25.6,46.9,134.6,490.1,81.1,218.8,331.1,765.8,350.1,395.2,907.6,1441,1750,65.8,125.6,318.2,907.6,30.4,96.1,176.3,53.2,49.0,145.0,480.5,90.7,172.5,295.2,662.3,371.3,371.3,875.2,1021,907.6,109.8,133.9,331.1,907.6,211.2,288.3,401.7,169.0,429.9,816.9,942.5,680.7,302.5,662.3,700.2,680.7,816.9,1750,1113,1531,331.1,510.5,907.6,1750,408.4,415.3,765.8,742.6,453.8,1167,1113,980.2,907.6,2042,1531,1441,1113,2227,1885,1633,1750,1113,1750,2227,52.9,94.6,200.8,395.2,75.6,130.3,371.3,907.6,176.3,170.1,556.9,1167,314.1,382.9,875.2,1531,845.0,1361,845.0,1225
202609131002,2026-09-13,10,02R,08:58,2026-09-13T08:48:25.114143+09:00,8.1,16.0,9.5,11.2,25.9,60.4,66.2,66.5,51.1,104.4,160.4,141.4,43.2,76.4,133.0,80.5,51.4,112.2,197.4,132.1,12.5,23.3,14.0,13.4,36.6,115.9,94.5,63.2,84.3,239.5,181.4,136.1,43.3,102.6,169.4,65.8,49.2,84.7,195.2,115.9,71.2,179.6,122.2,224.5,95.5,167.9,185.2,179.6,382.2,246.1,816.6,513.3,216.4,224.5,579.5,427.7,544.4,276.4,1197,359.3,123.9,289.7,208.9,315.1,153.5,359.3,332.7,272.2,472.7,460.6,1056,945.5,338.9,399.2,898.3,309.7,499.0,528.4,945.5,399.2,112.2,177.8,390.5,233.3,110.9,185.2,460.6,149.7,326.6,211.3,1497,619.5,499.0,665.4,1122,294.5,227.4,260.3,294.5,390.5,140.3,598.8,748.5,417.8,179.6,272.2,641.6,528.4,898.3,374.2,998.1,619.5,898.3,855.5,1796,528.4,390.5,619.5,1122,460.6
