レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609071401,2026-09-07,14,01R,08:44,2026-09-07T08:34:21.176011+09:00,18,10,08,06,04,02,01,A2,4347,魚谷 香織,8.00,7,01,12,9.00,5,8.00,5,7.00,5,6.00,5,5.00,2,4.50,2,B2,5108,柴田 愛梨,1.00,38,00,6,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B1,4900,中田 夕貴,4.00,26,00,9,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B1,4720,西澤 日花里,2.50,35,00,,5.00,0,4.33,0,3.67,0,3.00,0,2.33,0,2.00,0,B2,5380,野田 亜湖,2.00,36,00,7,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B2,5056,西岡 成美,2.00,36,00,10,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0
202609071402,2026-09-07,14,02R,09:10,2026-09-07T09:00:42.683267+09:00,18,10,08,06,04,02,01,B1,5334,樫葉 新心,3.00,33,00,,5.33,0,4.67,0,4.00,0,3.33,0,2.67,0,2.33,0,A1,4845,前田 紗希,6.00,14,01,8,7.33,3,6.67,3,6.00,3,5.33,2,4.67,2,4.33,0,B1,4689,豊田 結,6.00,14,01,,7.33,5,6.67,5,6.00,5,5.33,0,4.67,0,4.33,0,B1,4784,向井田 真紀,3.50,32,00,,5.67,0,5.00,0,4.33,0,3.67,0,3.00,0,2.67,0,B1,4746,大豆生田 蒼,1.00,38,00,7,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A2,4974,安井 瑞紀,7.00,10,01,11,8.00,5,7.33,5,6.67,3,6.00,3,5.33,2,5.00,2
202609071403,2026-09-07,14,03R,09:36,2026-09-07T09:26:23.335248+09:00,18,10,08,06,04,02,01,A2,4642,松尾 夏海,6.00,14,01,9,7.33,3,6.67,3,6.00,3,5.33,2,4.67,2,4.33,0,B1,5153,佐藤 ほのか,4.00,27,00,10,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B1,4901,出口 舞有子,6.00,14,01,8,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0,B1,4678,水野 望美,4.00,27,00,11,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,A1,4611,今井 美亜,9.00,5,01,12,9.33,5,8.67,5,8.00,5,7.33,5,6.67,5,6.33,5,B1,4965,福岡 泉水,賞除,--,00,,-29.33,0,-30.00,0,-30.67,0,-31.33,0,-32.00,0,-32.33,0
202609071404,2026-09-07,14,04R,10:02,2026-09-07T09:52:23.976344+09:00,18,10,08,06,04,02,01,A1,5193,米丸 乃絵,7.50,9,01,,8.33,5,7.67,5,7.00,5,6.33,5,5.67,0,5.33,0,B1,5069,山崎 小葉音,6.00,14,01,8,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0,A2,4372,原田 佑実,4.50,27,00,12,6.33,5,5.67,2,5.00,2,4.33,2,3.67,0,3.33,0,B1,4400,加藤 奈月,-2.00,42,00,10,4.00,2,3.00,0,2.00,0,1.00,0,0.00,0,-0.50,0,B1,4733,赤井 睦,6.00,14,01,11,8.00,5,7.00,3,6.00,3,5.00,2,4.00,2,3.50,2,A2,4627,藤原 菜希,6.00,14,01,9,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0
202609071405,2026-09-07,14,05R,10:28,2026-09-07T10:18:24.740720+09:00,18,10,08,06,04,02,01,B2,5342,原村 百那,-2.50,43,00,,1.67,0,1.00,0,0.33,0,-0.33,0,-1.00,0,-1.33,0,A2,4885,大山 千広,10.00,1,01,11,10.00,5,9.33,5,8.67,5,8.00,5,7.33,5,7.00,5,B1,4843,深尾 巴恵,3.00,33,00,,5.33,0,4.67,0,4.00,0,3.33,0,2.67,0,2.33,0,A2,4680,後藤 美翼,4.00,29,00,,6.00,5,5.33,0,4.67,0,4.00,0,3.33,0,3.00,0,B1,4714,喜多須 杏奈,10.00,1,01,10,10.00,5,9.00,5,8.00,3,7.00,3,6.00,3,5.50,2,B1,4984,森下 愛梨,10.00,1,01,9,10.00,5,9.00,5,8.00,3,7.00,3,6.00,3,5.50,2
202609071101,2026-09-07,11,01R,10:35,2026-09-07T10:26:21.765288+09:00,18,10,08,06,04,02,01,B1,5379,廣部 大明,2.00,39,00,8,3.60,0,3.20,0,2.80,0,2.40,0,2.00,0,1.80,0,B1,5271,杉山 太陽,2.50,35,00,6,4.00,0,3.60,0,3.20,0,2.80,0,2.40,0,2.20,0,B1,5368,宮崎 心之介,3.00,32,00,12,4.40,2,4.00,0,3.60,0,3.20,0,2.80,0,2.60,0,A1,5298,水谷 理人,4.80,22,00,7,5.67,3,5.33,2,5.00,2,4.67,0,4.33,0,4.17,0,B1,5343,小林 礼央,3.25,30,00,5,4.60,2,4.20,0,3.80,0,3.40,0,3.00,0,2.80,0,B1,5273,山下 拓巳,賞除,--,00,,-17.00,0,-17.40,0,-17.80,0,-18.20,0,-18.60,0,-18.80,0
202609071301,2026-09-07,13,01R,10:38,2026-09-07T10:28:17.635037+09:00,18,10,08,06,04,02,01,B1,4750,井上 尚悟,0.00,1,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,5307,富永 夏哉人,0.00,1,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4172,森定 晃史,0.00,1,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4902,山川 雄大,0.00,1,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3860,松本 浩貴,0.00,1,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5372,上岡 巧汰,0.00,1,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609071601,2026-09-07,16,01R,10:53,2026-09-07T10:44:21.810841+09:00,18,10,08,06,04,02,01,A2,4441,末永 由楽,0.00,1,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4924,中北 涼,0.00,1,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,5286,坂井 滉哉,0.00,1,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3284,渡邊 伸太郎,0.00,1,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4343,村岡 賢,0.00,1,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5423,高橋 嗣穏,0.00,1,01,6,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609070401,2026-09-07,04,01R,10:55,2026-09-07T10:46:18.069408+09:00,18,10,08,06,04,02,01,B2,4781,西舘 果里,2.67,40,00,,4.50,0,4.00,0,3.50,0,3.00,0,2.50,0,2.25,0,B1,4893,渡邉 真奈美,7.33,11,01,6,8.00,5,7.50,5,7.00,3,6.50,3,6.00,3,5.75,2,B2,5357,田中 瀬里奈,1.33,44,00,,3.50,0,3.00,0,2.50,0,2.00,0,1.50,0,1.25,0,B2,4854,大橋 由珠,6.00,17,01,9,7.00,5,6.50,3,6.00,3,5.50,2,5.00,2,4.75,2,B1,4501,樋口 由加里,8.00,5,01,11,8.50,5,8.00,5,7.50,5,7.00,5,6.50,3,6.25,3,A2,4175,川尻 泰輔,6.00,17,01,10,7.00,5,6.50,3,6.00,3,5.50,2,5.00,2,4.75,2
202609071406,2026-09-07,14,06R,10:58,2026-09-07T10:48:19.783153+09:00,18,10,08,06,04,02,01,B1,5198,奥村 明日香,8.00,8,01,,8.67,5,8.00,5,7.33,5,6.67,5,6.00,5,5.67,0,A1,4050,田口 節子,6.00,17,01,10,7.33,3,6.67,3,6.00,3,5.33,2,4.67,2,4.33,0,A2,5195,北村 寧々,10.00,1,01,11,10.00,5,9.00,5,8.00,5,7.00,3,6.00,3,5.50,2,A2,4450,平高 奈菜,8.50,6,01,12,9.00,5,8.33,5,7.67,5,7.00,5,6.33,5,6.00,5,B2,5108,柴田 愛梨,1.50,37,00,1,4.33,0,3.67,0,3.00,0,2.33,0,1.67,0,1.33,0,B2,5390,高橋 涼夏,賞除,--,00,,-29.33,0,-30.00,0,-30.67,0,-31.33,0,-32.00,0,-32.33,0
