レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609100101,2026-09-10,01,桐生,1R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,一般,15:18,
202609100102,2026-09-10,01,桐生,2R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,一般,15:42,
202609100103,2026-09-10,01,桐生,3R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,一般,16:13,
202609100104,2026-09-10,01,桐生,4R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,一般,16:42,
202609100105,2026-09-10,01,桐生,5R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,一般,17:10,
202609100106,2026-09-10,01,桐生,6R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,ドラドキ目玉,17:37,
202609100107,2026-09-10,01,桐生,7R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,ドラドキ３,18:04,
202609100108,2026-09-10,01,桐生,8R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,ドラドキ５,18:33,
202609100109,2026-09-10,01,桐生,9R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,ＤＫ特選,19:04,
202609100110,2026-09-10,01,桐生,10R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,選抜戦,19:36,
202609100111,2026-09-10,01,桐生,11R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,選抜戦,20:07,
202609100112,2026-09-10,01,桐生,12R,バスケで群馬を熱くする群馬クレインサンダーズカップ,最終日,IP,N,優勝戦,20:38,
202609100301,2026-09-10,03,江戸川,1R,月兎ソースカップ,５日目,IP,D,一般,11:14,
202609100302,2026-09-10,03,江戸川,2R,月兎ソースカップ,５日目,IP,D,一般,11:41,
202609100303,2026-09-10,03,江戸川,3R,月兎ソースカップ,５日目,IP,D,一般,12:08,
202609100304,2026-09-10,03,江戸川,4R,月兎ソースカップ,５日目,IP,D,一般,12:35,
202609100305,2026-09-10,03,江戸川,5R,月兎ソースカップ,５日目,IP,D,一般,13:02,
202609100306,2026-09-10,03,江戸川,6R,月兎ソースカップ,５日目,IP,D,一般,13:29,
202609100307,2026-09-10,03,江戸川,7R,月兎ソースカップ,５日目,IP,D,一般,13:56,
202609100308,2026-09-10,03,江戸川,8R,月兎ソースカップ,５日目,IP,D,一般,14:24,
202609100309,2026-09-10,03,江戸川,9R,月兎ソースカップ,５日目,IP,D,一般特賞,14:52,
202609100310,2026-09-10,03,江戸川,10R,月兎ソースカップ,５日目,IP,D,一般特賞,15:22,
202609100311,2026-09-10,03,江戸川,11R,月兎ソースカップ,５日目,IP,D,準優勝戦,15:53,
202609100312,2026-09-10,03,江戸川,12R,月兎ソースカップ,５日目,IP,D,準優勝戦,16:25,
202609100401,2026-09-10,04,平和島,1R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,10:55,
202609100402,2026-09-10,04,平和島,2R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,11:24,
202609100403,2026-09-10,04,平和島,3R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,11:53,
202609100404,2026-09-10,04,平和島,4R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,12:22,
202609100405,2026-09-10,04,平和島,5R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,12:52,
202609100406,2026-09-10,04,平和島,6R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,13:22,
202609100407,2026-09-10,04,平和島,7R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,13:53,
202609100408,2026-09-10,04,平和島,8R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般,14:24,
202609100409,2026-09-10,04,平和島,9R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,一般特選,14:56,
202609100410,2026-09-10,04,平和島,10R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,選抜,15:29,
202609100411,2026-09-10,04,平和島,11R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,選抜,16:03,
202609100412,2026-09-10,04,平和島,12R,第２３回サントリーカップ　ほぼ女子戦,最終日,IP,D,優勝戦,16:38,
202609100501,2026-09-10,05,多摩川,1R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,11:03,
202609100502,2026-09-10,05,多摩川,2R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,11:32,
202609100503,2026-09-10,05,多摩川,3R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,12:01,
202609100504,2026-09-10,05,多摩川,4R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,12:31,
202609100505,2026-09-10,05,多摩川,5R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,13:01,
202609100506,2026-09-10,05,多摩川,6R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,13:31,
202609100507,2026-09-10,05,多摩川,7R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,14:01,
202609100508,2026-09-10,05,多摩川,8R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選,14:32,
202609100509,2026-09-10,05,多摩川,9R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選特賞,15:04,
202609100510,2026-09-10,05,多摩川,10R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選特賞,15:37,
202609100511,2026-09-10,05,多摩川,11R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,予選特選,16:11,
202609100512,2026-09-10,05,多摩川,12R,にっぽん未来プロジェクト競走ｉｎ多摩川,２日目,IP,D,記者選抜戦,16:46,
202609101301,2026-09-10,13,尼崎,1R,第２５回報知ローズカップ争奪戦,４日目,IP,D,朝からセンプル,10:38,
202609101302,2026-09-10,13,尼崎,2R,第２５回報知ローズカップ争奪戦,４日目,IP,D,一般,11:06,
202609101303,2026-09-10,13,尼崎,3R,第２５回報知ローズカップ争奪戦,４日目,IP,D,一般,11:35,
