レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609150401,2026-09-15,04,平和島,1R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,10:55,
202609150402,2026-09-15,04,平和島,2R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,11:24,
202609150403,2026-09-15,04,平和島,3R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,11:54,
202609150404,2026-09-15,04,平和島,4R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,12:22,
202609150405,2026-09-15,04,平和島,5R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,12:52,
202609150406,2026-09-15,04,平和島,6R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,13:22,
202609150407,2026-09-15,04,平和島,7R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,13:53,
202609150408,2026-09-15,04,平和島,8R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選,14:25,
202609150409,2026-09-15,04,平和島,9R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選特賞,14:57,
202609150410,2026-09-15,04,平和島,10R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選特賞,15:30,
202609150411,2026-09-15,04,平和島,11R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,予選特選,16:04,
202609150412,2026-09-15,04,平和島,12R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,２日目,IP,D,記者選抜,16:44,
202609150601,2026-09-15,06,浜名湖,1R,静岡朝日テレビサンライズカップ,最終日,IP,S,一般,11:35,
202609150602,2026-09-15,06,浜名湖,2R,静岡朝日テレビサンライズカップ,最終日,IP,S,一般,12:00,
202609150603,2026-09-15,06,浜名湖,3R,静岡朝日テレビサンライズカップ,最終日,IP,S,一般,12:29,
202609150604,2026-09-15,06,浜名湖,4R,静岡朝日テレビサンライズカップ,最終日,IP,S,ランチタイム戦,13:00,
202609150605,2026-09-15,06,浜名湖,5R,静岡朝日テレビサンライズカップ,最終日,IP,S,一般,13:29,
202609150606,2026-09-15,06,浜名湖,6R,静岡朝日テレビサンライズカップ,最終日,IP,S,一般,14:00,
202609150607,2026-09-15,06,浜名湖,7R,静岡朝日テレビサンライズカップ,最終日,IP,S,一般,14:32,
202609150608,2026-09-15,06,浜名湖,8R,静岡朝日テレビサンライズカップ,最終日,IP,S,ブレイクタイム,15:03,
202609150609,2026-09-15,06,浜名湖,9R,静岡朝日テレビサンライズカップ,最終日,IP,S,一般特選,15:36,
202609150610,2026-09-15,06,浜名湖,10R,静岡朝日テレビサンライズカップ,最終日,IP,S,選抜戦,16:06,
202609150611,2026-09-15,06,浜名湖,11R,静岡朝日テレビサンライズカップ,最終日,IP,S,選抜戦,16:36,
202609150612,2026-09-15,06,浜名湖,12R,静岡朝日テレビサンライズカップ,最終日,IP,S,優勝戦,17:06,
202609150701,2026-09-15,07,蒲郡,1R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,15:19,
202609150702,2026-09-15,07,蒲郡,2R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,15:48,
202609150703,2026-09-15,07,蒲郡,3R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,16:12,
202609150704,2026-09-15,07,蒲郡,4R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,16:40,
202609150705,2026-09-15,07,蒲郡,5R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,17:08,
202609150706,2026-09-15,07,蒲郡,6R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,17:37,
202609150707,2026-09-15,07,蒲郡,7R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,18:04,
202609150708,2026-09-15,07,蒲郡,8R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選,18:32,
202609150709,2026-09-15,07,蒲郡,9R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選特賞,19:02,
202609150710,2026-09-15,07,蒲郡,10R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選特賞,19:32,
202609150711,2026-09-15,07,蒲郡,11R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選特選,20:04,
202609150712,2026-09-15,07,蒲郡,12R,ルーキーシリーズ第１７戦スカパー！・ＪＬＣ杯,３日目,IP,N,予選記者特選,20:35,
202609150801,2026-09-15,08,常滑,1R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,朝トコ小判Ｒ,10:43,
202609150802,2026-09-15,08,常滑,2R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選,11:14,
202609150803,2026-09-15,08,常滑,3R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選,11:42,
202609150804,2026-09-15,08,常滑,4R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選,12:08,
202609150805,2026-09-15,08,常滑,5R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,三Ａ傑戦,12:38,
202609150806,2026-09-15,08,常滑,6R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,昼トコ小判Ｒ,13:08,
202609150807,2026-09-15,08,常滑,7R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選,13:38,
202609150808,2026-09-15,08,常滑,8R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選,14:07,
202609150809,2026-09-15,08,常滑,9R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選特賞,14:38,
202609150810,2026-09-15,08,常滑,10R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選特賞,15:10,
202609150811,2026-09-15,08,常滑,11R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選特選,15:46,
202609150812,2026-09-15,08,常滑,12R,ヴィーナスシリーズ第１３戦常滑シンデレラカップ,４日目,IP,D,予選特選,16:25,
202609150901,2026-09-15,09,津,1R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,ツッキーレース,10:34,
202609150902,2026-09-15,09,津,2R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選,11:03,
202609150903,2026-09-15,09,津,3R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選,11:33,
202609150904,2026-09-15,09,津,4R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選,12:03,
202609150905,2026-09-15,09,津,5R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,５ールドレース,12:32,
202609150906,2026-09-15,09,津,6R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選,13:02,
202609150907,2026-09-15,09,津,7R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選,13:34,
202609150908,2026-09-15,09,津,8R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選,14:04,
202609150909,2026-09-15,09,津,9R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選特賞,14:35,
202609150910,2026-09-15,09,津,10R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選特賞,15:07,
202609150911,2026-09-15,09,津,11R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,予選特選,15:41,
202609150912,2026-09-15,09,津,12R,にっぽん未来プロジェクト競走ｉｎ津,４日目,IP,D,ツッキー選抜戦,16:20,
202609151001,2026-09-15,10,三国,1R,福井ユナイテッド杯,最終日,IP,M,みくにあさイチ,08:32,
202609151002,2026-09-15,10,三国,2R,福井ユナイテッド杯,最終日,IP,M,みくにあさガチ,08:58,
202609151003,2026-09-15,10,三国,3R,福井ユナイテッド杯,最終日,IP,M,みくにあさズバ,09:24,
202609151004,2026-09-15,10,三国,4R,福井ユナイテッド杯,最終日,IP,M,みくにあさ推し,09:50,
202609151005,2026-09-15,10,三国,5R,福井ユナイテッド杯,最終日,IP,M,一般,10:18,
202609151006,2026-09-15,10,三国,6R,福井ユナイテッド杯,最終日,IP,M,一般,10:48,
202609151007,2026-09-15,10,三国,7R,福井ユナイテッド杯,最終日,IP,M,一般,11:19,
202609151008,2026-09-15,10,三国,8R,福井ユナイテッド杯,最終日,IP,M,一般,11:50,
202609151009,2026-09-15,10,三国,9R,福井ユナイテッド杯,最終日,IP,M,一般特選,12:24,
202609151010,2026-09-15,10,三国,10R,福井ユナイテッド杯,最終日,IP,M,選抜戦,12:58,
202609151011,2026-09-15,10,三国,11R,福井ユナイテッド杯,最終日,IP,M,選抜戦,13:32,
202609151012,2026-09-15,10,三国,12R,福井ユナイテッド杯,最終日,IP,M,優勝戦,14:11,
202609151101,2026-09-15,11,びわこ,1R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,10:31,
202609151102,2026-09-15,11,びわこ,2R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,10:58,
202609151103,2026-09-15,11,びわこ,3R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,11:28,
202609151104,2026-09-15,11,びわこ,4R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,11:57,
202609151105,2026-09-15,11,びわこ,5R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,12:27,
202609151106,2026-09-15,11,びわこ,6R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,12:55,
202609151107,2026-09-15,11,びわこ,7R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,13:26,
202609151108,2026-09-15,11,びわこ,8R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選,13:57,
202609151109,2026-09-15,11,びわこ,9R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選特賞,14:27,
202609151110,2026-09-15,11,びわこ,10R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選特賞,15:00,
202609151111,2026-09-15,11,びわこ,11R,スポーツニッポン新聞社杯争奪　第５１回八景賞,３日目,IP,D,予選特選,15:33,
