レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609070101,2026-09-07,01,桐生,1R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選,15:18,
202609070102,2026-09-07,01,桐生,2R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選,15:42,
202609070103,2026-09-07,01,桐生,3R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選,16:07,
202609070104,2026-09-07,01,桐生,4R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選,16:33,
202609070105,2026-09-07,01,桐生,5R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選,17:01,
202609070106,2026-09-07,01,桐生,6R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,ドラドキ目玉,17:28,
202609070107,2026-09-07,01,桐生,7R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,ドラドキ３,17:55,
202609070108,2026-09-07,01,桐生,8R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,ドラドキ５,18:23,
202609070109,2026-09-07,01,桐生,9R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選特賞,18:54,
202609070110,2026-09-07,01,桐生,10R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選特賞,19:25,
202609070111,2026-09-07,01,桐生,11R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,予選特選,19:58,
202609070112,2026-09-07,01,桐生,12R,バスケで群馬を熱くする群馬クレインサンダーズカップ,３日目,IP,N,桐生特選,20:30,
202609070301,2026-09-07,03,江戸川,1R,月兎ソースカップ,３日目,IP,D,予選,11:14,
202609070302,2026-09-07,03,江戸川,2R,月兎ソースカップ,３日目,IP,D,予選,11:41,
202609070303,2026-09-07,03,江戸川,3R,月兎ソースカップ,３日目,IP,D,予選,12:08,
202609070304,2026-09-07,03,江戸川,4R,月兎ソースカップ,３日目,IP,D,予選,12:35,
202609070305,2026-09-07,03,江戸川,5R,月兎ソースカップ,３日目,IP,D,予選,13:02,
202609070306,2026-09-07,03,江戸川,6R,月兎ソースカップ,３日目,IP,D,予選,13:29,
202609070307,2026-09-07,03,江戸川,7R,月兎ソースカップ,３日目,IP,D,予選,13:56,
202609070308,2026-09-07,03,江戸川,8R,月兎ソースカップ,３日目,IP,D,予選,14:24,
202609070309,2026-09-07,03,江戸川,9R,月兎ソースカップ,３日目,IP,D,予選特賞,14:52,
202609070310,2026-09-07,03,江戸川,10R,月兎ソースカップ,３日目,IP,D,予選特賞,15:22,
202609070311,2026-09-07,03,江戸川,11R,月兎ソースカップ,３日目,IP,D,予選特選,15:53,
202609070312,2026-09-07,03,江戸川,12R,月兎ソースカップ,３日目,IP,D,記者選抜戦,16:25,
202609070401,2026-09-07,04,平和島,1R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,10:55,
202609070402,2026-09-07,04,平和島,2R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,11:24,
202609070403,2026-09-07,04,平和島,3R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,11:53,
202609070404,2026-09-07,04,平和島,4R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,12:22,
202609070405,2026-09-07,04,平和島,5R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,12:52,
202609070406,2026-09-07,04,平和島,6R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,13:22,
202609070407,2026-09-07,04,平和島,7R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,13:53,
202609070408,2026-09-07,04,平和島,8R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選,14:24,
202609070409,2026-09-07,04,平和島,9R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選特賞,14:56,
202609070410,2026-09-07,04,平和島,10R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選特賞,15:29,
202609070411,2026-09-07,04,平和島,11R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,予選特選,16:03,
202609070412,2026-09-07,04,平和島,12R,第２３回サントリーカップ　ほぼ女子戦,３日目,IP,D,記者選抜,16:38,
202609070701,2026-09-07,07,蒲郡,1R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,15:20,
202609070702,2026-09-07,07,蒲郡,2R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,15:48,
202609070703,2026-09-07,07,蒲郡,3R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,16:13,
202609070704,2026-09-07,07,蒲郡,4R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,16:42,
202609070705,2026-09-07,07,蒲郡,5R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,17:10,
202609070706,2026-09-07,07,蒲郡,6R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,17:37,
202609070707,2026-09-07,07,蒲郡,7R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,18:04,
202609070708,2026-09-07,07,蒲郡,8R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,18:33,
202609070709,2026-09-07,07,蒲郡,9R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,準優勝戦,19:04,
202609070710,2026-09-07,07,蒲郡,10R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,準優勝戦,19:36,
202609070711,2026-09-07,07,蒲郡,11R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,準優勝戦,20:07,
202609070712,2026-09-07,07,蒲郡,12R,一般社団法人蒲郡市観光協会長杯,４日目,IP,N,一般戦,20:38,
202609070901,2026-09-07,09,津,1R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,10:42,
202609070902,2026-09-07,09,津,2R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,11:12,
202609070903,2026-09-07,09,津,3R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,11:42,
202609070904,2026-09-07,09,津,4R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,12:13,
202609070905,2026-09-07,09,津,5R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,12:44,
202609070906,2026-09-07,09,津,6R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,13:15,
202609070907,2026-09-07,09,津,7R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,13:46,
202609070908,2026-09-07,09,津,8R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,14:17,
202609070909,2026-09-07,09,津,9R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,一般,14:48,
202609070910,2026-09-07,09,津,10R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,準優勝戦,15:22,
202609070911,2026-09-07,09,津,11R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,準優勝戦,15:57,
202609070912,2026-09-07,09,津,12R,開設７４周年記念　ツッキー王座決定戦,５日目,G1,D,準優勝戦,16:35,
202609071001,2026-09-07,10,三国,1R,三国港解禁ふくい甘えび杯,５日目,IP,M,みくにあさイチ,08:32,
202609071002,2026-09-07,10,三国,2R,三国港解禁ふくい甘えび杯,５日目,IP,M,みくにあさガチ,08:58,
202609071003,2026-09-07,10,三国,3R,三国港解禁ふくい甘えび杯,５日目,IP,M,みくにあさズバ,09:24,
202609071004,2026-09-07,10,三国,4R,三国港解禁ふくい甘えび杯,５日目,IP,M,みくにあさ推し,09:50,
202609071005,2026-09-07,10,三国,5R,三国港解禁ふくい甘えび杯,５日目,IP,M,一般,10:18,
202609071006,2026-09-07,10,三国,6R,三国港解禁ふくい甘えび杯,５日目,IP,M,一般,10:48,
