レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609080101,2026-09-08,01,桐生,1R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,予選,15:18,
202609080102,2026-09-08,01,桐生,2R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,予選,15:43,
202609080103,2026-09-08,01,桐生,3R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,予選,16:09,
202609080104,2026-09-08,01,桐生,4R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,予選,16:33,
202609080105,2026-09-08,01,桐生,5R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,予選,17:01,
202609080106,2026-09-08,01,桐生,6R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,ドラドキ目玉,17:28,
202609080107,2026-09-08,01,桐生,7R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,ドラドキ３,17:55,
202609080108,2026-09-08,01,桐生,8R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,ドラドキ５,18:23,
202609080109,2026-09-08,01,桐生,9R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,予選特賞,18:54,
202609080110,2026-09-08,01,桐生,10R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,予選特賞,19:25,
202609080111,2026-09-08,01,桐生,11R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,一般特選,19:58,
202609080112,2026-09-08,01,桐生,12R,バスケで群馬を熱くする群馬クレインサンダーズカップ,４日目,IP,N,一般桐生特選,20:30,
202609080301,2026-09-08,03,江戸川,1R,月兎ソースカップ,４日目,IP,D,予選,11:14,
202609080302,2026-09-08,03,江戸川,2R,月兎ソースカップ,４日目,IP,D,予選,11:41,
202609080303,2026-09-08,03,江戸川,3R,月兎ソースカップ,４日目,IP,D,予選,12:08,
202609080304,2026-09-08,03,江戸川,4R,月兎ソースカップ,４日目,IP,D,予選,12:35,
202609080305,2026-09-08,03,江戸川,5R,月兎ソースカップ,４日目,IP,D,予選,13:02,
202609080306,2026-09-08,03,江戸川,6R,月兎ソースカップ,４日目,IP,D,予選,13:29,
202609080307,2026-09-08,03,江戸川,7R,月兎ソースカップ,４日目,IP,D,予選,13:56,
202609080308,2026-09-08,03,江戸川,8R,月兎ソースカップ,４日目,IP,D,予選,14:24,
202609080309,2026-09-08,03,江戸川,9R,月兎ソースカップ,４日目,IP,D,予選特賞,14:52,
202609080310,2026-09-08,03,江戸川,10R,月兎ソースカップ,４日目,IP,D,予選特賞,15:22,
202609080311,2026-09-08,03,江戸川,11R,月兎ソースカップ,４日目,IP,D,予選特選,15:53,
202609080312,2026-09-08,03,江戸川,12R,月兎ソースカップ,４日目,IP,D,記者選抜戦,16:25,
202609080401,2026-09-08,04,平和島,1R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,10:55,
202609080402,2026-09-08,04,平和島,2R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,11:24,
202609080403,2026-09-08,04,平和島,3R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,11:53,
202609080404,2026-09-08,04,平和島,4R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,12:22,
202609080405,2026-09-08,04,平和島,5R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,12:52,
202609080406,2026-09-08,04,平和島,6R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,13:22,
202609080407,2026-09-08,04,平和島,7R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,13:53,
202609080408,2026-09-08,04,平和島,8R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選,14:24,
202609080409,2026-09-08,04,平和島,9R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選特賞,14:56,
202609080410,2026-09-08,04,平和島,10R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選特賞,15:29,
202609080411,2026-09-08,04,平和島,11R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,予選特選,16:03,
202609080412,2026-09-08,04,平和島,12R,第２３回サントリーカップ　ほぼ女子戦,４日目,IP,D,記者選抜,16:38,
202609080701,2026-09-08,07,蒲郡,1R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,15:24,
202609080702,2026-09-08,07,蒲郡,2R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,15:49,
202609080703,2026-09-08,07,蒲郡,3R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,16:17,
202609080704,2026-09-08,07,蒲郡,4R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,16:42,
202609080705,2026-09-08,07,蒲郡,5R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,17:10,
202609080706,2026-09-08,07,蒲郡,6R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,17:37,
202609080707,2026-09-08,07,蒲郡,7R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,18:04,
202609080708,2026-09-08,07,蒲郡,8R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般戦,18:33,
202609080709,2026-09-08,07,蒲郡,9R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,一般特選,19:04,
202609080710,2026-09-08,07,蒲郡,10R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,選抜戦,19:36,
202609080711,2026-09-08,07,蒲郡,11R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,選抜戦,20:07,
202609080712,2026-09-08,07,蒲郡,12R,一般社団法人蒲郡市観光協会長杯,最終日,IP,N,優勝戦,20:38,
202609080901,2026-09-08,09,津,1R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,10:42,
202609080902,2026-09-08,09,津,2R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,11:12,
202609080903,2026-09-08,09,津,3R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,11:42,
202609080904,2026-09-08,09,津,4R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,12:13,
202609080905,2026-09-08,09,津,5R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,12:44,
202609080906,2026-09-08,09,津,6R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,13:15,
202609080907,2026-09-08,09,津,7R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,13:46,
202609080908,2026-09-08,09,津,8R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,一般,14:17,
202609080909,2026-09-08,09,津,9R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,ツッキー選抜,14:48,
202609080910,2026-09-08,09,津,10R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,特別選抜戦,15:21,
202609080911,2026-09-08,09,津,11R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,特別選抜戦,15:56,
202609080912,2026-09-08,09,津,12R,開設７４周年記念　ツッキー王座決定戦,最終日,G1,D,優勝戦,16:35,
202609081001,2026-09-08,10,三国,1R,三国港解禁ふくい甘えび杯,最終日,IP,M,みくにあさイチ,08:32,
202609081002,2026-09-08,10,三国,2R,三国港解禁ふくい甘えび杯,最終日,IP,M,みくにあさガチ,08:58,
202609081003,2026-09-08,10,三国,3R,三国港解禁ふくい甘えび杯,最終日,IP,M,みくにあさズバ,09:24,
202609081004,2026-09-08,10,三国,4R,三国港解禁ふくい甘えび杯,最終日,IP,M,みくにあさ推し,09:50,
202609081005,2026-09-08,10,三国,5R,三国港解禁ふくい甘えび杯,最終日,IP,M,一般,10:18,
202609081006,2026-09-08,10,三国,6R,三国港解禁ふくい甘えび杯,最終日,IP,M,一般,10:48,
202609081007,2026-09-08,10,三国,7R,三国港解禁ふくい甘えび杯,最終日,IP,M,一般,11:19,
202609081008,2026-09-08,10,三国,8R,三国港解禁ふくい甘えび杯,最終日,IP,M,一般,11:51,
202609081009,2026-09-08,10,三国,9R,三国港解禁ふくい甘えび杯,最終日,IP,M,一般特選,12:25,
202609081010,2026-09-08,10,三国,10R,三国港解禁ふくい甘えび杯,最終日,IP,M,選抜戦,12:58,
202609081011,2026-09-08,10,三国,11R,三国港解禁ふくい甘えび杯,最終日,IP,M,選抜戦,13:33,
202609081012,2026-09-08,10,三国,12R,三国港解禁ふくい甘えび杯,最終日,IP,M,優勝戦,14:13,
202609081101,2026-09-08,11,びわこ,1R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,10:36,
202609081102,2026-09-08,11,びわこ,2R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,11:06,
202609081103,2026-09-08,11,びわこ,3R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,11:36,
202609081104,2026-09-08,11,びわこ,4R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,12:03,
202609081105,2026-09-08,11,びわこ,5R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,12:32,
202609081106,2026-09-08,11,びわこ,6R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,13:01,
202609081107,2026-09-08,11,びわこ,7R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,13:38,
202609081108,2026-09-08,11,びわこ,8R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,14:09,
202609081109,2026-09-08,11,びわこ,9R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,一般,14:40,
202609081110,2026-09-08,11,びわこ,10R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,準優勝戦,15:10,
202609081111,2026-09-08,11,びわこ,11R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,準優勝戦,15:51,
202609081112,2026-09-08,11,びわこ,12R,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,５日目,IP,D,準優勝戦,16:28,
202609081301,2026-09-08,13,尼崎,1R,第２５回報知ローズカップ争奪戦,２日目,IP,D,朝からセンプル,10:33,
202609081302,2026-09-08,13,尼崎,2R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選,11:03,
202609081303,2026-09-08,13,尼崎,3R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選,11:33,
202609081304,2026-09-08,13,尼崎,4R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選,11:59,
202609081305,2026-09-08,13,尼崎,5R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選,12:28,
202609081306,2026-09-08,13,尼崎,6R,第２５回報知ローズカップ争奪戦,２日目,IP,D,昼どきピンクル,12:56,
202609081307,2026-09-08,13,尼崎,7R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選,13:25,
202609081308,2026-09-08,13,尼崎,8R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選,14:03,
202609081309,2026-09-08,13,尼崎,9R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選特賞,14:33,
202609081310,2026-09-08,13,尼崎,10R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選特賞,15:03,
202609081311,2026-09-08,13,尼崎,11R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選特選,15:41,
202609081312,2026-09-08,13,尼崎,12R,第２５回報知ローズカップ争奪戦,２日目,IP,D,予選特選,16:23,
202609081401,2026-09-08,14,鳴門,1R,ヴィーナスシリーズ第１２戦　マクール杯競走,３日目,IP,M,とるならなると,08:44,
202609081402,2026-09-08,14,鳴門,2R,ヴィーナスシリーズ第１２戦　マクール杯競走,３日目,IP,M,どーなるなると,09:10,
202609081403,2026-09-08,14,鳴門,3R,ヴィーナスシリーズ第１２戦　マクール杯競走,３日目,IP,M,どきどきなると,09:36,
202609081404,2026-09-08,14,鳴門,4R,ヴィーナスシリーズ第１２戦　マクール杯競走,３日目,IP,M,とにかくなると,10:02,
202609081405,2026-09-08,14,鳴門,5R,ヴィーナスシリーズ第１２戦　マクール杯競走,３日目,IP,M,予選,10:28,
