レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609110201,2026-09-11,02,戸田,1R,第５回漫画アクションカップ,初　日,IP,D,予選,10:47,
202609110202,2026-09-11,02,戸田,2R,第５回漫画アクションカップ,初　日,IP,D,予選,11:16,
202609110203,2026-09-11,02,戸田,3R,第５回漫画アクションカップ,初　日,IP,D,予選,11:45,
202609110204,2026-09-11,02,戸田,4R,第５回漫画アクションカップ,初　日,IP,D,予選,12:14,
202609110205,2026-09-11,02,戸田,5R,第５回漫画アクションカップ,初　日,IP,D,ウインウイン５,12:44,
202609110206,2026-09-11,02,戸田,6R,第５回漫画アクションカップ,初　日,IP,D,予選,13:14,
202609110207,2026-09-11,02,戸田,7R,第５回漫画アクションカップ,初　日,IP,D,ウインウイン７,13:45,
202609110208,2026-09-11,02,戸田,8R,第５回漫画アクションカップ,初　日,IP,D,予選,14:16,
202609110209,2026-09-11,02,戸田,9R,第５回漫画アクションカップ,初　日,IP,D,戸田特賞,14:48,
202609110210,2026-09-11,02,戸田,10R,第５回漫画アクションカップ,初　日,IP,D,戸田特賞,15:21,
202609110211,2026-09-11,02,戸田,11R,第５回漫画アクションカップ,初　日,IP,D,記者選抜戦,15:55,
202609110212,2026-09-11,02,戸田,12R,第５回漫画アクションカップ,初　日,IP,D,戸田選抜戦,16:30,
202609110301,2026-09-11,03,江戸川,1R,月兎ソースカップ,最終日,IP,D,一般,11:14,
202609110302,2026-09-11,03,江戸川,2R,月兎ソースカップ,最終日,IP,D,一般,11:41,
202609110303,2026-09-11,03,江戸川,3R,月兎ソースカップ,最終日,IP,D,一般,12:08,
202609110304,2026-09-11,03,江戸川,4R,月兎ソースカップ,最終日,IP,D,一般,12:35,
202609110305,2026-09-11,03,江戸川,5R,月兎ソースカップ,最終日,IP,D,一般,13:02,
202609110306,2026-09-11,03,江戸川,6R,月兎ソースカップ,最終日,IP,D,一般,13:29,
202609110307,2026-09-11,03,江戸川,7R,月兎ソースカップ,最終日,IP,D,一般,13:56,
202609110308,2026-09-11,03,江戸川,8R,月兎ソースカップ,最終日,IP,D,一般,14:24,
202609110309,2026-09-11,03,江戸川,9R,月兎ソースカップ,最終日,IP,D,一般特選,14:52,
202609110310,2026-09-11,03,江戸川,10R,月兎ソースカップ,最終日,IP,D,選抜戦,15:22,
202609110311,2026-09-11,03,江戸川,11R,月兎ソースカップ,最終日,IP,D,選抜戦,15:53,
202609110312,2026-09-11,03,江戸川,12R,月兎ソースカップ,最終日,IP,D,優勝戦,16:25,
202609110501,2026-09-11,05,多摩川,1R,にっぽん未来プロジェクト競走ｉｎ多摩川,３日目,IP,D,予選,11:03,
