レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609140201,2026-09-14,02,戸田,1R,第５回漫画アクションカップ,最終日,IP,D,一般戦,10:47,
202609140202,2026-09-14,02,戸田,2R,第５回漫画アクションカップ,最終日,IP,D,一般戦,11:16,
202609140203,2026-09-14,02,戸田,3R,第５回漫画アクションカップ,最終日,IP,D,一般戦,11:45,
202609140204,2026-09-14,02,戸田,4R,第５回漫画アクションカップ,最終日,IP,D,一般戦,12:14,
202609140205,2026-09-14,02,戸田,5R,第５回漫画アクションカップ,最終日,IP,D,ウインウイン５,12:44,
202609140206,2026-09-14,02,戸田,6R,第５回漫画アクションカップ,最終日,IP,D,一般戦,13:14,
202609140207,2026-09-14,02,戸田,7R,第５回漫画アクションカップ,最終日,IP,D,ウインウイン７,13:45,
202609140208,2026-09-14,02,戸田,8R,第５回漫画アクションカップ,最終日,IP,D,一般戦,14:16,
202609140209,2026-09-14,02,戸田,9R,第５回漫画アクションカップ,最終日,IP,D,戸田特選,14:48,
202609140210,2026-09-14,02,戸田,10R,第５回漫画アクションカップ,最終日,IP,D,選抜戦,15:21,
202609140211,2026-09-14,02,戸田,11R,第５回漫画アクションカップ,最終日,IP,D,選抜戦,15:55,
202609140212,2026-09-14,02,戸田,12R,第５回漫画アクションカップ,最終日,IP,D,優勝戦,16:30,
202609140401,2026-09-14,04,平和島,1R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,10:55,
202609140402,2026-09-14,04,平和島,2R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,11:24,
202609140403,2026-09-14,04,平和島,3R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,11:53,
202609140404,2026-09-14,04,平和島,4R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,12:22,
202609140405,2026-09-14,04,平和島,5R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,12:52,
202609140406,2026-09-14,04,平和島,6R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,13:22,
202609140407,2026-09-14,04,平和島,7R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,13:53,
202609140408,2026-09-14,04,平和島,8R,第７１回日刊スポーツ旗～東京大阪福岡三都市対抗戦～,初　日,IP,D,予選,14:24,
