レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609120201,2026-09-12,02,戸田,1R,第５回漫画アクションカップ,２日目,IP,D,予選,10:47,
202609120202,2026-09-12,02,戸田,2R,第５回漫画アクションカップ,２日目,IP,D,予選,11:16,
202609120203,2026-09-12,02,戸田,3R,第５回漫画アクションカップ,２日目,IP,D,予選,11:45,
202609120204,2026-09-12,02,戸田,4R,第５回漫画アクションカップ,２日目,IP,D,予選,12:14,
202609120205,2026-09-12,02,戸田,5R,第５回漫画アクションカップ,２日目,IP,D,ウインウイン５,12:44,
202609120206,2026-09-12,02,戸田,6R,第５回漫画アクションカップ,２日目,IP,D,予選,13:14,
202609120207,2026-09-12,02,戸田,7R,第５回漫画アクションカップ,２日目,IP,D,ウインウイン７,13:45,
202609120208,2026-09-12,02,戸田,8R,第５回漫画アクションカップ,２日目,IP,D,予選,14:16,
202609120209,2026-09-12,02,戸田,9R,第５回漫画アクションカップ,２日目,IP,D,戸田特賞,14:48,
202609120210,2026-09-12,02,戸田,10R,第５回漫画アクションカップ,２日目,IP,D,戸田特賞,15:21,
202609120211,2026-09-12,02,戸田,11R,第５回漫画アクションカップ,２日目,IP,D,戸田特選,15:55,
202609120212,2026-09-12,02,戸田,12R,第５回漫画アクションカップ,２日目,IP,D,記者選抜戦,16:30,
202609120501,2026-09-12,05,多摩川,1R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,11:03,
202609120502,2026-09-12,05,多摩川,2R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,11:32,
202609120503,2026-09-12,05,多摩川,3R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,12:01,
202609120504,2026-09-12,05,多摩川,4R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,12:31,
202609120505,2026-09-12,05,多摩川,5R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,13:01,
202609120506,2026-09-12,05,多摩川,6R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,13:31,
202609120507,2026-09-12,05,多摩川,7R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,14:01,
202609120508,2026-09-12,05,多摩川,8R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,14:32,
202609120509,2026-09-12,05,多摩川,9R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,一般,15:04,
202609120510,2026-09-12,05,多摩川,10R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,準優勝戦,15:37,
202609120511,2026-09-12,05,多摩川,11R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,準優勝戦,16:11,
202609120512,2026-09-12,05,多摩川,12R,にっぽん未来プロジェクト競走ｉｎ多摩川,４日目,IP,D,準優勝戦,16:46,
202609120601,2026-09-12,06,浜名湖,1R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選,11:39,
202609120602,2026-09-12,06,浜名湖,2R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選,12:08,
202609120603,2026-09-12,06,浜名湖,3R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選,12:37,
202609120604,2026-09-12,06,浜名湖,4R,静岡朝日テレビサンライズカップ,２日目,IP,S,ランチタイム戦,13:03,
202609120605,2026-09-12,06,浜名湖,5R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選,13:29,
202609120606,2026-09-12,06,浜名湖,6R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選,13:58,
202609120607,2026-09-12,06,浜名湖,7R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選,14:26,
202609120608,2026-09-12,06,浜名湖,8R,静岡朝日テレビサンライズカップ,２日目,IP,S,ブレイクタイム,14:56,
202609120609,2026-09-12,06,浜名湖,9R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選特賞,15:29,
202609120610,2026-09-12,06,浜名湖,10R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選特賞,16:04,
202609120611,2026-09-12,06,浜名湖,11R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選特選,16:41,
202609120612,2026-09-12,06,浜名湖,12R,静岡朝日テレビサンライズカップ,２日目,IP,S,予選特選,17:08,
