レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202609131001,2026-09-13,10,01R,08:32,2026-09-13T08:22:24.462162+09:00,1,0.02,2,0.18,3,0.11,4,0.26,5,0.14,6,0.12
202609132101,2026-09-13,21,01R,08:44,2026-09-13T08:34:18.424815+09:00,1,0.02,2,0.09,3,0.14,4,0.26,6,0.17,5,0.16
202609131002,2026-09-13,10,02R,08:58,2026-09-13T08:48:25.114143+09:00,1,0.02,2,0.05,3,0.07,4,0.44,5,0.01,6,0.07
202609132102,2026-09-13,21,02R,09:12,2026-09-13T09:02:19.079927+09:00,1,0.0,3,0.09,4,0.33,2,0.04,5,0.34,6,0.2
202609131003,2026-09-13,10,03R,09:24,2026-09-13T09:14:23.312916+09:00,1,0.15,2,0.16,3,0.11,4,0.34,5,0.06,6,0.2
202609132103,2026-09-13,21,03R,09:38,2026-09-13T09:28:18.539013+09:00,1,0.07,,,2,0.17,3,0.07,4,0.14,5,0.17
202609131004,2026-09-13,10,04R,09:50,2026-09-13T09:40:24.545638+09:00,1,0.12,2,0.22,3,0.04,4,0.23,5,0.13,6,0.24
202609132104,2026-09-13,21,04R,10:04,2026-09-13T09:54:25.791148+09:00,1,0.11,2,0.03,3,0.14,4,0.2,5,0.02,6,0.22
202609131005,2026-09-13,10,05R,10:18,2026-09-13T10:08:24.644206+09:00,1,0.16,2,0.11,3,-0.03,4,0.19,5,0.17,6,0.01
202609131101,2026-09-13,11,01R,10:29,2026-09-13T10:20:21.153944+09:00,1,0.01,2,0.04,3,0.09,4,0.02,5,-0.08,6,0.03
202609132105,2026-09-13,21,05R,10:32,2026-09-13T10:22:25.872678+09:00,1,-0.1,2,-0.01,3,-0.09,4,0.1,5,0.09,6,0.01
202609130901,2026-09-13,09,01R,10:33,2026-09-13T10:24:19.925880+09:00,1,0.14,2,0.07,3,0.12,4,0.02,5,-0.03,6,0.04
202609131801,2026-09-13,18,01R,10:38,2026-09-13T10:28:19.909185+09:00,1,0.14,2,0.24,3,0.27,4,0.11,5,0.09,6,0.22
