レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202609051001,2026-09-05,10,01R,08:32,2026-09-05T08:22:20.886311+09:00,1,0.11,2,0.17,3,0.31,4,0.11,5,0.16,6,0.17
202609051801,2026-09-05,18,01R,08:44,2026-09-05T08:34:21.640380+09:00,1,0.02,2,0.01,3,0.26,4,0.2,5,0.08,6,0.0
202609051002,2026-09-05,10,02R,08:58,2026-09-05T08:48:20.406774+09:00,1,0.15,2,0.19,3,0.09,4,0.19,5,0.04,6,0.2
202609051802,2026-09-05,18,02R,09:10,2026-09-05T09:01:11.092763+09:00,1,0.16,2,0.13,3,0.03,4,0.06,5,0.39,6,0.03
202609051003,2026-09-05,10,03R,09:24,2026-09-05T09:14:20.584609+09:00,1,-0.01,2,0.01,3,0.21,4,0.06,5,0.21,6,0.12
202609051803,2026-09-05,18,03R,09:36,2026-09-05T09:26:25.842033+09:00,1,0.07,2,-0.02,3,-0.01,4,-0.01,5,-0.08,6,-0.04
202609051004,2026-09-05,10,04R,09:50,2026-09-05T09:40:20.849973+09:00,1,0.03,2,0.01,3,0.07,4,0.18,5,0.13,6,0.19
202609051804,2026-09-05,18,04R,10:02,2026-09-05T09:52:21.303949+09:00,1,-0.02,2,-0.01,3,0.07,4,0.18,5,-0.01,6,0.11
202609051005,2026-09-05,10,05R,10:18,2026-09-05T10:08:21.569961+09:00,1,0.03,2,0.02,3,0.19,4,0.04,5,0.23,6,0.15
202609051805,2026-09-05,18,05R,10:29,2026-09-05T10:20:25.346338+09:00,1,-0.1,2,-0.07,3,-0.09,4,0.23,6,-0.07,5,-0.08
202609051101,2026-09-05,11,01R,10:33,2026-09-05T10:24:20.997949+09:00,1,0.07,2,0.14,3,0.11,4,0.2,5,0.07,6,0.07
202609051301,2026-09-05,13,01R,10:36,2026-09-05T10:26:26.334086+09:00,1,-0.01,2,-0.07,3,0.02,4,0.09,5,0.08,6,0.15
202609050901,2026-09-05,09,01R,10:42,2026-09-05T10:32:17.556655+09:00,1,0.16,2,-0.01,3,-0.07,4,0.13,5,0.0,6,0.04
202609050201,2026-09-05,02,01R,10:47,2026-09-05T10:38:25.685853+09:00,1,0.15,2,0.07,3,0.02,4,0.03,5,0.04,6,0.03
202609051006,2026-09-05,10,06R,10:50,2026-09-05T10:40:23.624372+09:00,1,0.14,2,0.13,3,0.12,4,0.27,5,0.05,6,0.03
202609051701,2026-09-05,17,01R,10:54,2026-09-05T10:44:22.641596+09:00,1,0.08,2,0.07,3,-0.02,4,0.11,5,0.03,6,-0.03
202609050401,2026-09-05,04,01R,10:55,2026-09-05T10:46:23.594534+09:00,1,0.18,2,0.79,3,0.14,4,0.12,5,0.19,6,0.15
202609051806,2026-09-05,18,06R,10:59,2026-09-05T10:50:22.131618+09:00,1,0.01,2,0.08,3,0.08,4,0.09,5,0.27,6,0.13
202609051102,2026-09-05,11,02R,11:02,2026-09-05T10:52:19.757588+09:00,1,0.05,2,-0.02,3,-0.02,4,0.01,5,0.12,6,0.15
202609051302,2026-09-05,13,02R,11:05,2026-09-05T10:56:19.486701+09:00,1,-0.02,2,0.12,3,0.15,4,-0.05,5,0.04,6,-0.03
202609050902,2026-09-05,09,02R,11:12,2026-09-05T11:02:20.459930+09:00,1,0.01,2,0.08,3,0.03,4,-0.03,5,-0.11,6,-0.11
202609050301,2026-09-05,03,01R,11:14,2026-09-05T11:04:19.357313+09:00,1,0.02,2,0.16,3,0.1,4,0.06,5,0.01,6,-0.08
202609050202,2026-09-05,02,02R,11:16,2026-09-05T11:06:22.846922+09:00,1,0.16,2,0.13,3,0.02,4,0.09,5,0.14,6,0.32
202609051007,2026-09-05,10,07R,11:20,2026-09-05T11:10:22.158651+09:00,1,0.35,2,0.11,3,0.1,4,-0.08,5,-0.03,6,-0.08
202609050402,2026-09-05,04,02R,11:24,2026-09-05T11:14:20.675285+09:00,1,0.01,2,0.02,3,0.08,4,0.12,5,0.11,6,0.19
202609051702,2026-09-05,17,02R,11:23,2026-09-05T11:14:20.675285+09:00,1,0.01,2,-0.03,3,-0.06,4,-0.01,5,-0.07,6,0.15
202609051807,2026-09-05,18,07R,11:31,2026-09-05T11:22:19.442090+09:00,1,0.14,2,0.16,3,0.03,4,0.21,5,0.17,6,0.26
202609051103,2026-09-05,11,03R,11:34,2026-09-05T11:24:22.243481+09:00,1,0.21,2,0.12,3,-0.02,4,-0.03,5,0.14,6,-0.06
202609051303,2026-09-05,13,03R,11:37,2026-09-05T11:28:20.422835+09:00,1,0.01,2,0.13,3,-0.08,4,-0.01,5,0.05,6,0.07
202609050302,2026-09-05,03,02R,11:41,2026-09-05T11:32:23.628994+09:00,1,0.15,2,-0.08,3,-0.12,4,0.14,5,0.21,6,0.21
202609050903,2026-09-05,09,03R,11:42,2026-09-05T11:32:23.628994+09:00,1,0.06,2,0.01,3,0.03,4,-0.03,5,0.09,6,-0.06
202609050203,2026-09-05,02,03R,11:45,2026-09-05T11:36:25.297252+09:00,1,0.1,3,0.07,4,0.17,2,-0.05,5,0.07,6,0.09
202609052201,2026-09-05,22,01R,11:48,2026-09-05T11:38:27.691369+09:00,1,0.01,2,0.02,3,-0.01,4,0.03,5,-0.02,6,0.03
202609051008,2026-09-05,10,08R,11:50,2026-09-05T11:40:22.186007+09:00,1,0.01,2,0.08,3,0.2,4,0.1,5,0.14,6,0.09
202609050403,2026-09-05,04,03R,11:53,2026-09-05T11:44:23.663779+09:00,1,0.23,2,0.27,3,0.11,4,0.1,5,0.15,6,-0.11
202609051304,2026-09-05,13,04R,12:00,2026-09-05T11:50:24.704151+09:00,1,0.13,2,0.07,3,0.09,4,0.06,5,0.12,6,-0.01
202609051104,2026-09-05,11,04R,12:02,2026-09-05T11:52:20.207033+09:00,1,0.11,2,0.16,3,0.09,4,0.13,5,0.02,6,0.04
202609051808,2026-09-05,18,08R,12:06,2026-09-05T11:56:20.768388+09:00,1,0.02,2,0.05,3,0.06,4,0.08,5,0.09,6,0.08
202609050303,2026-09-05,03,03R,12:08,2026-09-05T11:58:20.196177+09:00,1,-0.18,2,0.24,3,0.14,4,0.11,5,0.09,6,0.17
202609051703,2026-09-05,17,03R,12:11,2026-09-05T12:02:26.713845+09:00,1,-0.04,2,-0.07,3,-0.04,4,-0.19,5,-0.11,6,-0.05
202609050204,2026-09-05,02,04R,12:14,2026-09-05T12:04:22.185816+09:00,1,0.05,2,0.03,3,-0.04,4,0.21,5,0.22,6,0.14
202609050904,2026-09-05,09,04R,12:13,2026-09-05T12:04:22.185816+09:00,1,0.05,2,0.18,4,0.2,5,0.07,6,0.16,3,0.19
202609052202,2026-09-05,22,02R,12:18,2026-09-05T12:08:20.300007+09:00,1,0.05,2,0.07,3,-0.08,4,0.02,5,0.06,6,0.44
202609050404,2026-09-05,04,04R,12:22,2026-09-05T12:12:24.947148+09:00,1,0.19,2,0.09,3,0.09,4,-0.01,5,0.02,6,0.07
