レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202609121001,2026-09-12,10,01R,08:32,2026-09-12T08:22:20.501349+09:00,1,0.04,2,0.07,3,0.03,4,0.03,5,0.02,6,-0.01
202609122101,2026-09-12,21,01R,08:44,2026-09-12T08:34:20.292535+09:00,1,0.01,2,0.17,3,0.07,4,0.13,5,0.19,6,0.31
202609121002,2026-09-12,10,02R,08:58,2026-09-12T08:48:22.705622+09:00,1,-0.01,2,-0.05,3,0.14,4,0.08,5,0.09,6,0.31
202609122102,2026-09-12,21,02R,09:10,2026-09-12T09:00:25.743697+09:00,1,-0.01,2,0.28,3,0.1,4,0.12,6,0.16,5,0.29
202609121003,2026-09-12,10,03R,09:24,2026-09-12T09:14:26.781548+09:00,1,0.08,2,0.18,3,0.07,4,0.02,5,0.01,6,0.12
202609122103,2026-09-12,21,03R,09:36,2026-09-12T09:26:23.964855+09:00,1,0.1,2,0.13,3,0.07,4,0.1,5,0.1,6,0.14
202609121004,2026-09-12,10,04R,09:50,2026-09-12T09:40:27.368204+09:00,1,0.09,2,0.15,3,0.06,4,0.05,5,0.09,6,0.05
202609122104,2026-09-12,21,04R,10:02,2026-09-12T09:52:23.584926+09:00,1,0.17,2,0.06,3,0.01,4,-0.01,5,0.02,6,0.1
202609121005,2026-09-12,10,05R,10:18,2026-09-12T10:08:20.549468+09:00,1,0.05,2,0.13,3,0.17,4,0.15,5,0.08,6,0.02
202609122105,2026-09-12,21,05R,10:30,2026-09-12T10:20:17.996836+09:00,1,-0.03,2,-0.01,3,0.0,5,0.51,6,0.24,4,0.13
202609120901,2026-09-12,09,01R,10:33,2026-09-12T10:24:24.784745+09:00,1,0.1,2,0.03,3,-0.05,4,0.08,5,0.2,6,0.27
202609120801,2026-09-12,08,01R,10:39,2026-09-12T10:30:21.505354+09:00,1,0.12,2,0.19,3,0.34,4,0.02,5,-0.01,6,-0.01
202609121701,2026-09-12,17,01R,10:38,2026-09-12T10:32:24.316010+09:00,1,0.13,2,0.05,3,0.03,4,0.27,6,0.1,5,-0.01
202609121801,2026-09-12,18,01R,10:42,2026-09-12T10:32:24.316010+09:00,1,0.11,2,0.2,3,0.05,4,0.42,5,0.01,6,0.19
202609120201,2026-09-12,02,01R,10:47,2026-09-12T10:38:21.298065+09:00,1,0.16,2,0.09,3,0.07,4,0.02,5,0.11,6,0.06
202609121006,2026-09-12,10,06R,10:50,2026-09-12T10:40:21.637235+09:00,1,-0.07,2,0.22,3,0.14,4,0.0,5,0.16,6,-0.01
202609121601,2026-09-12,16,01R,10:57,2026-09-12T10:48:19.004666+09:00,1,0.11,2,0.31,3,0.28,4,0.07,6,0.16,5,0.25
202609120902,2026-09-12,09,02R,11:00,2026-09-12T10:50:27.235969+09:00,1,0.07,2,0.13,3,0.11,4,0.06,5,0.1,6,-0.04
202609122106,2026-09-12,21,06R,10:59,2026-09-12T10:50:27.235969+09:00,1,0.17,3,0.28,4,0.27,5,0.27,6,0.36,2,0.25
202609120501,2026-09-12,05,01R,11:03,2026-09-12T10:54:21.908533+09:00,1,0.19,2,0.18,3,0.18,4,0.05,5,0.11,6,0.08
202609120802,2026-09-12,08,02R,11:06,2026-09-12T10:56:22.450257+09:00,1,-0.06,2,0.02,3,0.19,4,0.13,5,-0.09,6,0.13
202609120202,2026-09-12,02,02R,11:16,2026-09-12T11:06:23.046489+09:00,1,0.07,3,-0.05,4,-0.06,2,-0.02,5,-0.05,6,0.33
202609121702,2026-09-12,17,02R,11:15,2026-09-12T11:06:23.046489+09:00,1,0.29,2,0.26,3,0.13,4,-0.04,5,-0.02,6,0.17
202609121802,2026-09-12,18,02R,11:16,2026-09-12T11:06:23.046489+09:00,1,-0.07,2,-0.07,3,-0.03,4,-0.1,5,0.07,6,0.11
202609121007,2026-09-12,10,07R,11:20,2026-09-12T11:10:25.540374+09:00,1,-0.06,2,0.06,3,0.07,4,0.13,5,0.08,6,0.07
202609121602,2026-09-12,16,02R,11:25,2026-09-12T11:16:22.609611+09:00,1,0.16,2,0.35,3,0.23,4,0.12,5,0.15,6,0.36
202609120903,2026-09-12,09,03R,11:27,2026-09-12T11:18:16.977939+09:00,1,0.04,2,0.06,3,0.12,4,0.05,5,0.04,6,0.01
202609122107,2026-09-12,21,07R,11:29,2026-09-12T11:20:25.909963+09:00,1,0.04,2,-0.02,3,0.08,4,0.07,5,0.06,6,0.04
202609120502,2026-09-12,05,02R,11:32,2026-09-12T11:22:20.455090+09:00,1,0.12,3,-0.02,4,-0.19,5,-0.24,6,-0.08,2,0.08
202609120803,2026-09-12,08,03R,11:35,2026-09-12T11:26:22.010607+09:00,1,-0.1,2,-0.02,3,0.04,6,-0.15,4,-0.02,5,0.27
202609120601,2026-09-12,06,01R,11:39,2026-09-12T11:30:20.875124+09:00,1,0.28,2,0.14,3,0.25,4,0.14,5,0.1,6,0.18
202609121703,2026-09-12,17,03R,11:44,2026-09-12T11:34:23.350134+09:00,1,0.02,2,-0.07,3,-0.04,4,0.11,5,0.1,6,0.15
202609120203,2026-09-12,02,03R,11:45,2026-09-12T11:36:18.914075+09:00,1,0.13,2,0.07,3,0.08,4,-0.06,5,0.01,6,0.01
202609121803,2026-09-12,18,03R,11:46,2026-09-12T11:36:18.914075+09:00,1,0.06,2,0.01,3,-0.01,4,0.24,5,0.01,6,-0.02
202609121008,2026-09-12,10,08R,11:51,2026-09-12T11:42:22.559342+09:00,1,-0.01,2,0.07,3,0.05,4,0.01,5,0.25,6,-0.05
202609121603,2026-09-12,16,03R,11:55,2026-09-12T11:46:21.273920+09:00,1,0.1,2,0.27,3,0.44,4,0.09,5,0.11,6,0.1
202609120904,2026-09-12,09,04R,11:57,2026-09-12T11:48:23.759292+09:00,1,0.03,2,0.16,3,0.09,4,-0.04,5,-0.03,6,0.13
202609122108,2026-09-12,21,08R,11:59,2026-09-12T11:50:25.334852+09:00,1,0.02,2,0.07,3,0.0,4,0.17,6,0.35,5,0.23
202609120503,2026-09-12,05,03R,12:01,2026-09-12T11:52:19.511628+09:00,6,0.04,1,0.03,2,0.09,3,0.27,4,0.03,5,0.03
202609120804,2026-09-12,08,04R,12:05,2026-09-12T11:56:22.517936+09:00,1,0.12,2,0.09,3,0.1,4,0.04,5,0.0,6,0.07
202609120602,2026-09-12,06,02R,12:08,2026-09-12T11:58:27.358742+09:00,1,0.24,2,0.15,3,0.31,4,0.08,5,0.13,6,0.21
202609121704,2026-09-12,17,04R,12:10,2026-09-12T12:00:54.872146+09:00,1,0.06,2,0.0,3,0.01,4,-0.08,5,-0.07,6,-0.18
202609120204,2026-09-12,02,04R,12:14,2026-09-12T12:04:25.090494+09:00,1,-0.05,2,-0.08,3,-0.01,4,0.13,5,0.01,6,0.13
202609121804,2026-09-12,18,04R,12:17,2026-09-12T12:08:21.450927+09:00,1,0.01,2,-0.07,3,0.13,4,0.17,5,0.03,6,0.02
202609121604,2026-09-12,16,04R,12:23,2026-09-12T12:14:21.865709+09:00,1,0.19,2,0.13,3,0.12,4,0.14,5,-0.03,6,0.03
202609121009,2026-09-12,10,09R,12:25,2026-09-12T12:16:20.494532+09:00,1,-0.09,2,-0.02,3,-0.15,4,0.04,5,0.11,6,0.07
202609120905,2026-09-12,09,05R,12:29,2026-09-12T12:20:23.217713+09:00,1,0.02,2,0.12,3,0.02,4,-0.15,5,0.04,6,0.02
202609120504,2026-09-12,05,04R,12:31,2026-09-12T12:22:20.267322+09:00,1,0.09,2,0.13,3,0.18,4,0.09,5,0.15,6,0.13
202609122109,2026-09-12,21,09R,12:33,2026-09-12T12:24:23.902631+09:00,1,-0.02,2,0.1,4,-0.09,6,0.15,5,0.0,3,-0.01
202609120805,2026-09-12,08,05R,12:35,2026-09-12T12:26:20.475081+09:00,1,0.35,2,0.05,3,0.26,4,0.01,5,0.07,6,0.01
202609120603,2026-09-12,06,03R,12:37,2026-09-12T12:28:16.909651+09:00,1,0.21,2,0.18,3,-0.01,4,0.08,6,0.04,5,0.06
202609121705,2026-09-12,17,05R,12:42,2026-09-12T12:32:18.612968+09:00,1,-0.12,2,-0.03,3,0.03,4,-0.13,6,0.15,5,-0.12
