レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609110201,2026-09-11,02,1R,daily,66.74,18.18,46.7,12.76,43.08,5.51,50.0,11.89,50.0,4.42,52.77,53.82,14.66,50.62,13.84,49.39,6.32,50.0,11.89,50.0,4.42,51.13,52.69,14.36,46.7,12.76,46.48,5.95,50.0,11.89,50.0,4.42,49.38,48.72,13.27,44.74,12.23,47.67,6.1,50.0,11.89,50.0,4.42,47.92,43.98,11.98,46.7,12.76,56.89,7.28,50.0,11.89,50.0,4.42,48.34,34.86,9.5,44.74,12.23,48.38,6.19,50.0,11.89,50.0,4.42,44.23
202609110201,2026-09-11,02,1R,realtime,66.74,18.18,46.7,12.76,43.08,5.51,52.96,12.6,46.69,4.13,53.19,53.82,14.66,50.62,13.84,49.39,6.32,60.88,14.48,51.3,4.53,53.83,52.69,14.36,46.7,12.76,46.48,5.95,42.35,10.07,47.71,4.22,47.36,48.72,13.27,44.74,12.23,47.67,6.1,45.34,10.78,50.37,4.45,46.84,43.98,11.98,46.7,12.76,56.89,7.28,58.5,13.91,52.83,4.67,50.61,34.86,9.5,44.74,12.23,48.38,6.19,39.93,9.5,50.87,4.5,41.91
202609110202,2026-09-11,02,2R,daily,66.74,18.18,48.66,13.3,59.32,7.59,50.0,11.89,50.0,4.42,55.39,53.82,14.66,52.58,14.37,52.39,6.71,50.0,11.89,50.0,4.42,52.05,52.69,14.36,46.7,12.76,46.81,5.99,50.0,11.89,50.0,4.42,49.42,48.72,13.27,46.7,12.76,46.96,6.01,50.0,11.89,50.0,4.42,48.36,43.98,11.98,46.7,12.76,59.4,7.6,50.0,11.89,50.0,4.42,48.66,34.86,9.5,44.74,12.23,50.94,6.52,50.0,11.89,50.0,4.42,44.56
202609110202,2026-09-11,02,2R,realtime,66.74,18.18,48.66,13.3,59.32,7.59,35.98,8.56,46.69,4.13,51.76,53.82,14.66,52.58,14.37,52.39,6.71,58.66,13.95,51.3,4.53,54.22,52.69,14.36,46.7,12.76,46.81,5.99,48.95,11.64,47.71,4.22,48.97,48.72,13.27,46.7,12.76,46.96,6.01,52.43,12.47,50.37,4.45,48.97,43.98,11.98,46.7,12.76,59.4,7.6,53.38,12.7,52.83,4.67,49.72,34.86,9.5,44.74,12.23,50.94,6.52,50.58,12.03,50.87,4.5,44.77
202609110203,2026-09-11,02,3R,daily,66.74,18.18,46.7,12.76,24.9,3.19,50.0,11.89,50.0,4.42,50.45,53.82,14.66,46.7,12.76,40.29,5.16,50.0,11.89,50.0,4.42,48.89,52.69,14.36,54.54,14.91,65.55,8.39,50.0,11.89,50.0,4.42,53.96,48.72,13.27,44.74,12.23,64.98,8.32,50.0,11.89,50.0,4.42,50.13,43.98,11.98,56.5,15.44,53.21,6.81,50.0,11.89,50.0,4.42,50.55,34.86,9.5,60.42,16.51,66.24,8.48,50.0,11.89,50.0,4.42,50.8
202609110203,2026-09-11,02,3R,realtime,66.74,18.18,46.7,12.76,24.9,3.19,68.08,16.19,46.25,4.09,54.41,53.82,14.66,46.7,12.76,40.29,5.16,34.84,8.29,50.47,4.46,45.33,52.69,14.36,54.54,14.91,65.55,8.39,52.45,12.47,47.8,4.22,54.35,48.72,13.27,44.74,12.23,64.98,8.32,48.93,11.64,50.71,4.48,49.94,43.98,11.98,56.5,15.44,53.21,6.81,46.59,11.08,53.06,4.69,50.01,34.86,9.5,60.42,16.51,66.24,8.48,49.09,11.68,51.48,4.55,50.71
202609110204,2026-09-11,02,4R,daily,66.74,18.18,46.7,12.76,46.39,5.94,50.0,11.89,50.0,4.42,53.2,53.82,14.66,50.62,13.84,62.55,8.01,50.0,11.89,50.0,4.42,52.82,52.69,14.36,46.7,12.76,61.3,7.85,50.0,11.89,50.0,4.42,51.28,48.72,13.27,42.78,11.69,46.95,6.01,50.0,11.89,50.0,4.42,47.29,43.98,11.98,50.62,13.84,37.5,4.8,50.0,11.89,50.0,4.42,46.93,34.86,9.5,48.66,13.3,55.09,7.05,50.0,11.89,50.0,4.42,46.16
202609110204,2026-09-11,02,4R,realtime,66.74,18.18,46.7,12.76,46.39,5.94,46.66,11.1,46.25,4.09,52.07,53.82,14.66,50.62,13.84,62.55,8.01,58.72,13.97,50.47,4.46,54.93,48.72,13.27,46.7,12.76,61.3,7.85,53.85,12.81,50.71,4.48,51.17,43.98,11.98,42.78,11.69,46.95,6.01,58.16,13.83,53.06,4.69,48.21,34.86,9.5,50.62,13.84,37.5,4.8,45.37,10.79,51.48,4.55,43.47,52.69,14.36,48.66,13.3,55.09,7.05,37.22,8.85,47.8,4.22,47.79
202609110205,2026-09-11,02,5R,daily,66.74,18.18,46.7,12.76,37.89,4.85,50.0,11.89,50.0,4.42,52.11,53.82,14.66,42.78,11.69,46.86,6.0,50.0,11.89,50.0,4.42,48.67,52.69,14.36,44.74,12.23,46.79,5.99,50.0,11.89,50.0,4.42,48.89,48.72,13.27,56.5,15.44,51.22,6.56,50.0,11.89,50.0,4.42,51.58,43.98,11.98,40.82,11.16,55.49,7.1,50.0,11.89,50.0,4.42,46.56,34.86,9.5,50.62,13.84,49.39,6.32,50.0,11.89,50.0,4.42,45.96
202609110205,2026-09-11,02,5R,realtime,66.74,18.18,46.7,12.76,37.89,4.85,68.9,16.39,47.23,4.17,56.36,53.82,14.66,42.78,11.69,46.86,6.0,52.87,12.57,51.18,4.52,49.45,52.69,14.36,44.74,12.23,46.79,5.99,33.77,8.03,47.81,4.23,44.83,48.72,13.27,56.5,15.44,51.22,6.56,49.05,11.66,50.04,4.42,51.36,43.98,11.98,40.82,11.16,55.49,7.1,50.87,12.1,52.73,4.66,47.0,34.86,9.5,50.62,13.84,49.39,6.32,44.53,10.59,50.78,4.49,44.73
202609110206,2026-09-11,02,6R,daily,66.74,18.18,46.7,12.76,46.96,6.01,50.0,11.89,50.0,4.42,53.27,53.82,14.66,52.58,14.37,72.19,9.24,50.0,11.89,50.0,4.42,54.58,52.69,14.36,48.66,13.3,35.11,4.49,50.0,11.89,50.0,4.42,48.46,48.72,13.27,42.78,11.69,47.67,6.1,50.0,11.89,50.0,4.42,47.38,43.98,11.98,52.58,14.37,32.42,4.15,50.0,11.89,50.0,4.42,46.81,34.86,9.5,34.95,9.55,57.51,7.36,50.0,11.89,50.0,4.42,42.72
202609110206,2026-09-11,02,6R,realtime,66.74,18.18,46.7,12.76,46.96,6.01,66.85,15.9,47.23,4.17,57.03,53.82,14.66,52.58,14.37,72.19,9.24,53.22,12.66,51.18,4.52,55.46,52.69,14.36,48.66,13.3,35.11,4.49,37.13,8.83,47.81,4.23,45.21,48.72,13.27,42.78,11.69,47.67,6.1,42.16,10.03,50.04,4.42,45.52,43.98,11.98,52.58,14.37,32.42,4.15,55.74,13.26,52.73,4.66,48.42,34.86,9.5,34.95,9.55,57.51,7.36,44.88,10.68,50.78,4.49,41.57
202609110207,2026-09-11,02,7R,daily,66.74,18.18,66.29,18.12,50.73,6.49,50.0,11.89,50.0,4.42,59.11,53.82,14.66,46.7,12.76,42.08,5.39,50.0,11.89,50.0,4.42,49.12,52.69,14.36,46.7,12.76,35.2,4.51,50.0,11.89,50.0,4.42,47.94,48.72,13.27,46.7,12.76,43.08,5.51,50.0,11.89,50.0,4.42,47.86,43.98,11.98,46.7,12.76,24.9,3.19,50.0,11.89,50.0,4.42,44.25,34.86,9.5,46.7,12.76,46.81,5.99,50.0,11.89,50.0,4.42,44.56
202609110207,2026-09-11,02,7R,realtime,66.74,18.18,66.29,18.12,50.73,6.49,65.22,15.51,51.76,4.57,62.88,53.82,14.66,46.7,12.76,42.08,5.39,71.32,16.96,48.37,4.27,54.05,52.69,14.36,46.7,12.76,35.2,4.51,41.45,9.86,50.63,4.47,45.96,34.86,9.5,46.7,12.76,43.08,5.51,37.21,8.85,47.99,4.24,40.87,48.72,13.27,46.7,12.76,24.9,3.19,43.8,10.42,52.95,4.68,44.32,43.98,11.98,46.7,12.76,46.81,5.99,40.98,9.75,48.08,4.25,44.74
202609110208,2026-09-11,02,8R,daily,66.74,18.18,44.74,12.23,64.98,8.32,50.0,11.89,50.0,4.42,55.04,53.82,14.66,46.7,12.76,56.89,7.28,50.0,11.89,50.0,4.42,51.02,52.69,14.36,54.54,14.91,72.43,9.27,50.0,11.89,50.0,4.42,54.85,48.72,13.27,46.7,12.76,46.39,5.94,50.0,11.89,50.0,4.42,48.29,43.98,11.98,44.74,12.23,47.6,6.09,50.0,11.89,50.0,4.42,46.62,34.86,9.5,58.46,15.98,45.93,5.88,50.0,11.89,50.0,4.42,47.66
202609110208,2026-09-11,02,8R,realtime,66.74,18.18,44.74,12.23,64.98,8.32,64.43,15.32,46.79,4.13,58.19,52.69,14.36,46.7,12.76,56.89,7.28,64.12,15.25,47.91,4.23,53.89,48.72,13.27,54.54,14.91,72.43,9.27,38.35,9.12,50.38,4.45,51.03,43.98,11.98,46.7,12.76,46.39,5.94,47.43,11.28,52.96,4.68,46.65,53.82,14.66,44.74,12.23,47.6,6.09,38.82,9.23,50.35,4.45,46.67,34.86,9.5,58.46,15.98,45.93,5.88,46.82,11.14,51.39,4.54,47.03
202609110209,2026-09-11,02,9R,daily,66.74,18.18,56.5,15.44,53.21,6.81,50.0,11.89,50.0,4.42,56.75,53.82,14.66,46.7,12.76,58.16,7.44,50.0,11.89,50.0,4.42,51.18,52.69,14.36,48.66,13.3,55.09,7.05,50.0,11.89,50.0,4.42,51.02,48.72,13.27,46.7,12.76,37.89,4.85,50.0,11.89,50.0,4.42,47.2,43.98,11.98,42.78,11.69,63.95,8.19,50.0,11.89,50.0,4.42,48.17,34.86,9.5,52.58,14.37,52.39,6.71,50.0,11.89,50.0,4.42,46.88
202609110210,2026-09-11,02,10R,daily,66.74,18.18,46.7,12.76,61.3,7.85,50.0,11.89,50.0,4.42,55.1,53.82,14.66,46.7,12.76,59.4,7.6,50.0,11.89,50.0,4.42,51.34,52.69,14.36,44.74,12.23,48.38,6.19,50.0,11.89,50.0,4.42,49.09,48.72,13.27,42.78,11.69,46.86,6.0,50.0,11.89,50.0,4.42,47.28,43.98,11.98,52.58,14.37,72.19,9.24,50.0,11.89,50.0,4.42,51.9,34.86,9.5,52.58,14.37,39.79,5.09,50.0,11.89,50.0,4.42,45.27
202609110211,2026-09-11,02,11R,daily,66.74,18.18,54.54,14.91,65.55,8.39,50.0,11.89,50.0,4.42,57.79,53.82,14.66,48.66,13.3,35.11,4.49,50.0,11.89,50.0,4.42,48.77,52.69,14.36,48.66,13.3,59.32,7.59,50.0,11.89,50.0,4.42,51.56,48.72,13.27,50.62,13.84,37.5,4.8,50.0,11.89,50.0,4.42,48.22,43.98,11.98,46.7,12.76,46.48,5.95,50.0,11.89,50.0,4.42,47.01,34.86,9.5,50.62,13.84,63.19,8.09,50.0,11.89,50.0,4.42,47.73
202609110212,2026-09-11,02,12R,daily,66.74,18.18,56.5,15.44,51.22,6.56,50.0,11.89,50.0,4.42,56.49,53.82,14.66,52.58,14.37,32.42,4.15,50.0,11.89,50.0,4.42,49.49,52.69,14.36,60.42,16.51,66.24,8.48,50.0,11.89,50.0,4.42,55.66,48.72,13.27,66.29,18.12,50.73,6.49,50.0,11.89,50.0,4.42,54.2,43.98,11.98,50.62,13.84,62.55,8.01,50.0,11.89,50.0,4.42,50.14,34.86,9.5,54.54,14.91,72.43,9.27,50.0,11.89,50.0,4.42,49.99
202609110301,2026-09-11,03,1R,daily,67.26,30.43,39.3,10.71,46.57,4.99,50.0,3.6,50.0,4.8,54.53,54.05,24.46,47.07,12.82,37.75,4.04,50.0,3.6,50.0,4.8,49.72,52.8,23.89,62.59,17.05,52.75,5.65,50.0,3.6,50.0,4.8,54.99,46.35,20.97,49.65,13.52,40.69,4.36,50.0,3.6,50.0,4.8,47.26,42.93,19.42,41.89,11.41,43.95,4.71,50.0,3.6,50.0,4.8,43.94,37.66,17.04,52.24,14.23,50.81,5.44,50.0,3.6,50.0,4.8,45.11
202609110301,2026-09-11,03,1R,realtime,67.26,30.43,39.3,10.71,46.57,4.99,51.83,3.74,50.24,4.82,54.68,54.05,24.46,47.07,12.82,37.75,4.04,65.76,4.74,28.95,2.78,48.84,52.8,23.89,62.59,17.05,52.75,5.65,46.25,3.33,64.55,6.19,56.12,46.35,20.97,49.65,13.52,40.69,4.36,49.04,3.54,56.09,5.38,47.77,42.93,19.42,41.89,11.41,43.95,4.71,32.31,2.33,49.96,4.79,42.66,37.66,17.04,52.24,14.23,50.81,5.44,54.61,3.94,50.45,4.84,45.49
202609110302,2026-09-11,03,2R,daily,67.26,30.43,52.24,14.23,56.5,6.05,50.0,3.6,50.0,4.8,59.12,54.05,24.46,41.89,11.41,51.34,5.5,50.0,3.6,50.0,4.8,49.77,52.8,23.89,49.65,13.52,62.11,6.65,50.0,3.6,50.0,4.8,52.47,46.35,20.97,49.65,13.52,28.76,3.08,50.0,3.6,50.0,4.8,45.98,42.93,19.42,39.3,10.71,46.59,4.99,50.0,3.6,50.0,4.8,43.52,37.66,17.04,54.83,14.93,63.35,6.79,50.0,3.6,50.0,4.8,47.16
202609110302,2026-09-11,03,2R,realtime,67.26,30.43,52.24,14.23,56.5,6.05,51.62,3.72,50.24,4.82,59.26,54.05,24.46,41.89,11.41,51.34,5.5,38.4,2.77,28.95,2.78,46.91,52.8,23.89,49.65,13.52,62.11,6.65,63.19,4.56,64.55,6.19,54.82,46.35,20.97,49.65,13.52,28.76,3.08,35.09,2.53,56.09,5.38,45.49,42.93,19.42,39.3,10.71,46.59,4.99,54.92,3.96,49.96,4.79,43.87,37.66,17.04,54.83,14.93,63.35,6.79,56.58,4.08,50.45,4.84,47.68
202609110303,2026-09-11,03,3R,daily,67.26,30.43,31.54,8.59,55.99,6.0,50.0,3.6,50.0,4.8,53.42,54.05,24.46,39.3,10.71,59.08,6.33,50.0,3.6,50.0,4.8,49.89,52.8,23.89,47.07,12.82,49.35,5.29,50.0,3.6,50.0,4.8,50.4,46.35,20.97,39.3,10.71,38.02,4.07,50.0,3.6,50.0,4.8,44.15,42.93,19.42,52.24,14.23,65.39,7.0,50.0,3.6,50.0,4.8,49.06,37.66,17.04,57.42,15.64,36.78,3.94,50.0,3.6,50.0,4.8,45.02
202609110303,2026-09-11,03,3R,realtime,67.26,30.43,31.54,8.59,55.99,6.0,49.97,3.6,50.24,4.82,53.44,54.05,24.46,39.3,10.71,59.08,6.33,29.95,2.16,28.95,2.78,46.43,52.8,23.89,47.07,12.82,49.35,5.29,59.98,4.32,64.55,6.19,52.51,46.35,20.97,39.3,10.71,38.02,4.07,49.97,3.6,56.09,5.38,44.73,42.93,19.42,52.24,14.23,65.39,7.0,59.98,4.32,49.96,4.79,49.77,37.66,17.04,57.42,15.64,36.78,3.94,49.97,3.6,50.45,4.84,45.06
202609110304,2026-09-11,03,4R,daily,67.26,30.43,49.65,13.52,47.53,5.09,50.0,3.6,50.0,4.8,57.45,54.05,24.46,47.07,12.82,29.98,3.21,50.0,3.6,50.0,4.8,48.89,52.8,23.89,44.48,12.12,53.79,5.76,50.0,3.6,50.0,4.8,50.17,46.35,20.97,52.24,14.23,58.66,6.28,50.0,3.6,50.0,4.8,49.89,42.93,19.42,49.65,13.52,38.28,4.1,50.0,3.6,50.0,4.8,45.45,37.66,17.04,52.24,14.23,29.18,3.13,50.0,3.6,50.0,4.8,42.8
