レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609070101,2026-09-07,01,1R,daily,68.49,25.96,43.86,8.59,63.68,7.87,50.0,10.9,50.0,4.18,57.5,52.33,19.84,43.86,8.59,43.54,5.38,50.0,10.9,50.0,4.18,48.88,52.57,19.93,43.86,8.59,45.4,5.61,50.0,10.9,50.0,4.18,49.2,47.29,17.93,45.67,8.94,41.63,5.14,50.0,10.9,50.0,4.18,47.09,44.66,16.93,42.06,8.23,55.39,6.85,50.0,10.9,50.0,4.18,47.09,34.48,13.07,54.69,10.7,46.98,5.81,50.0,10.9,50.0,4.18,44.66
202609070101,2026-09-07,01,1R,realtime,68.49,25.96,43.86,8.59,63.68,7.87,48.45,10.57,47.45,3.96,56.95,52.33,19.84,43.86,8.59,43.54,5.38,61.29,13.37,47.92,4.0,51.17,52.57,19.93,43.86,8.59,45.4,5.61,48.01,10.47,38.86,3.25,47.84,44.66,16.93,45.67,8.94,41.63,5.14,43.04,9.39,51.08,4.27,44.67,34.48,13.07,42.06,8.23,55.39,6.85,41.63,9.08,55.93,4.67,41.9,47.29,17.93,54.69,10.7,46.98,5.81,57.52,12.54,58.88,4.92,51.9
202609070102,2026-09-07,01,2R,daily,68.49,25.96,42.06,8.23,53.6,6.62,50.0,10.9,50.0,4.18,55.9,52.33,19.84,43.86,8.59,56.07,6.93,50.0,10.9,50.0,4.18,50.43,52.57,19.93,42.06,8.23,33.03,4.08,50.0,10.9,50.0,4.18,47.32,47.29,17.93,45.67,8.94,58.31,7.21,50.0,10.9,50.0,4.18,49.15,44.66,16.93,60.1,11.76,57.19,7.07,50.0,10.9,50.0,4.18,50.84,34.48,13.07,60.1,11.76,44.19,5.46,50.0,10.9,50.0,4.18,45.37
202609070102,2026-09-07,01,2R,realtime,68.49,25.96,42.06,8.23,53.6,6.62,50.76,11.07,47.45,3.96,55.85,52.33,19.84,43.86,8.59,56.07,6.93,42.99,9.38,47.92,4.0,48.73,52.57,19.93,42.06,8.23,33.03,4.08,33.47,7.3,38.86,3.25,42.79,47.29,17.93,45.67,8.94,58.31,7.21,37.64,8.21,58.88,4.92,47.2,44.66,16.93,60.1,11.76,57.19,7.07,68.26,14.89,51.08,4.27,54.91,34.48,13.07,60.1,11.76,44.19,5.46,66.79,14.57,55.93,4.67,49.53
202609070103,2026-09-07,01,3R,daily,68.49,25.96,42.06,8.23,49.46,6.11,50.0,10.9,50.0,4.18,55.39,52.33,19.84,45.67,8.94,42.92,5.3,50.0,10.9,50.0,4.18,49.16,52.57,19.93,43.86,8.59,50.23,6.21,50.0,10.9,50.0,4.18,49.8,47.29,17.93,49.28,9.64,56.27,6.95,50.0,10.9,50.0,4.18,49.61,44.66,16.93,45.67,8.94,66.52,8.22,50.0,10.9,50.0,4.18,49.17,34.48,13.07,54.69,10.7,31.91,3.94,50.0,10.9,50.0,4.18,42.8
202609070103,2026-09-07,01,3R,realtime,68.49,25.96,42.06,8.23,49.46,6.11,60.81,13.26,50.12,4.19,57.75,52.33,19.84,45.67,8.94,42.92,5.3,65.83,14.36,48.18,4.02,52.46,44.66,16.93,43.86,8.59,50.23,6.21,48.2,10.51,50.52,4.22,46.45,47.29,17.93,49.28,9.64,56.27,6.95,46.66,10.18,57.64,4.81,49.52,34.48,13.07,45.67,8.94,66.52,8.22,40.75,8.89,53.73,4.49,43.6,52.57,19.93,54.69,10.7,31.91,3.94,37.66,8.21,39.92,3.33,46.12
202609070104,2026-09-07,01,4R,daily,68.49,25.96,40.25,7.88,41.9,5.18,50.0,10.9,50.0,4.18,54.1,52.33,19.84,49.28,9.64,64.92,8.02,50.0,10.9,50.0,4.18,52.59,52.57,19.93,43.86,8.59,56.63,7.0,50.0,10.9,50.0,4.18,50.59,47.29,17.93,60.1,11.76,58.08,7.18,50.0,10.9,50.0,4.18,51.95,44.66,16.93,43.86,8.59,38.92,4.81,50.0,10.9,50.0,4.18,45.4,34.48,13.07,49.28,9.64,35.33,4.37,50.0,10.9,50.0,4.18,42.16
202609070104,2026-09-07,01,4R,realtime,68.49,25.96,40.25,7.88,41.9,5.18,69.97,15.26,49.41,4.13,58.41,52.57,19.93,49.28,9.64,64.92,8.02,47.5,10.36,39.34,3.29,51.24,47.29,17.93,43.86,8.59,56.63,7.0,50.73,11.06,58.57,4.89,49.47,52.33,19.84,60.1,11.76,58.08,7.18,56.68,12.36,48.93,4.09,55.23,34.48,13.07,43.86,8.59,38.92,4.81,39.99,8.72,53.21,4.44,39.63,44.66,16.93,49.28,9.64,35.33,4.37,35.05,7.64,50.63,4.23,42.81
202609070105,2026-09-07,01,5R,daily,68.49,25.96,49.28,9.64,55.02,6.8,50.0,10.9,50.0,4.18,57.49,52.33,19.84,45.67,8.94,59.77,7.39,50.0,10.9,50.0,4.18,51.24,52.57,19.93,42.06,8.23,61.71,7.63,50.0,10.9,50.0,4.18,50.87,47.29,17.93,72.73,14.24,42.42,5.24,50.0,10.9,50.0,4.18,52.49,44.66,16.93,47.47,9.29,56.1,6.93,50.0,10.9,50.0,4.18,48.23,34.48,13.07,43.86,8.59,45.4,5.61,50.0,10.9,50.0,4.18,42.35
202609070105,2026-09-07,01,5R,realtime,68.49,25.96,49.28,9.64,55.02,6.8,57.3,12.5,50.55,4.22,59.12,52.33,19.84,45.67,8.94,59.77,7.39,41.05,8.95,46.69,3.9,49.01,52.57,19.93,42.06,8.23,61.71,7.63,36.62,7.99,41.39,3.46,47.23,47.29,17.93,72.73,14.24,42.42,5.24,68.14,14.86,50.02,4.18,56.44,44.66,16.93,47.47,9.29,56.1,6.93,53.55,11.68,62.42,5.21,50.05,34.48,13.07,43.86,8.59,45.4,5.61,43.26,9.44,49.04,4.1,40.8
