レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609131001,2026-09-13,10,01R,08:32,2026-09-13T08:22:24.462162+09:00,0759,1.0,4,1.0,2,25.0,24.0
202609132101,2026-09-13,21,01R,08:44,2026-09-13T08:34:18.424815+09:00,0755,1.0,5,1.0,2,26.2,26.4
202609131002,2026-09-13,10,02R,08:58,2026-09-13T08:48:25.114143+09:00,0835,2.0,4,2.0,2,26.0,24.0
202609132102,2026-09-13,21,02R,09:12,2026-09-13T09:02:19.079927+09:00,0847,1.0,5,1.0,1,27.6,26.5
202609131003,2026-09-13,10,03R,09:24,2026-09-13T09:14:23.312916+09:00,0901,0.0,,0.0,2,27.0,24.0
202609132103,2026-09-13,21,03R,09:38,2026-09-13T09:28:18.539013+09:00,0915,1.0,3,1.0,1,28.4,26.5
202609131004,2026-09-13,10,04R,09:50,2026-09-13T09:40:24.545638+09:00,0927,1.0,4,1.0,2,27.0,24.0
202609132104,2026-09-13,21,04R,10:04,2026-09-13T09:54:25.791148+09:00,0915,1.0,3,1.0,1,28.4,26.5
202609131005,2026-09-13,10,05R,10:18,2026-09-13T10:08:24.644206+09:00,0953,1.0,4,1.0,2,28.0,25.0
202609131101,2026-09-13,11,01R,10:29,2026-09-13T10:20:21.153944+09:00,0955,0.0,,1.0,1,27.0,27.0
202609132105,2026-09-13,21,05R,10:32,2026-09-13T10:22:25.872678+09:00,1007,2.0,8,2.0,2,27.5,26.7
202609130901,2026-09-13,09,01R,10:33,2026-09-13T10:24:19.925880+09:00,0930,2.0,4,1.0,2,25.0,25.0
202609131801,2026-09-13,18,01R,10:38,2026-09-13T10:28:19.909185+09:00,1000,2.0,6,2.0,2,27.0,27.0
