レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609071001,2026-09-07,10,01R,08:32,2026-09-07T08:22:24.463402+09:00,0759,3.0,4,3.0,2,24.0,24.0
202609071401,2026-09-07,14,01R,08:44,2026-09-07T08:34:21.176011+09:00,0748,2.0,1,2.0,2,25.0,27.0
202609071002,2026-09-07,10,02R,08:58,2026-09-07T08:48:18.791398+09:00,0759,3.0,4,3.0,2,24.0,24.0
202609071402,2026-09-07,14,02R,09:10,2026-09-07T09:00:42.683267+09:00,0748,2.0,1,2.0,2,25.0,27.0
202609071003,2026-09-07,10,03R,09:24,2026-09-07T09:14:23.559519+09:00,0901,4.0,4,4.0,2,24.0,25.0
202609071403,2026-09-07,14,03R,09:36,2026-09-07T09:26:23.335248+09:00,0848,2.0,8,2.0,2,25.0,27.0
202609071004,2026-09-07,10,04R,09:50,2026-09-07T09:40:24.293999+09:00,0901,4.0,4,4.0,2,24.0,25.0
202609071404,2026-09-07,14,04R,10:02,2026-09-07T09:52:23.976344+09:00,0914,2.0,8,2.0,2,25.0,27.0
202609071005,2026-09-07,10,05R,10:18,2026-09-07T10:08:23.635630+09:00,0953,1.0,4,1.0,2,26.0,25.0
202609071405,2026-09-07,14,05R,10:28,2026-09-07T10:18:24.740720+09:00,0940,2.0,8,2.0,2,26.0,27.0
202609071101,2026-09-07,11,01R,10:35,2026-09-07T10:26:21.765288+09:00,0955,0.0,,1.0,2,24.0,27.0
202609071301,2026-09-07,13,01R,10:38,2026-09-07T10:28:17.635037+09:00,1024,3.0,3,0.0,2,27.5,25.2
202609070901,2026-09-07,09,01R,10:42,2026-09-07T10:32:22.672411+09:00,0929,0.0,,0.0,3,22.0,25.0
202609071006,2026-09-07,10,06R,10:48,2026-09-07T10:38:18.754053+09:00,1021,1.0,6,1.0,2,26.0,25.0
202609071601,2026-09-07,16,01R,10:53,2026-09-07T10:44:21.810841+09:00,0953,1.0,2,1.0,2,26.0,28.0
202609070401,2026-09-07,04,01R,10:55,2026-09-07T10:46:18.069408+09:00,0953,0.0,,3.0,3,23.0,25.0
202609071406,2026-09-07,14,06R,10:58,2026-09-07T10:48:19.783153+09:00,1031,2.0,8,2.0,2,26.0,27.0
202609071302,2026-09-07,13,02R,11:03,2026-09-07T10:54:22.973410+09:00,1024,3.0,3,0.0,2,27.5,25.2
202609071102,2026-09-07,11,02R,11:05,2026-09-07T10:56:25.489941+09:00,1038,0.0,,1.0,2,25.0,27.0
202609070902,2026-09-07,09,02R,11:12,2026-09-07T11:02:22.585336+09:00,1046,0.0,,0.0,2,23.0,25.0
202609070301,2026-09-07,03,01R,11:14,2026-09-07T11:04:26.746876+09:00,1100,1.0,7,5.0,2,23.0,26.0
202609071007,2026-09-07,10,07R,11:19,2026-09-07T11:10:30.382469+09:00,1051,1.0,6,1.0,2,27.0,25.0
202609071602,2026-09-07,16,02R,11:22,2026-09-07T11:12:22.091725+09:00,1056,2.0,5,3.0,2,28.0,28.0
202609070402,2026-09-07,04,02R,11:24,2026-09-07T11:14:25.313483+09:00,1058,1.0,5,3.0,3,24.0,26.0
202609071407,2026-09-07,14,07R,11:28,2026-09-07T11:18:20.162150+09:00,1102,1.0,8,1.0,2,26.0,27.0
202609071303,2026-09-07,13,03R,11:33,2026-09-07T11:24:21.008773+09:00,1106,1.0,1,0.0,2,27.4,25.2
202609071103,2026-09-07,11,03R,11:37,2026-09-07T11:28:21.746014+09:00,1109,1.0,2,2.0,2,26.0,27.0
202609070302,2026-09-07,03,02R,11:41,2026-09-07T11:32:23.425213+09:00,1117,1.0,6,5.0,3,23.0,26.0
202609070903,2026-09-07,09,03R,11:42,2026-09-07T11:32:23.425213+09:00,1116,0.0,,0.0,2,23.0,25.0
202609072201,2026-09-07,22,01R,11:47,2026-09-07T11:38:20.396691+09:00,1105,3.0,1,3.0,2,28.0,28.0
202609071008,2026-09-07,10,08R,11:51,2026-09-07T11:42:18.384138+09:00,1122,2.0,6,2.0,2,27.0,25.0
202609070403,2026-09-07,04,03R,11:53,2026-09-07T11:44:20.520336+09:00,1058,1.0,5,3.0,3,24.0,26.0
202609071304,2026-09-07,13,04R,11:57,2026-09-07T11:48:23.931519+09:00,1106,1.0,1,0.0,2,27.4,25.2
202609071603,2026-09-07,16,03R,11:59,2026-09-07T11:50:23.467770+09:00,1126,3.0,5,3.0,2,28.0,28.0
202609071104,2026-09-07,11,04R,12:03,2026-09-07T11:54:17.610502+09:00,1140,1.0,4,1.0,2,26.0,27.0
202609071408,2026-09-07,14,08R,12:05,2026-09-07T11:56:20.438750+09:00,1132,1.0,1,1.0,2,27.0,27.0
202609070303,2026-09-07,03,03R,12:08,2026-09-07T11:58:20.862035+09:00,1117,1.0,6,5.0,3,23.0,26.0
202609070904,2026-09-07,09,04R,12:13,2026-09-07T12:04:23.154737+09:00,1146,1.0,8,1.0,2,24.0,25.0
202609072202,2026-09-07,22,02R,12:18,2026-09-07T12:08:20.020161+09:00,1150,4.0,1,4.0,2,28.0,28.0
202609070404,2026-09-07,04,04R,12:22,2026-09-07T12:12:21.133625+09:00,1156,2.0,5,3.0,2,24.0,26.0
202609071009,2026-09-07,10,09R,12:25,2026-09-07T12:16:22.280717+09:00,1154,1.0,7,1.0,2,27.0,25.0
202609071604,2026-09-07,16,04R,12:28,2026-09-07T12:18:23.007063+09:00,1202,1.0,6,3.0,2,29.0,28.0
202609071105,2026-09-07,11,05R,12:31,2026-09-07T12:22:24.024105+09:00,1206,0.0,,1.0,2,26.0,27.0
202609071305,2026-09-07,13,05R,12:33,2026-09-07T12:24:22.789825+09:00,1200,3.0,3,0.0,3,26.5,25.2
202609070304,2026-09-07,03,04R,12:35,2026-09-07T12:26:24.252092+09:00,1211,3.0,5,5.0,3,23.0,26.0
202609071409,2026-09-07,14,09R,12:38,2026-09-07T12:28:20.937283+09:00,1209,1.0,8,1.0,2,27.0,27.0
202609070905,2026-09-07,09,05R,12:44,2026-09-07T12:34:23.394280+09:00,1217,0.0,,0.0,3,24.0,25.0
202609072203,2026-09-07,22,03R,12:48,2026-09-07T12:38:21.732977+09:00,1221,4.0,1,4.0,2,28.0,28.0
202609070405,2026-09-07,04,05R,12:52,2026-09-07T12:42:25.867850+09:00,1225,2.0,5,3.0,3,24.0,26.0
202609071605,2026-09-07,16,05R,12:57,2026-09-07T12:48:24.643013+09:00,1232,2.0,5,3.0,2,29.0,28.0
202609071010,2026-09-07,10,10R,12:59,2026-09-07T12:50:20.219184+09:00,1228,1.0,7,1.0,2,27.0,25.0
202609070305,2026-09-07,03,05R,13:02,2026-09-07T12:52:21.767719+09:00,1211,3.0,5,5.0,3,23.0,26.0
202609071106,2026-09-07,11,06R,13:01,2026-09-07T12:52:21.767719+09:00,1234,0.0,,1.0,2,27.0,27.0
202609071306,2026-09-07,13,06R,13:07,2026-09-07T12:58:23.903493+09:00,1236,3.0,3,0.0,2,26.5,25.2
202609071410,2026-09-07,14,10R,13:09,2026-09-07T13:00:53.216834+09:00,1241,1.0,8,1.0,2,27.0,27.0
202609070906,2026-09-07,09,06R,13:15,2026-09-07T13:06:23.310462+09:00,1248,1.0,3,1.0,2,24.0,25.0
202609072204,2026-09-07,22,04R,13:19,2026-09-07T13:10:20.700496+09:00,1251,4.0,1,4.0,2,28.0,28.0
202609070406,2026-09-07,04,06R,13:22,2026-09-07T13:12:17.990241+09:00,1255,2.0,5,3.0,3,23.0,26.0
202609071606,2026-09-07,16,06R,13:28,2026-09-07T13:18:21.978963+09:00,1301,3.0,5,3.0,2,29.0,28.0
202609070306,2026-09-07,03,06R,13:29,2026-09-07T13:20:22.288961+09:00,1238,3.0,5,5.0,3,23.0,26.0
202609071011,2026-09-07,10,11R,13:32,2026-09-07T13:22:25.776892+09:00,1302,2.0,7,2.0,2,27.0,25.0
202609071107,2026-09-07,11,07R,13:37,2026-09-07T13:28:19.736728+09:00,1304,0.0,,1.0,2,26.0,27.0
202609071307,2026-09-07,13,07R,13:40,2026-09-07T13:30:35.578628+09:00,1310,4.0,3,0.0,2,27.0,25.3
202609072205,2026-09-07,22,05R,13:44,2026-09-07T13:34:25.315384+09:00,1251,4.0,1,4.0,2,28.0,28.0
202609070907,2026-09-07,09,07R,13:46,2026-09-07T13:36:17.924594+09:00,1319,1.0,3,1.0,2,24.0,25.0
202609071411,2026-09-07,14,11R,13:49,2026-09-07T13:40:23.608194+09:00,1312,2.0,8,2.0,2,27.0,27.0
202609070407,2026-09-07,04,07R,13:53,2026-09-07T13:44:24.204030+09:00,1325,1.0,5,3.0,3,23.0,26.0
202609070307,2026-09-07,03,07R,13:56,2026-09-07T13:46:24.920704+09:00,1305,2.0,5,5.0,3,23.0,26.0
202609071607,2026-09-07,16,07R,14:03,2026-09-07T13:54:22.819809+09:00,1332,4.0,5,3.0,2,29.0,28.0
202609071108,2026-09-07,11,08R,14:06,2026-09-07T13:56:20.859841+09:00,1340,1.0,3,1.0,3,26.0,27.0
202609071308,2026-09-07,13,08R,14:08,2026-09-07T13:58:24.376574+09:00,1343,2.0,3,0.0,2,27.3,25.4
202609071012,2026-09-07,10,12R,14:11,2026-09-07T14:02:30.045394+09:00,1335,2.0,7,2.0,2,28.0,25.0
202609072206,2026-09-07,22,06R,14:14,2026-09-07T14:04:27.104404+09:00,1347,5.0,1,5.0,2,28.0,28.0
202609070908,2026-09-07,09,08R,14:17,2026-09-07T14:08:25.974936+09:00,1350,1.0,3,1.0,2,24.0,25.0
202609070308,2026-09-07,03,08R,14:24,2026-09-07T14:14:23.858429+09:00,1359,3.0,5,5.0,3,23.0,26.0
202609070408,2026-09-07,04,08R,14:24,2026-09-07T14:14:23.858429+09:00,1356,1.0,5,3.0,3,23.0,26.0
202609071412,2026-09-07,14,12R,14:28,2026-09-07T14:18:16.950970+09:00,1353,2.0,8,2.0,2,27.0,27.0
