レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609121001,2026-09-12,10,01R,08:32,2026-09-12T08:22:20.501349+09:00,0759,0.0,,0.0,1,23.0,23.0
202609122101,2026-09-12,21,01R,08:44,2026-09-12T08:34:20.292535+09:00,0755,0.0,,1.0,2,24.7,25.7
202609121002,2026-09-12,10,02R,08:58,2026-09-12T08:48:22.705622+09:00,0835,1.0,1,1.0,1,25.0,23.0
202609122102,2026-09-12,21,02R,09:10,2026-09-12T09:00:25.743697+09:00,0847,2.0,3,2.0,1,26.5,25.9
202609121003,2026-09-12,10,03R,09:24,2026-09-12T09:14:26.781548+09:00,0901,1.0,1,1.0,1,25.0,23.0
202609122103,2026-09-12,21,03R,09:36,2026-09-12T09:26:23.964855+09:00,0913,2.0,3,2.0,2,26.5,25.9
202609121004,2026-09-12,10,04R,09:50,2026-09-12T09:40:27.368204+09:00,0927,2.0,8,2.0,1,24.0,23.0
202609122104,2026-09-12,21,04R,10:02,2026-09-12T09:52:23.584926+09:00,0939,3.0,3,3.0,2,26.6,25.9
202609121005,2026-09-12,10,05R,10:18,2026-09-12T10:08:20.549468+09:00,0953,2.0,1,2.0,1,24.0,23.0
202609122105,2026-09-12,21,05R,10:30,2026-09-12T10:20:17.996836+09:00,1005,3.0,3,3.0,2,26.9,26.0
202609120901,2026-09-12,09,01R,10:33,2026-09-12T10:24:24.784745+09:00,0930,0.0,,0.0,2,25.0,24.0
202609121701,2026-09-12,17,01R,10:38,2026-09-12T10:28:18.660145+09:00,1000,2.0,3,2.0,2,25.0,25.0
202609120801,2026-09-12,08,01R,10:39,2026-09-12T10:30:21.505354+09:00,0845,1.0,5,1.0,2,24.0,28.0
202609121801,2026-09-12,18,01R,10:42,2026-09-12T10:32:24.316010+09:00,1000,1.0,4,1.0,2,27.0,26.0
202609120201,2026-09-12,02,01R,10:47,2026-09-12T10:38:21.298065+09:00,1030,1.0,1,1.0,2,21.0,24.0
202609121006,2026-09-12,10,06R,10:50,2026-09-12T10:40:21.637235+09:00,1021,3.0,8,3.0,1,24.0,24.0
202609121601,2026-09-12,16,01R,10:57,2026-09-12T10:48:19.004666+09:00,0952,2.0,4,3.0,1,26.0,27.0
202609120902,2026-09-12,09,02R,11:00,2026-09-12T10:50:27.235969+09:00,0930,0.0,,0.0,2,25.0,24.0
202609122106,2026-09-12,21,06R,10:59,2026-09-12T10:50:27.235969+09:00,1033,3.0,3,3.0,2,27.5,26.1
202609120501,2026-09-12,05,01R,11:03,2026-09-12T10:54:21.908533+09:00,0950,1.0,2,2.0,2,21.0,24.0
202609120802,2026-09-12,08,02R,11:06,2026-09-12T10:56:22.450257+09:00,1043,0.0,,0.0,2,24.0,28.0
202609120202,2026-09-12,02,02R,11:16,2026-09-12T11:06:23.046489+09:00,1030,1.0,1,1.0,2,21.0,24.0
202609121702,2026-09-12,17,02R,11:15,2026-09-12T11:06:23.046489+09:00,1041,2.0,3,2.0,1,25.0,25.0
202609121802,2026-09-12,18,02R,11:16,2026-09-12T11:06:23.046489+09:00,1000,1.0,4,1.0,2,27.0,26.0
202609121007,2026-09-12,10,07R,11:20,2026-09-12T11:10:25.540374+09:00,1053,2.0,8,2.0,1,25.0,24.0
202609121602,2026-09-12,16,02R,11:25,2026-09-12T11:16:22.609611+09:00,1100,4.0,4,3.0,1,27.0,27.0
202609120903,2026-09-12,09,03R,11:27,2026-09-12T11:18:16.977939+09:00,1037,2.0,3,1.0,2,25.0,24.0
202609122107,2026-09-12,21,07R,11:29,2026-09-12T11:20:25.909963+09:00,1102,3.0,3,3.0,2,27.7,26.2
202609120502,2026-09-12,05,02R,11:32,2026-09-12T11:22:20.455090+09:00,1107,3.0,2,2.0,2,23.0,24.0
202609120803,2026-09-12,08,03R,11:35,2026-09-12T11:26:22.010607+09:00,1110,1.0,4,1.0,2,25.0,28.0
202609120601,2026-09-12,06,01R,11:39,2026-09-12T11:30:20.875124+09:00,0940,2.0,4,1.0,2,24.0,26.0
202609121703,2026-09-12,17,03R,11:44,2026-09-12T11:34:23.350134+09:00,1041,2.0,3,2.0,1,25.0,25.0
202609120203,2026-09-12,02,03R,11:45,2026-09-12T11:36:18.914075+09:00,1119,1.0,1,1.0,2,23.0,24.0
202609121803,2026-09-12,18,03R,11:46,2026-09-12T11:36:18.914075+09:00,1045,3.0,4,3.0,2,27.0,27.0
202609121008,2026-09-12,10,08R,11:51,2026-09-12T11:42:22.559342+09:00,1123,3.0,8,3.0,1,25.0,24.0
202609121603,2026-09-12,16,03R,11:55,2026-09-12T11:46:21.273920+09:00,1128,5.0,4,5.0,1,27.0,27.0
202609120904,2026-09-12,09,04R,11:57,2026-09-12T11:48:23.759292+09:00,1104,2.0,3,1.0,1,25.0,24.0
202609122108,2026-09-12,21,08R,11:59,2026-09-12T11:50:25.334852+09:00,1132,4.0,3,4.0,2,27.9,26.3
202609120503,2026-09-12,05,03R,12:01,2026-09-12T11:52:19.511628+09:00,1136,2.0,3,2.0,2,23.0,24.0
202609120804,2026-09-12,08,04R,12:05,2026-09-12T11:56:22.517936+09:00,1139,1.0,4,1.0,2,25.0,28.0
202609120602,2026-09-12,06,02R,12:08,2026-09-12T11:58:27.358742+09:00,1143,2.0,4,1.0,2,25.0,27.0
202609121704,2026-09-12,17,04R,12:10,2026-09-12T12:00:54.872146+09:00,1147,2.0,2,2.0,1,25.0,25.0
202609120204,2026-09-12,02,04R,12:14,2026-09-12T12:04:25.090494+09:00,1148,2.0,1,1.0,2,23.0,24.0
202609121804,2026-09-12,18,04R,12:17,2026-09-12T12:08:21.450927+09:00,1150,3.0,6,3.0,2,28.0,27.0
202609121604,2026-09-12,16,04R,12:23,2026-09-12T12:14:21.865709+09:00,1159,3.0,5,5.0,1,27.0,27.0
202609121009,2026-09-12,10,09R,12:25,2026-09-12T12:16:20.494532+09:00,1154,3.0,1,3.0,1,25.0,24.0
202609120905,2026-09-12,09,05R,12:29,2026-09-12T12:20:23.217713+09:00,1201,2.0,3,1.0,1,26.0,25.0
202609120504,2026-09-12,05,04R,12:31,2026-09-12T12:22:20.267322+09:00,1205,1.0,2,2.0,2,24.0,24.0
202609122109,2026-09-12,21,09R,12:33,2026-09-12T12:24:23.902631+09:00,1202,4.0,3,4.0,2,27.7,26.4
202609120805,2026-09-12,08,05R,12:35,2026-09-12T12:26:20.475081+09:00,1209,1.0,4,1.0,2,26.0,27.0
202609120603,2026-09-12,06,03R,12:37,2026-09-12T12:28:16.909651+09:00,1212,3.0,4,1.0,2,25.0,26.0
202609121705,2026-09-12,17,05R,12:42,2026-09-12T12:32:18.612968+09:00,1213,1.0,2,2.0,1,25.0,25.0
202609120205,2026-09-12,02,05R,12:44,2026-09-12T12:34:22.723417+09:00,1217,1.0,1,1.0,2,23.0,24.0
202609121805,2026-09-12,18,05R,12:48,2026-09-12T12:38:23.841540+09:00,1150,3.0,6,3.0,2,28.0,27.0
