場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
24,2026-09-04,11,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,泉 具巳,１３６　１４４２
24,2026-09-04,11,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,増田 進,Ｆ６３　４　３
24,2026-09-04,11,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,山本 浩輔,４４３　３４３２４３
24,2026-09-04,12,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,柳内 敬太,１６１１５１[５]
24,2026-09-04,12,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,齊藤 廉,４　２２２３４４
24,2026-09-04,12,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,高田 明,５５２２３１２４２４
24,2026-09-04,13,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,清水 紀克,２　６６３　５５
24,2026-09-04,13,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,中里 優子,６　２４５４４　３　２１
24,2026-09-04,13,2026-07-28,2026-07-31,一般,にっぽん未来プロジェクト競走ｉｎ大村　１,山崎 昂介,６　１３３４２１
24,2026-09-04,14,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,松村 敏,３２３２１３３１
24,2026-09-04,14,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,松瀬 弘美,２３４　４２５　３３４
24,2026-09-04,14,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,白水 勝也,３２３　３５３５１５
24,2026-09-04,15,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,宮本 夏樹,６　２５５６２５
24,2026-09-04,15,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,東 健介,５５５　３６５
24,2026-09-04,15,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,中島 浩哉,４６５５３　落欠
24,2026-09-04,16,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,赤坂 俊輔,４２１５２５２５
24,2026-09-04,16,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,平高 奈菜,１３２　１１１２３１[１]
24,2026-09-04,16,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,眞鳥 康太,１　３２５５１４２５
24,2026-09-04,17,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,藤田 浩人,４　３６３　２１
24,2026-09-04,17,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,喜多 那由夏,４　５４６　１６５５３
24,2026-09-04,17,2026-07-28,2026-07-31,一般,にっぽん未来プロジェクト競走ｉｎ大村　１,岩崎 正哉,３３１　３４４６
24,2026-09-04,18,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,酒井 陽祐,４　５２４　６４
24,2026-09-04,18,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,鐘ヶ江 真司,４５３　５４４
24,2026-09-04,18,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,今井 貴士,１６４３２　３６２２
24,2026-09-04,19,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,石岡 将太,６４５　５４３
24,2026-09-04,19,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,原田 佑実,１　１４３１３４１１[３]
24,2026-09-04,19,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,日高 龍之介,２　６１４３４　３１
24,2026-09-04,20,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,村岡 賢人,３３１１３１[１]
24,2026-09-04,20,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,坂 咲友理,２　１５３　２２４６１６
24,2026-09-04,20,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,桑原 悠,１１２１４　４１[２]
24,2026-09-04,21,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,牟田 奨太,５　５１５　６１
24,2026-09-04,21,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,近藤 雄一郎,４３５　４４４
24,2026-09-04,21,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,上之 晃弘,６５６　６３５　４５
24,2026-09-04,22,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,佐口 達也,５６２　２６４
24,2026-09-04,22,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,森 智也,５２３　１　２２
24,2026-09-04,22,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,坪口 竜也,３３２　２５２３２１
24,2026-09-04,23,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,宮崎 奨,落６１　３２１
24,2026-09-04,23,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,野田 亜湖,６　６６６６６　５　５
24,2026-09-04,23,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,榎 幸司,３６２　２３１２[５]
24,2026-09-04,24,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,菊池 峰晴,２　４４３　５２
24,2026-09-04,24,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,大野 芳顕,２４５　３転１
24,2026-09-04,24,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,渡辺 千草,５　３４３　３４１　４２
24,2026-09-04,25,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,田路 朋史,３　４３２　４６
24,2026-09-04,25,2026-08-12,2026-08-17,ＧⅢ,オールレディース競走,金田 幸子,５　１３２　４１１３転４
24,2026-09-04,25,2026-07-28,2026-07-31,一般,にっぽん未来プロジェクト競走ｉｎ大村　１,藤岡 俊介,１６５２６３３４
24,2026-09-04,26,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,稗田 聖也,３１４２１３６２
24,2026-09-04,26,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,重富 伸也,５３Ｆ４４　５　６
24,2026-09-04,26,2026-07-22,2026-07-25,一般,ミッドナイトボートレースｉｎ大村　６,馬野 耀,１　２２１２[４]
24,2026-09-04,27,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,浮田 圭浩,４　４３１　４６
24,2026-09-04,27,2026-08-20,2026-08-23,一般,ミッドナイトボートレースｉｎ大村　７,角山 雄哉,４　６６５　２２
24,2026-09-04,27,2026-08-06,2026-08-10,一般,ＢＯＡＴＲＡＣＥ振興会会長賞,町田 洸希,４　４５６１６２５４
24,2026-09-04,28,2026-09-01,2026-09-04,一般,ミッドナイトボートレースｉｎ大村　８,今出 晋二,６　４５４　５４
