場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
11,2026-09-09,61,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,片岡 雅裕,１　６５６　２　１２６
11,2026-09-09,62,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,小川 竜太朗,３　５６２　２２３５１５
11,2026-09-09,62,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,山本 光雄,５　１５３２３　４４２１
11,2026-09-09,62,2026-07-16,2026-07-21,一般,第７回京都新聞杯,大場 広孝,２２４　２３５４１４３２
11,2026-09-09,63,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,山下 拓巳,６６Ｆ　５　５　５　６
11,2026-09-09,63,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,坂口 周,６６１２３　３４１５１５
11,2026-09-09,63,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,青木 玄太,５　１４２１４２２　５３
11,2026-09-09,64,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,山崎 祥,３１１４２　２３４５１６
11,2026-09-09,64,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,市川 健太,３３５　１１４６５６１５
11,2026-09-09,64,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,茅原 悠紀,３　５３２３３　５　１３
11,2026-09-09,65,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,早川 理稀,１６６　６６６　６　５２
11,2026-09-09,65,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,北野 輝季,５１２　１１１１３１[５]
11,2026-09-09,65,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,廣部 大明,５　４５６　２６６　２５
11,2026-09-09,66,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,竹下 大樹,１４１１１　１１１１[１]
11,2026-09-09,66,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,佐竹 恒彦,４　３４１４５　１４５
11,2026-09-09,66,2026-07-16,2026-07-21,一般,第７回京都新聞杯,篠崎 元志,１１３　３１１２３１[３]
11,2026-09-09,67,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,橋本 英一,３２５　５２５　６５２
11,2026-09-09,67,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,太田 和美,２２２　３３１２５３３２
11,2026-09-09,67,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,湯川 浩司,３２３　２　４２４　１５
11,2026-09-09,68,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,丸山 祐也,４４５　４　６５４　２
11,2026-09-09,68,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,亀本 勇樹,４　Ｆ２４　６　３　５
11,2026-09-09,68,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,山田 祐也,３　６　１６２　５３４３
11,2026-09-09,69,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,高橋 龍治,６　２６６　６６２　６５
11,2026-09-09,69,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,香川 陽太,５６６　転　４４５　６５
11,2026-09-09,69,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,馬場 貴也,５３１　１　６３５　１４
11,2026-09-09,70,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,岡 祐臣,１５４３６　４４１　４４
11,2026-09-09,70,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,佐藤 隆太郎,５　６　２２６　１３５
11,2026-09-09,70,2026-07-16,2026-07-21,一般,第７回京都新聞杯,久富 政弘,６１３３３　１４５４１２
11,2026-09-09,71,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,大澤 普司,４３５２２　１３６４４３
11,2026-09-09,71,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,和田 操拓,３３１　３５３３４５１６
11,2026-09-09,71,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,吉田 拡郎,２６４　３　５１２　３２
11,2026-09-09,72,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,藤田 俊祐,１　５３４３５　６１６３
11,2026-09-09,72,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,若林 樹蘭,１３２４２４３　６４１４
11,2026-09-09,72,2026-08-15,2026-08-20,一般,滋賀県知事杯争奪　第３０回びわこカップ,遠藤 エミ,１２２６４４２　２３５３
11,2026-09-09,73,2026-09-04,2026-09-09,一般,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,楠 将太郎,５　１５転６６　６　４６
11,2026-09-09,73,2026-08-26,2026-08-31,一般,ボートピア京都やわた開設１９周年記念,藤田 竜弘,４２１　１３３３５６１６
11,2026-09-09,73,2026-07-28,2026-08-02,ＳＧ,第３１回オーシャンカップ,森高 一真,５　２　４４３　４４４
