場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
05,2026-09-02,11,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,岩下 巧斗,５４４　６　２１５４３１
05,2026-09-02,11,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,萬 正嗣,６４６　２５３　６　６
05,2026-09-02,11,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,黒柳 浩孝,２　２５２５２２
05,2026-09-02,12,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,小林 孝彰,６　５４５６３　２　５
05,2026-09-02,12,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,後藤 孝義,６　５　２４３
05,2026-09-02,12,2026-07-19,2026-07-23,一般,第６４回スポーツニッポン賞,大谷 直弘,４２４　２３２６６６
05,2026-09-02,13,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,田中 信一郎,３１６６５　２１４６３２
05,2026-09-02,13,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,大澤 真菜,１６６　６５６
05,2026-09-02,13,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,上田 紗奈,１４２　３６６　４３１６
05,2026-09-02,14,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,後藤 浩,１４６　５６１　６６６
05,2026-09-02,14,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,樋口 範政,１５３　５３２　１４４３
05,2026-09-02,14,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,池田 雄祐,４　４１５５５５５　３
05,2026-09-02,15,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,金子 和之,４１１　４４２１
05,2026-09-02,15,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,佐藤 ほのか,３５６　６６６　５　５５
