登録番号,重み付き和,重み付き二乗和,重み計,基準日
4964,3.1757152483,0.5118923973,22.9509820087,2026-09-12
4965,4.1179748262,0.7831998033,26.7681602804,2026-09-12
4966,3.7254234809,0.6609935905,24.1846041748,2026-09-12
4967,4.3995717984,0.7391840525,30.6728609186,2026-09-12
4969,4.6811868609,1.0431744453,26.2789410473,2026-09-12
4973,3.4073993878,0.6772035387,19.1768491743,2026-09-12
4974,5.3751631519,0.9381114144,34.0414184711,2026-09-12
4976,4.8122764422,1.0448752234,26.0131333744,2026-09-12
4977,4.9054040979,0.9179924765,31.5563441221,2026-09-12
4978,3.4296410665,0.6233004722,21.7294870663,2026-09-12
4979,4.6659662046,0.9555858755,27.2451678467,2026-09-12
4980,4.1889543279,0.6673779808,30.4742471526,2026-09-12
4981,5.3513443993,1.0838307448,29.487347405,2026-09-12
4982,4.3773478861,0.8805852927,24.5487634206,2026-09-12
4983,4.2342946472,0.7280559252,28.2385899224,2026-09-12
4984,5.1693154399,1.2341176646,26.4231414399,2026-09-12
4985,3.6930515166,0.6109575405,26.1536563154,2026-09-12
4987,3.6133359483,0.6571497916,22.3128270139,2026-09-12
4988,2.5648780175,0.403598067,19.7420789153,2026-09-12
4989,2.5834804099,0.4472768956,17.6071606981,2026-09-12
4990,2.7336155473,0.7282528891,12.6384430511,2026-09-12
4991,4.7596946215,0.9027639917,28.2161036793,2026-09-12
4992,3.4292518452,0.5617259836,23.1066612698,2026-09-12
4994,5.3288838072,1.0562527779,30.8379571069,2026-09-12
4995,3.3232879525,0.6272689308,19.2177913443,2026-09-12
4997,2.0428013056,0.5208832631,10.1540050955,2026-09-12
4998,2.5035009098,0.3387307632,23.9241918355,2026-09-12
5000,2.7931009091,0.4390408904,21.4110330146,2026-09-12
5002,3.6216920707,0.6725442277,23.1701349428,2026-09-12
5003,4.8397506435,1.2268033337,29.5935842773,2026-09-12
5004,4.5700691642,0.8619976607,28.8094681361,2026-09-12
5005,4.4597693094,0.811628964,31.1735521002,2026-09-12
