記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-08,01,11,6,40,27.550229,19.714782,38.499799,0.200582,0.159225
2026-09-08,01,12,6,40,26.951026,19.300751,37.633655,-0.05594,-0.044196
2026-09-08,01,13,6,41,28.490752,20.762173,39.096242,-0.051234,-0.040798
2026-09-08,01,17,6,41,28.450089,20.511196,39.461744,0.167939,0.133986
2026-09-08,01,21,6,40,25.809262,18.12969,36.741831,-0.122051,-0.095939
2026-09-08,01,22,6,35,19.915378,12.42354,31.925064,-0.261845,-0.19939
2026-09-08,01,24,6,36,25.227581,18.40229,34.58433,0.001854,0.001438
2026-09-08,01,25,6,40,27.621193,19.96404,38.215225,0.018465,0.014635
2026-09-08,01,26,6,43,28.023876,19.385314,40.511989,-0.026764,-0.021465
2026-09-08,01,27,6,39,26.028284,18.515697,36.58904,0.146033,0.114688
2026-09-08,01,29,6,38,22.744543,15.221538,33.985673,-0.188334,-0.145517
2026-09-08,01,31,6,39,25.852132,18.205504,36.710478,-0.039906,-0.031362
2026-09-08,01,32,6,42,27.909055,19.750604,39.437546,0.188968,0.150745
2026-09-08,01,34,6,42,27.640189,19.311863,39.560142,-0.160357,-0.128001
2026-09-08,01,36,6,39,27.35625,19.935688,37.53893,-0.299367,-0.236394
2026-09-08,01,37,6,40,27.918423,20.233074,38.522983,0.269451,0.21392
2026-09-08,01,38,6,44,29.247086,20.541306,41.642533,-0.443914,-0.357955
2026-09-08,01,40,6,40,27.996586,20.351739,38.513113,-0.224582,-0.178289
2026-09-08,01,41,6,37,26.025245,19.024658,35.60187,-0.049113,-0.038343
2026-09-08,01,42,6,39,24.200608,15.800296,37.066991,-0.169329,-0.133353
2026-09-08,01,43,5,32,20.849581,14.676998,29.618117,-0.239482,-0.179034
2026-09-08,01,44,6,41,27.951578,20.019146,39.027176,-0.268636,-0.213843
2026-09-08,01,46,6,40,26.427224,18.537072,37.675752,0.406658,0.321361
2026-09-08,01,47,6,39,26.565263,18.969003,37.203494,0.15858,0.124985
2026-09-08,01,48,6,39,25.986148,18.356739,36.786484,0.209866,0.16501
2026-09-08,01,49,6,41,28.428966,20.472583,39.477484,-0.095778,-0.07642
2026-09-08,01,50,6,41,28.633418,20.742415,39.526383,0.082489,0.065833
2026-09-08,01,51,6,39,26.771483,19.290472,37.153694,0.238292,0.187757
2026-09-08,01,52,6,39,26.733646,19.253045,37.120768,0.278583,0.219462
2026-09-08,01,53,6,41,28.690613,20.803889,39.567182,-0.189352,-0.151151
