記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-10,03,40,6,39,26.198814,19.092495,35.95014,-0.2937,-0.229783
2026-09-10,03,43,6,39,23.620613,15.640625,35.672062,0.133553,0.104311
2026-09-10,03,45,5,37,23.856249,16.755656,33.96588,-0.160129,-0.123707
2026-09-10,03,47,5,32,20.517402,14.483546,29.064965,-0.506025,-0.376491
2026-09-10,03,48,6,38,23.237841,15.642083,34.522079,-0.248777,-0.1929
2026-09-10,03,49,5,37,23.856249,16.755656,33.96588,0.058427,0.045137
2026-09-10,03,50,6,41,24.440175,16.21966,36.827044,-0.18058,-0.142017
2026-09-10,03,51,6,39,25.674053,18.561991,35.511115,-0.039224,-0.030606
2026-09-10,03,52,6,46,27.338996,18.149057,41.182342,0.101768,0.081884
2026-09-10,03,56,5,38,25.064295,18.039651,34.824337,0.298454,0.231871
2026-09-10,03,58,6,38,24.003033,16.51292,34.890594,0.098275,0.076383
2026-09-10,03,59,6,47,28.573079,19.457098,41.960053,0.09177,0.074108
2026-09-10,03,60,5,30,19.170568,13.575509,27.071596,-0.281601,-0.205639
2026-09-10,03,61,6,38,26.418544,19.699152,35.429922,-0.064752,-0.050498
2026-09-10,03,62,6,41,23.681238,15.561234,36.038341,0.495914,0.388197
2026-09-10,03,63,5,38,24.29208,16.964828,34.784034,0.038807,0.030141
2026-09-10,03,64,5,33,20.764655,14.776528,29.179445,0.180357,0.134324
2026-09-10,03,65,6,38,23.609871,15.916934,35.020941,0.084869,0.066018
2026-09-10,03,66,6,35,22.877933,16.268925,32.171752,-0.481888,-0.36762
2026-09-10,03,67,6,37,23.48364,16.822512,32.782342,0.425383,0.325953
2026-09-10,03,68,6,37,23.009457,15.557537,34.030781,0.160729,0.124225
2026-09-10,03,69,5,38,24.000873,16.581899,34.7392,0.184393,0.143178
2026-09-10,03,71,6,36,25.393799,18.818838,34.265932,0.338108,0.261727
2026-09-10,04,13,6,42,30.206992,23.002435,39.668079,-0.114071,-0.091104
2026-09-10,04,15,6,41,27.412175,19.439312,38.655036,0.34636,0.275173
2026-09-10,04,16,6,43,32.779759,25.656174,41.88125,0.247813,0.200048
2026-09-10,04,17,6,43,29.134268,21.085341,40.255718,-0.069228,-0.055453
2026-09-10,04,18,6,44,28.945026,20.15242,41.573893,-0.054359,-0.043819
2026-09-10,04,20,6,37,26.606279,20.189823,35.061925,0.106433,0.082814
2026-09-10,04,21,6,46,30.022223,20.732885,43.473634,0.229146,0.186294
2026-09-10,04,22,6,38,28.485216,22.207925,36.536844,-0.34988,-0.274696
2026-09-10,04,23,6,47,30.434722,20.913186,44.291306,0.119489,0.09748
2026-09-10,04,26,6,41,29.014075,21.703465,38.787197,0.022265,0.017702
2026-09-10,04,27,6,39,26.251969,18.472064,37.308548,-0.070223,-0.055379
2026-09-10,04,28,3,18,11.443645,8.231355,15.909532,0.139201,0.085475
2026-09-10,04,29,6,45,29.087202,19.819182,42.689215,0.186453,0.151066
2026-09-10,04,31,6,40,26.487707,18.652877,37.613426,-0.207958,-0.164282
2026-09-10,04,32,6,38,28.694952,22.488225,36.61473,-0.213573,-0.167756
2026-09-10,04,33,6,40,27.905339,20.221881,38.508185,0.018085,0.014356
2026-09-10,04,34,6,42,30.698497,23.647212,39.85238,0.004592,0.003671
2026-09-10,04,35,6,38,28.207469,21.785815,36.521989,-0.054057,-0.042437
2026-09-10,04,37,6,44,31.758093,23.787702,42.39907,0.314238,0.254268
2026-09-10,04,39,6,35,26.431202,20.842728,33.518089,-0.484525,-0.373187
2026-09-10,04,40,6,45,28.717889,19.422866,42.461147,0.144182,0.116698
2026-09-10,04,43,6,45,29.020347,19.777959,42.581771,-0.0333,-0.026967
2026-09-10,04,44,6,34,25.341659,19.811957,32.414753,-0.111559,-0.085257
2026-09-10,04,45,6,38,27.601097,21.267833,35.820318,-0.187597,-0.146655
2026-09-10,04,47,6,40,28.600397,21.326493,38.355238,-0.074607,-0.059178
2026-09-10,04,48,6,39,28.672977,21.883155,37.569519,0.310991,0.245615
2026-09-10,04,49,6,36,26.741415,20.736183,34.485771,-0.19199,-0.148832
2026-09-10,04,52,6,39,27.990204,20.922842,37.444794,-0.043494,-0.034327
2026-09-10,04,53,6,37,26.586547,20.566007,34.369554,0.104739,0.081133
2026-09-10,04,54,6,37,25.338092,18.649051,34.426357,-0.253399,-0.196361
2026-09-10,04,55,6,38,25.393151,18.171636,35.484539,-0.258317,-0.201524
2026-09-10,04,56,6,40,28.590828,21.607199,37.831625,-0.087305,-0.069052
2026-09-10,04,57,6,35,26.290524,20.615953,33.527028,-0.02654,-0.020443
2026-09-10,04,59,6,38,28.2915,22.071431,36.26448,-0.22054,-0.17287
2026-09-10,04,60,6,40,26.332239,18.055313,38.403477,0.416995,0.330845
2026-09-10,04,63,6,40,30.17024,23.568183,38.621704,-0.043404,-0.034477
2026-09-10,04,64,6,39,29.341453,22.751302,37.840511,-0.190057,-0.15033
2026-09-10,04,65,6,41,30.16074,23.050921,39.463509,-0.158451,-0.126417
2026-09-10,04,66,6,39,28.916158,22.291065,37.510285,0.015009,0.01185
2026-09-10,04,67,6,37,26.820257,20.341704,35.362141,-0.353359,-0.275462
2026-09-10,04,69,6,38,28.650232,22.450873,36.561419,0.242181,0.190168
2026-09-10,04,70,6,36,26.981883,21.06315,34.563778,-0.352634,-0.273504
2026-09-10,04,71,6,41,30.328054,23.321972,39.438812,0.237305,0.189305
2026-09-10,04,72,6,35,25.818622,19.944898,33.422142,-0.393392,-0.302795
2026-09-10,04,73,6,41,26.316441,17.966991,38.545968,-0.052402,-0.041608
2026-09-10,04,74,6,39,27.123867,19.777211,37.19959,0.081027,0.06386
2026-09-10,05,11,6,39,26.412725,18.631881,37.442919,-0.100864,-0.079604
2026-09-10,05,13,6,43,26.095039,17.12108,39.77267,-0.327052,-0.261343
2026-09-10,05,15,5,31,16.486289,9.143809,29.724782,-0.157335,-0.117729
2026-09-10,05,16,6,38,23.632316,15.503015,36.02437,-0.492282,-0.385321
2026-09-10,05,19,5,33,18.311153,10.584912,31.677006,0.260293,0.197838
2026-09-10,05,20,6,39,25.353022,17.493005,36.744728,0.176566,0.138793
2026-09-10,05,21,6,41,23.395883,14.765904,37.069679,0.336036,0.264645
2026-09-10,05,22,5,33,16.365826,8.419016,31.813722,-0.130558,-0.099334
2026-09-10,05,23,5,29,17.879926,11.599401,27.561056,-0.140441,-0.103051
2026-09-10,05,24,6,38,20.233854,11.207261,36.530678,-0.142206,-0.111645
2026-09-10,05,25,5,34,19.236229,11.466938,32.269514,-0.283293,-0.216273
2026-09-10,05,26,4,29,17.057965,10.631385,27.369358,-0.291483,-0.213482
2026-09-10,05,29,5,32,17.914917,10.320096,31.098961,-0.296559,-0.224402
2026-09-10,05,30,4,25,12.237197,6.236857,24.010332,0.004608,0.003253
2026-09-10,05,31,6,45,26.740072,17.445304,40.987045,0.054459,0.043778
2026-09-10,05,33,6,39,20.402489,11.090959,37.531612,-0.121253,-0.095743
2026-09-10,05,34,6,44,26.752953,17.679272,40.483594,0.067976,0.054511
2026-09-10,05,35,4,24,13.313129,7.65636,23.149304,-0.173035,-0.120836
2026-09-10,05,38,5,33,17.347553,9.558953,31.482276,-0.109944,-0.08344
2026-09-10,05,39,6,43,26.759079,17.809458,40.206071,-0.133837,-0.107179
2026-09-10,05,40,5,33,19.546787,12.139154,31.474755,-0.086261,-0.065463
2026-09-10,05,43,6,45,24.244216,13.813495,42.551288,0.345666,0.279889
2026-09-10,05,45,6,44,27.655513,18.598247,41.123628,-0.088208,-0.070954
2026-09-10,05,47,6,41,23.295568,13.952572,38.89487,-0.120832,-0.096119
2026-09-10,05,48,6,38,20.106432,11.043487,36.606971,-0.062736,-0.049276
2026-09-10,05,49,6,47,31.856361,22.368524,45.36856,0.196454,0.160973
2026-09-10,05,50,6,43,28.358115,19.719648,40.780781,-0.003291,-0.002643
2026-09-10,05,51,6,42,27.553567,19.180633,39.581545,-0.009367,-0.007478
2026-09-10,05,52,6,41,22.425249,12.962175,38.796867,0.034138,0.027142
2026-09-10,05,53,6,40,23.778534,14.984609,37.733296,-0.135289,-0.106946
2026-09-10,05,56,6,44,24.175507,14.041446,41.623573,-0.219616,-0.177074
2026-09-10,05,57,6,50,29.79628,19.393841,45.778363,0.302207,0.248027
2026-09-10,05,58,5,33,19.518507,12.10241,31.479027,-0.126783,-0.096218
2026-09-10,05,59,6,38,21.580744,12.778823,36.445338,-0.172379,-0.135264
2026-09-10,05,60,6,42,25.276781,16.264515,39.282799,-0.571157,-0.455263
2026-09-10,05,62,6,41,24.625706,15.312287,39.603841,0.10461,0.083521
2026-09-10,05,63,6,42,28.536093,20.183221,40.345821,0.278839,0.223455
2026-09-10,05,64,5,33,19.038081,12.275421,29.526361,0.341043,0.254761
2026-09-10,05,65,6,43,26.608192,17.540582,40.363306,-0.068807,-0.055145
2026-09-10,05,66,6,42,27.687698,19.146542,40.039012,0.069418,0.055545
2026-09-10,05,68,6,43,26.161133,17.216314,39.753275,-0.039324,-0.03142
2026-09-10,05,69,4,26,15.884988,10.238694,24.645021,-0.330684,-0.235235
2026-09-10,05,70,5,35,18.550634,10.274658,33.492698,0.029422,0.022657
2026-09-10,05,72,6,40,23.721603,14.601452,38.538252,-0.023962,-0.019025
2026-09-10,05,73,6,40,22.874571,13.812666,37.881608,-0.055638,-0.044018
2026-09-10,13,1,6,40,28.202569,20.737044,38.355749,-0.281333,-0.223153
2026-09-10,13,2,6,45,31.141649,22.507841,43.087309,0.211562,0.17171
2026-09-10,13,3,6,44,28.962689,20.266808,41.389712,0.113255,0.091216
2026-09-10,13,4,6,42,30.905075,23.844824,40.055806,0.390752,0.312689
2026-09-10,13,5,6,39,29.044652,22.322609,37.790913,-0.323982,-0.25619
2026-09-10,13,9,6,38,26.240969,19.235051,35.798629,0.191621,0.149781
2026-09-10,13,10,6,37,27.674501,21.339118,35.890798,0.073925,0.057816
2026-09-10,13,12,6,42,30.030408,22.365369,40.322402,0.206183,0.165211
2026-09-10,13,14,6,35,23.776369,16.87512,33.499953,0.097973,0.07545
2026-09-10,13,16,6,38,26.266902,19.095253,36.132025,0.329358,0.257963
2026-09-10,13,17,6,39,30.886755,25.062986,38.063766,0.277874,0.220061
2026-09-10,13,19,6,38,29.678094,23.864318,36.90821,-0.075096,-0.059087
2026-09-10,13,20,6,41,29.29262,21.685631,39.568026,-0.346563,-0.276646
2026-09-10,13,21,6,39,27.145924,19.928768,36.976755,-0.241577,-0.190153
2026-09-10,13,23,6,44,30.742792,22.608548,41.803626,0.206794,0.166876
2026-09-10,13,24,6,36,26.176348,19.812328,34.584586,-0.29918,-0.232076
2026-09-10,13,26,6,39,30.473132,24.430788,38.009898,0.063624,0.050372
2026-09-10,13,27,6,39,26.261857,18.914578,36.46315,-0.380821,-0.298859
2026-09-10,13,28,6,38,25.316686,17.939883,35.726798,0.06094,0.047613
2026-09-10,13,29,6,33,23.648332,17.652484,31.680733,-0.208173,-0.158228
2026-09-10,13,30,6,38,25.287893,17.913112,35.698853,-0.120808,-0.094372
2026-09-10,13,31,6,39,28.163732,21.023312,37.729346,-0.051983,-0.041092
2026-09-10,13,33,6,37,26.016928,19.227399,35.203957,-0.157193,-0.122418
2026-09-10,13,36,6,37,27.470999,21.007225,35.92363,-0.041791,-0.032691
2026-09-10,13,37,6,42,31.214165,24.108533,40.414077,0.094297,0.075593
2026-09-10,13,39,6,45,29.541826,20.524019,42.521861,0.220816,0.178774
2026-09-10,13,40,6,46,30.499676,21.452689,43.361942,0.068325,0.055521
2026-09-10,13,41,6,35,24.463132,18.242654,32.804703,-0.199384,-0.152804
2026-09-10,13,42,6,38,28.610451,22.46093,36.443635,-0.169047,-0.132649
2026-09-10,13,43,6,36,22.897886,16.14179,32.481724,-0.310507,-0.237415
2026-09-10,13,44,6,41,28.273302,20.343143,39.294792,0.084302,0.0672
2026-09-10,13,46,6,41,28.707407,21.532172,38.273669,0.112305,0.089041
2026-09-10,13,47,6,36,27.446984,21.636913,34.817208,-0.016997,-0.013205
2026-09-10,13,51,6,39,27.916308,21.059792,37.005127,0.337659,0.265825
2026-09-10,13,53,6,36,25.455986,18.815122,34.440766,-0.103058,-0.079868
2026-09-10,13,54,6,41,31.920578,25.544593,39.888024,-0.102598,-0.082032
2026-09-10,13,55,6,38,27.580342,20.802774,36.56605,0.320726,0.251851
2026-09-10,13,58,6,36,27.794983,22.111397,34.939498,-0.389832,-0.303086
2026-09-10,13,59,6,41,30.804991,24.206836,39.201631,-0.318333,-0.253633
2026-09-10,13,60,6,36,25.885459,19.358174,34.613646,-0.240745,-0.186782
2026-09-10,13,61,6,39,28.609904,21.482947,38.101226,0.477374,0.378131
2026-09-10,13,62,6,36,25.1128,18.608489,33.890592,-0.125692,-0.097054
2026-09-10,13,63,6,44,29.412714,20.846449,41.499044,0.13402,0.107996
2026-09-10,14,10,6,33,21.345942,15.136864,30.101958,-0.149145,-0.111954
2026-09-10,14,12,5,32,20.607679,14.40397,29.483291,-0.12757,-0.09526
2026-09-10,14,16,5,34,21.264044,14.506709,31.168995,0.027829,0.02107
2026-09-10,14,17,6,38,23.235603,15.721043,34.342076,-0.140444,-0.108771
2026-09-10,14,21,6,35,23.506408,17.150146,32.218456,0.154275,0.117733
2026-09-10,14,23,5,30,18.02981,12.060265,26.954137,-0.098394,-0.071768
2026-09-10,14,24,6,35,21.299455,14.362635,31.586598,-0.026086,-0.019813
2026-09-10,14,25,6,41,26.521493,18.494119,38.033149,0.1082,0.085674
2026-09-10,14,26,6,38,22.163605,14.360217,34.207381,-0.490446,-0.379504
2026-09-10,14,27,6,36,21.158985,13.77309,32.505609,-0.017613,-0.013469
2026-09-10,14,28,5,30,21.302225,16.026142,28.315285,-0.10859,-0.080249
2026-09-10,14,29,6,41,26.471647,18.452055,37.976696,0.120782,0.095607
2026-09-10,14,30,4,23,14.135436,9.855128,20.274782,0.112157,0.07511
2026-09-10,14,31,6,38,23.091473,15.36853,34.695324,-0.533655,-0.414257
2026-09-10,14,32,5,32,20.634142,14.307116,29.759165,-0.30247,-0.226395
2026-09-10,14,33,5,32,20.706638,14.500455,29.569064,-0.002387,-0.001784
2026-09-10,14,35,5,31,18.210206,12.098611,27.409062,-0.047213,-0.034592
2026-09-10,14,36,6,37,24.176468,17.167755,34.046478,-0.069015,-0.053346
2026-09-10,14,38,5,33,22.125246,16.005964,30.584006,-0.161404,-0.121634
2026-09-10,14,39,6,35,23.514452,17.163149,32.216084,-0.170702,-0.130267
2026-09-10,14,51,6,38,22.101265,14.262582,34.248071,0.263465,0.203923
2026-09-10,14,53,5,29,20.334333,15.599389,26.506491,0.222596,0.161622
2026-09-10,14,54,5,32,20.338543,14.067623,29.40485,-0.112054,-0.083618
2026-09-10,14,55,4,26,18.533331,14.376709,23.891724,-0.036772,-0.025922
2026-09-10,14,56,5,28,17.281324,11.724018,25.47285,-0.308099,-0.221244
2026-09-10,14,58,5,29,18.041834,12.416227,26.21632,0.100555,0.07279
2026-09-10,14,59,5,31,19.845749,13.817542,28.503893,-0.070932,-0.05251
2026-09-10,14,60,5,30,19.526231,14.424226,26.432871,0.200122,0.145193
2026-09-10,14,61,6,32,19.66366,13.239962,29.203975,-0.038528,-0.0287
2026-09-10,14,65,5,32,20.139204,13.822992,29.341517,-0.032319,-0.024104
