記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-14,02,1,4,22,16.325103,12.337931,21.600783,0.001133,0.000775
2026-09-14,02,2,3,18,13.862319,10.842206,17.723688,-0.040937,-0.026171
2026-09-14,02,3,4,24,18.035657,13.830945,23.518634,0.313007,0.219624
2026-09-14,02,4,4,23,17.101033,12.938766,22.602258,0.147375,0.102171
2026-09-14,02,5,2,11,8.520912,6.764608,10.733207,-0.09986,-0.051696
2026-09-14,02,7,4,21,16.475614,13.272884,20.451159,-0.204158,-0.137114
2026-09-14,02,8,5,22,17.058618,13.535907,21.498113,0.284029,0.193856
2026-09-14,02,9,3,16,11.72535,8.810434,15.604661,-0.362088,-0.220673
2026-09-14,02,10,4,20,15.53531,12.363943,19.520137,0.313721,0.207447
2026-09-14,02,11,4,22,17.011566,13.499225,21.437777,-0.123764,-0.084396
2026-09-14,02,12,4,22,17.180704,13.766443,21.441748,0.137336,0.093656
2026-09-14,02,13,4,22,17.162948,13.738398,21.44113,0.093703,0.0639
2026-09-14,02,14,4,23,18.055545,14.537819,22.424457,0.073105,0.050559
2026-09-14,02,15,4,21,16.441918,13.222938,20.444523,0.487997,0.327706
2026-09-14,02,16,4,21,16.198881,12.810522,20.483456,0.128688,0.086472
2026-09-14,02,17,4,18,13.710124,10.724405,17.527079,0.146859,0.093508
2026-09-14,02,18,4,21,16.204416,12.814858,20.49052,0.09872,0.066343
2026-09-14,02,19,4,20,15.555187,12.398583,19.515443,-0.222939,-0.147406
2026-09-14,02,20,4,21,16.197011,12.805365,20.486974,0.129706,0.087161
2026-09-14,02,21,4,23,18.016282,14.484345,22.409466,0.257561,0.17809
2026-09-14,02,22,4,21,16.279454,12.95419,20.458293,0.413057,0.277443
2026-09-14,02,23,4,21,15.725771,11.99293,20.620471,-0.07481,-0.050378
2026-09-14,02,24,4,19,14.857502,11.914517,18.527428,0.082649,0.053677
2026-09-14,02,25,4,19,15.529443,12.906421,18.685551,-0.183434,-0.119488
2026-09-14,02,36,4,21,16.890188,13.880272,20.5528,0.341964,0.230038
2026-09-14,02,44,4,22,17.796059,14.692722,21.55487,0.256001,0.174872
2026-09-14,02,49,6,37,23.461057,15.710061,35.036222,-0.217446,-0.169164
2026-09-14,02,50,6,36,22.777336,15.225534,34.074799,-0.572796,-0.442836
2026-09-14,02,51,6,36,22.306156,14.846295,33.514395,0.064858,0.049953
2026-09-14,02,52,4,23,15.598128,11.332072,21.470177,-0.190679,-0.130089
2026-09-14,02,53,6,37,23.689391,16.004224,35.064945,0.160694,0.125036
