記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-13,02,1,4,20,14.537763,10.671997,19.803844,-0.046774,-0.03108
2026-09-13,02,2,3,16,12.046363,9.141311,15.874623,0.04085,0.025062
2026-09-13,02,3,4,22,16.268194,12.199908,21.693125,0.332226,0.2274
2026-09-13,02,4,4,22,16.311223,12.264035,21.694002,0.118985,0.081443
2026-09-13,02,5,2,9,6.642892,4.968403,8.88173,0.018971,0.008924
2026-09-13,02,7,4,19,14.690023,11.628803,18.557094,-0.190224,-0.123612
2026-09-13,02,8,5,20,15.279802,11.897974,19.622866,0.25297,0.167573
2026-09-13,02,9,3,15,10.873078,8.039208,14.705904,-0.343657,-0.204558
2026-09-13,02,10,4,19,14.727308,11.675776,18.576374,0.191472,0.124468
2026-09-13,02,11,4,20,15.232203,11.860434,19.562521,-0.118133,-0.078173
2026-09-13,02,12,4,20,15.403306,12.133898,19.553638,0.05006,0.033121
2026-09-13,02,13,4,20,15.385343,12.105198,19.55431,0.185028,0.122422
2026-09-13,02,14,4,21,16.288312,12.923304,20.52951,-0.056195,-0.037788
2026-09-13,02,15,4,19,14.655936,11.57769,18.552618,0.554028,0.35999
2026-09-13,02,16,4,20,15.398589,12.132793,19.543442,0.078339,0.051823
2026-09-13,02,17,4,16,11.8924,9.020756,15.678194,0.173717,0.106066
2026-09-13,02,18,4,19,14.415674,11.160071,18.620999,0.253947,0.165219
2026-09-13,02,19,4,18,13.758901,10.734066,17.636128,-0.404978,-0.258439
2026-09-13,02,20,4,19,14.408183,11.150356,18.617858,0.27275,0.177442
2026-09-13,02,21,4,21,16.248594,12.868581,20.516388,0.276877,0.186146
2026-09-13,02,22,4,19,14.491584,11.30266,18.580228,0.380744,0.247525
2026-09-13,02,23,4,19,13.931468,10.318932,18.80871,-0.027141,-0.01772
2026-09-13,02,24,4,17,13.053109,10.238686,16.641166,0.005957,0.003721
2026-09-13,02,25,4,18,14.721372,12.230934,17.718908,-0.05868,-0.03751
2026-09-13,02,36,4,19,15.109415,12.250388,18.635688,0.415025,0.270093
2026-09-13,02,44,4,20,16.025811,13.081829,19.632318,0.245446,0.162616
2026-09-13,02,49,6,36,22.745147,15.100106,34.2608,-0.204073,-0.157966
2026-09-13,02,50,6,35,22.053482,14.604254,33.302354,-0.591854,-0.455175
2026-09-13,02,51,6,35,21.576827,14.21615,32.74863,0.043318,0.033185
2026-09-13,02,52,4,21,13.802341,9.642627,19.756507,-0.099644,-0.066157
2026-09-13,02,53,6,36,22.976134,15.401145,34.27685,0.223827,0.173275
2026-09-13,02,54,6,36,22.751371,15.098679,34.282793,-0.080237,-0.062118
2026-09-13,02,55,6,32,19.889617,12.926767,30.602922,-0.395986,-0.298459
2026-09-13,02,56,3,17,12.996797,10.054929,16.799396,0.486,0.304653
2026-09-13,02,57,4,24,13.481321,8.396946,21.644299,-0.385717,-0.263826
2026-09-13,02,58,6,33,22.781137,16.392295,31.66001,-0.082075,-0.062374
2026-09-13,02,59,3,16,9.536737,6.16981,14.741031,-0.086066,-0.051279
2026-09-13,02,60,5,31,19.931261,13.515284,29.393031,-0.081599,-0.060885
2026-09-13,02,61,6,34,19.586863,12.144815,31.589218,0.05635,0.042801
2026-09-13,02,62,6,35,22.176477,14.775705,33.284107,-0.135681,-0.104334
2026-09-13,02,63,6,34,19.181126,11.655822,31.564964,0.52008,0.394955
2026-09-13,02,65,2,9,7.348105,6.066586,8.900335,-0.063248,-0.029784
2026-09-13,05,11,6,39,28.584009,21.74566,37.572811,-0.056593,-0.044697
2026-09-13,05,13,6,38,25.689774,18.437308,35.795058,-0.340142,-0.265867
2026-09-13,05,15,6,35,19.78858,12.264106,31.929592,-0.04813,-0.036651
2026-09-13,05,16,6,36,24.173159,17.140551,34.09118,-0.502525,-0.388551
2026-09-13,05,19,6,38,22.517347,14.542233,34.866098,0.218782,0.170018
2026-09-13,05,20,6,39,27.772082,20.867879,36.960562,0.107154,0.084336
2026-09-13,05,21,6,37,23.468362,16.401967,33.579143,0.258733,0.199362
2026-09-13,05,22,6,38,20.638285,12.521381,34.016918,-0.014845,-0.011473
2026-09-13,05,23,6,34,22.100809,15.488785,31.535447,-0.130918,-0.099398
2026-09-13,05,24,6,35,20.801628,13.231711,32.702327,-0.137948,-0.105643
2026-09-13,05,25,6,38,22.456071,14.45347,34.889552,-0.322948,-0.251005
2026-09-13,05,26,5,35,22.272784,15.518627,31.966547,-0.261921,-0.199509
2026-09-13,05,29,6,37,22.134609,14.295151,34.273223,-0.175111,-0.135559
2026-09-13,05,30,5,30,16.650293,10.485354,26.439951,-0.004746,-0.003444
2026-09-13,05,31,6,41,27.294248,19.697792,37.820278,0.006289,0.004974
2026-09-13,05,33,6,38,22.885396,14.968101,34.990503,-0.089302,-0.069453
2026-09-13,05,34,6,40,26.711078,19.120236,37.315527,0.015267,0.01204
2026-09-13,05,35,5,29,17.700669,11.831108,26.482193,0.009005,0.006537
2026-09-13,05,38,6,37,20.63173,12.673257,33.587913,-0.334291,-0.257597
2026-09-13,05,39,6,42,28.173967,20.238184,39.221523,-0.304472,-0.242614
