記録日,場コード,モーター番号,節,節最終日,走行日,日次,走,級別,グレード分類,進入,着順,生得点,セルμ,セルσ,残差z,減衰重み
2026-09-10,01,11,0,2026-09-09,2026-09-05,1,1,B1,全,2,4,40,47.3023,32.649,-0.22366,0.943874
2026-09-10,01,11,0,2026-09-09,2026-09-06,2,1,B1,全,1,4,40,69.0722,33.55,-0.866534,0.954842
2026-09-10,01,11,0,2026-09-09,2026-09-06,2,2,B1,全,5,6,0,35.5454,30.3443,-1.171403,0.954842
2026-09-10,01,11,0,2026-09-09,2026-09-07,3,1,B1,全,3,5,20,44.8844,33.1011,-0.751768,0.965936
2026-09-10,01,11,0,2026-09-09,2026-09-08,4,1,B1,全,4,5,20,40.1546,32.4666,-0.620779,0.97716
2026-09-10,01,11,0,2026-09-09,2026-09-08,4,2,B1,全,6,6,0,25.4878,26.038,-0.978868,0.97716
2026-09-10,01,11,1,2026-08-30,2026-08-25,1,2,A1,SG_G1,6,4,40,28.7248,27.8849,0.404346,0.831238
2026-09-10,01,11,1,2026-08-30,2026-08-26,2,1,A1,SG_G1,5,1,100,41.2371,29.4015,1.998635,0.840896
2026-09-10,01,11,1,2026-08-30,2026-08-26,2,2,A1,SG_G1,2,5,20,51.0175,35.5115,-0.87345,0.840896
2026-09-10,01,11,1,2026-08-30,2026-08-27,3,1,A1,SG_G1,3,2,80,50.5882,33.9346,0.866719,0.850667
2026-09-10,01,11,1,2026-08-30,2026-08-28,4,2,A1,SG_G1,1,1,100,85.9864,25.7053,0.545164,0.860551
2026-09-10,01,11,1,2026-08-30,2026-08-29,5,2,A1,SG_G1,3,4,40,50.5882,33.9346,-0.312019,0.870551
2026-09-10,01,11,2,2026-08-16,2026-08-11,1,2,B2,全,6,5,25,13.3058,26.8526,0.435498,0.707107
2026-09-10,01,11,2,2026-08-16,2026-08-12,2,2,B2,全,3,5,25,44.5157,42.1575,-0.462922,0.715323
2026-09-10,01,11,2,2026-08-16,2026-08-13,3,1,B2,全,6,6,0,13.3058,26.8526,-0.495512,0.723635
2026-09-10,01,11,2,2026-08-16,2026-08-13,3,2,B2,全,4,5,25,32.9307,36.8305,-0.215329,0.723635
2026-09-10,01,11,2,2026-08-16,2026-08-14,4,1,B2,全,1,6,0,78.8462,47.1923,-1.670743,0.732043
2026-09-10,01,11,2,2026-08-16,2026-08-15,5,1,B2,全,3,2,100,44.5157,42.1575,1.316119,0.740549
2026-09-10,01,11,2,2026-08-16,2026-08-15,5,2,B2,全,5,2,100,29.4168,36.6185,1.92753,0.740549
2026-09-10,01,11,3,2026-08-05,2026-07-31,1,1,A2,G2_G3_一般,5,3,45,34.5433,22.6506,0.461653,0.622725
2026-09-10,01,11,3,2026-08-05,2026-07-31,1,2,A2,G2_G3_一般,2,3,45,45.2365,24.0869,-0.009818,0.622725
2026-09-10,01,11,3,2026-08-05,2026-08-01,2,1,A2,G2_G3_一般,1,1,75,61.5588,20.9192,0.642532,0.629961
2026-09-10,01,11,3,2026-08-05,2026-08-01,2,2,A2,G2_G3_一般,3,2,60,44.1992,24.3526,0.648833,0.629961
2026-09-10,01,11,3,2026-08-05,2026-08-02,3,2,A2,G2_G3_一般,5,1,75,34.5433,22.6506,1.78612,0.63728
2026-09-10,01,11,3,2026-08-05,2026-08-03,4,1,A2,G2_G3_一般,6,6,0,26.6004,21.6651,-1.2278,0.644685
2026-09-10,01,11,3,2026-08-05,2026-08-03,4,2,A2,G2_G3_一般,3,5,15,44.1992,24.3526,-1.199016,0.644685
2026-09-10,01,11,3,2026-08-05,2026-08-04,5,2,A2,G2_G3_一般,5,4,30,34.5433,22.6506,-0.200581,0.652176
2026-09-10,01,11,4,2026-07-27,2026-07-23,1,1,A2,G2_G3_一般,4,3,45,39.7433,23.99,0.219121,0.567752
