記録日,場コード,モーター番号,節,節最終日,走行日,日次,走,級別,グレード分類,進入,着順,生得点,セルμ,セルσ,残差z,減衰重み
2026-09-07,01,11,0,2026-09-06,2026-09-05,1,1,B1,全,2,4,40,47.1243,32.7054,-0.217832,0.97716
2026-09-07,01,11,1,2026-08-30,2026-08-25,1,2,A1,SG_G1,6,4,40,29.4656,27.4991,0.383079,0.860551
2026-09-07,01,11,1,2026-08-30,2026-08-26,2,1,A1,SG_G1,5,1,100,42.4806,29.8324,1.928086,0.870551
2026-09-07,01,11,1,2026-08-30,2026-08-26,2,2,A1,SG_G1,2,5,20,51.0843,35.7483,-0.869533,0.870551
2026-09-07,01,11,1,2026-08-30,2026-08-27,3,1,A1,SG_G1,3,2,80,49.2969,34.1798,0.898284,0.880666
2026-09-07,01,11,1,2026-08-30,2026-08-28,4,2,A1,SG_G1,1,1,100,84.7471,26.7725,0.569724,0.890899
2026-09-07,01,11,1,2026-08-30,2026-08-29,5,2,A1,SG_G1,3,4,40,49.2969,34.1798,-0.271999,0.90125
2026-09-07,01,11,2,2026-08-16,2026-08-11,1,2,B2,全,6,5,25,13.2179,26.7184,0.440974,0.732043
2026-09-07,01,11,2,2026-08-16,2026-08-12,2,2,B2,全,3,5,25,44.7708,41.7587,-0.473453,0.740549
2026-09-07,01,11,2,2026-08-16,2026-08-13,3,1,B2,全,6,6,0,13.2179,26.7184,-0.494712,0.749154
2026-09-07,01,11,2,2026-08-16,2026-08-13,3,2,B2,全,4,5,25,33.5443,37.1846,-0.229781,0.749154
2026-09-07,01,11,2,2026-08-16,2026-08-14,4,1,B2,全,1,6,0,80.7851,45.2564,-1.785053,0.757858
2026-09-07,01,11,2,2026-08-16,2026-08-15,5,1,B2,全,3,2,100,44.7708,41.7587,1.322581,0.766664
2026-09-07,01,11,2,2026-08-16,2026-08-15,5,2,B2,全,5,2,100,29.5962,36.4814,1.929853,0.766664
2026-09-07,01,11,3,2026-08-05,2026-07-31,1,1,A2,G2_G3_一般,5,3,45,34.3341,22.6501,0.470896,0.644685
2026-09-07,01,11,3,2026-08-05,2026-07-31,1,2,A2,G2_G3_一般,2,3,45,45.0067,24.095,-0.000279,0.644685
2026-09-07,01,11,3,2026-08-05,2026-08-01,2,1,A2,G2_G3_一般,1,1,75,61.6962,20.7269,0.641862,0.652176
2026-09-07,01,11,3,2026-08-05,2026-08-01,2,2,A2,G2_G3_一般,3,2,60,44.2507,24.1564,0.651974,0.652176
2026-09-07,01,11,3,2026-08-05,2026-08-02,3,2,A2,G2_G3_一般,5,1,75,34.3341,22.6501,1.795391,0.659754
2026-09-07,01,11,3,2026-08-05,2026-08-03,4,1,A2,G2_G3_一般,6,6,0,26.7276,21.7296,-1.230006,0.66742
2026-09-07,01,11,3,2026-08-05,2026-08-03,4,2,A2,G2_G3_一般,3,5,15,44.2507,24.1564,-1.210887,0.66742
2026-09-07,01,11,3,2026-08-05,2026-08-04,5,2,A2,G2_G3_一般,5,4,30,34.3341,22.6501,-0.191351,0.675175
2026-09-07,01,11,4,2026-07-27,2026-07-23,1,1,A2,G2_G3_一般,4,3,45,39.5267,24.0835,0.227265,0.587774
2026-09-07,01,11,4,2026-07-27,2026-07-23,1,2,A2,G2_G3_一般,1,1,75,61.6962,20.7269,0.641862,0.587774
2026-09-07,01,11,4,2026-07-27,2026-07-24,2,1,A2,G2_G3_一般,2,1,75,45.0067,24.095,1.244792,0.594604
2026-09-07,01,11,4,2026-07-27,2026-07-24,2,2,A2,G2_G3_一般,3,1,75,44.2507,24.1564,1.272928,0.594604
2026-09-07,01,11,4,2026-07-27,2026-07-25,3,1,A2,G2_G3_一般,6,5,15,26.7276,21.7296,-0.539704,0.601513
2026-09-07,01,11,4,2026-07-27,2026-07-25,3,2,A2,G2_G3_一般,5,3,45,34.3341,22.6501,0.470896,0.601513
2026-09-07,01,11,4,2026-07-27,2026-07-26,4,1,A2,G2_G3_一般,6,4,30,26.7276,21.7296,0.150598,0.608502
2026-09-07,01,11,4,2026-07-27,2026-07-26,4,2,A2,G2_G3_一般,2,5,15,45.0067,24.095,-1.245349,0.608502
2026-09-07,01,11,5,2026-07-19,2026-07-14,1,1,A1,G2_G3_一般,5,2,40,27.4342,16.9926,0.739486,0.529732
2026-09-07,01,11,5,2026-07-19,2026-07-14,1,2,A1,G2_G3_一般,1,1,50,44.3785,12.6854,0.443146,0.529732
2026-09-07,01,11,5,2026-07-19,2026-07-15,2,1,A1,G2_G3_一般,6,2,40,21.4218,16.7891,1.106562,0.535887
2026-09-07,01,11,5,2026-07-19,2026-07-15,2,2,A1,G2_G3_一般,3,1,50,32.0749,17.2809,1.037277,0.535887
2026-09-07,01,11,5,2026-07-19,2026-07-16,3,2,A1,G2_G3_一般,3,1,50,32.0749,17.2809,1.037277,0.542113
2026-09-07,01,11,5,2026-07-19,2026-07-17,4,1,A1,G2_G3_一般,2,2,40,33.561,15.9083,0.404756,0.548412
2026-09-07,01,11,5,2026-07-19,2026-07-18,5,1,A1,G2_G3_一般,6,3,30,21.4218,16.7891,0.510937,0.554785
2026-09-07,01,11,5,2026-07-19,2026-07-18,5,2,A1,G2_G3_一般,1,1,50,44.3785,12.6854,0.443146,0.554785
2026-09-07,01,12,0,2026-09-06,2026-09-05,1,2,A1,G2_G3_一般,3,3,30,32.0749,17.2809,-0.120069,0.97716
2026-09-07,01,12,1,2026-08-30,2026-08-25,1,2,A1,SG_G1,4,5,20,45.1587,31.4777,-0.799255,0.860551
2026-09-07,01,12,1,2026-08-30,2026-08-26,2,1,A1,SG_G1,5,6,0,42.4806,29.8324,-1.423977,0.870551
2026-09-07,01,12,1,2026-08-30,2026-08-27,3,1,A1,SG_G1,5,4,40,42.4806,29.8324,-0.083152,0.880666
2026-09-07,01,12,1,2026-08-30,2026-08-27,3,2,A1,SG_G1,2,6,0,51.0843,35.7483,-1.429001,0.880666
2026-09-07,01,12,1,2026-08-30,2026-08-28,4,2,A1,SG_G1,3,6,0,49.2969,34.1798,-1.442283,0.890899
2026-09-07,01,12,1,2026-08-30,2026-08-29,5,1,A1,SG_G1,1,5,20,84.7471,26.7725,-2.418421,0.90125
2026-09-07,01,12,1,2026-08-30,2026-08-29,5,2,A1,SG_G1,6,6,0,29.4656,27.4991,-1.071511,0.90125
2026-09-07,01,12,2,2026-08-16,2026-08-11,1,1,B1,全,1,1,100,69.1914,33.5063,0.919488,0.732043
2026-09-07,01,12,2,2026-08-16,2026-08-11,1,2,B1,全,5,5,20,35.6033,30.3062,-0.514854,0.732043
2026-09-07,01,12,2,2026-08-16,2026-08-12,2,2,B1,全,6,6,0,25.343,26.0518,-0.972791,0.740549
2026-09-07,01,12,2,2026-08-16,2026-08-13,3,2,B1,全,4,4,40,40.2021,32.4782,-0.006224,0.749154
2026-09-07,01,12,2,2026-08-16,2026-08-14,4,1,B1,全,3,3,60,44.7943,32.9603,0.461333,0.757858
2026-09-07,01,12,2,2026-08-16,2026-08-14,4,2,B1,全,2,2,80,47.1243,32.7054,1.005207,0.757858
2026-09-07,01,12,2,2026-08-16,2026-08-15,5,1,B1,全,5,4,40,35.6033,30.3062,0.145076,0.766664
2026-09-07,01,12,2,2026-08-16,2026-08-15,5,2,B1,全,4,1,100,40.2021,32.4782,1.841169,0.766664
2026-09-07,01,12,3,2026-08-05,2026-07-31,1,1,B1,全,5,3,60,35.6033,30.3062,0.805007,0.644685
2026-09-07,01,12,3,2026-08-05,2026-07-31,1,2,B1,全,3,3,60,44.7943,32.9603,0.461333,0.644685
2026-09-07,01,12,3,2026-08-05,2026-08-01,2,2,B1,全,6,3,60,25.343,26.0518,1.330309,0.652176
2026-09-07,01,12,3,2026-08-05,2026-08-02,3,1,B1,全,2,2,80,47.1243,32.7054,1.005207,0.659754
2026-09-07,01,12,3,2026-08-05,2026-08-02,3,2,B1,全,4,4,40,40.2021,32.4782,-0.006224,0.659754
2026-09-07,01,12,3,2026-08-05,2026-08-03,4,1,B1,全,1,2,80,69.1914,33.5063,0.322586,0.66742
2026-09-07,01,12,3,2026-08-05,2026-08-04,5,1,B1,全,3,3,60,44.7943,32.9603,0.461333,0.675175
2026-09-07,01,12,3,2026-08-05,2026-08-04,5,2,B1,全,4,2,80,40.2021,32.4782,1.225371,0.675175
2026-09-07,01,12,4,2026-07-19,2026-07-14,1,2,B1,全,3,3,60,44.7943,32.9603,0.461333,0.529732
2026-09-07,01,12,4,2026-07-19,2026-07-15,2,1,B1,全,1,4,40,69.1914,33.5063,-0.87122,0.535887
2026-09-07,01,12,4,2026-07-19,2026-07-15,2,2,B1,全,2,6,0,47.1243,32.7054,-1.440872,0.535887
2026-09-07,01,12,4,2026-07-19,2026-07-16,3,1,B1,全,2,3,60,47.1243,32.7054,0.393687,0.542113
2026-09-07,01,12,4,2026-07-19,2026-07-17,4,1,B1,全,2,3,60,47.1243,32.7054,0.393687,0.548412
2026-09-07,01,12,4,2026-07-19,2026-07-17,4,2,B1,全,2,5,20,47.1243,32.7054,-0.829352,0.548412
2026-09-07,01,12,4,2026-07-19,2026-07-18,5,2,B1,全,2,3,60,47.1243,32.7054,0.393687,0.554785
2026-09-07,01,12,5,2026-06-30,2026-06-25,1,1,B1,全,1,2,80,69.1914,33.5063,0.322586,0.425334
2026-09-07,01,12,5,2026-06-30,2026-06-26,2,1,B1,全,2,4,40,47.1243,32.7054,-0.217832,0.430276
2026-09-07,01,12,5,2026-06-30,2026-06-26,2,2,B1,全,6,6,0,25.343,26.0518,-0.972791,0.430276
2026-09-07,01,12,5,2026-06-30,2026-06-27,3,1,B1,全,3,6,0,44.7943,32.9603,-1.359037,0.435275
2026-09-07,01,12,5,2026-06-30,2026-06-28,4,1,B1,全,6,3,60,25.343,26.0518,1.330309,0.440333
2026-09-07,01,12,5,2026-06-30,2026-06-28,4,2,B1,全,4,5,20,40.2021,32.4782,-0.622022,0.440333
2026-09-07,01,12,5,2026-06-30,2026-06-29,5,1,B1,全,4,3,60,40.2021,32.4782,0.609573,0.445449
2026-09-07,01,13,0,2026-09-06,2026-09-05,1,1,A1,G2_G3_一般,2,2,40,33.561,15.9083,0.404756,0.97716
2026-09-07,01,13,0,2026-09-06,2026-09-05,1,2,A1,G2_G3_一般,6,5,10,21.4218,16.7891,-0.680313,0.97716
2026-09-07,01,13,1,2026-08-30,2026-08-25,1,1,A1,SG_G1,5,5,20,42.4806,29.8324,-0.753565,0.860551
2026-09-07,01,13,1,2026-08-30,2026-08-25,1,2,A1,SG_G1,4,5,20,45.1587,31.4777,-0.799255,0.860551
2026-09-07,01,13,1,2026-08-30,2026-08-26,2,1,A1,SG_G1,1,1,100,84.7471,26.7725,0.569724,0.870551
2026-09-07,01,13,1,2026-08-30,2026-08-27,3,1,A1,SG_G1,3,4,40,49.2969,34.1798,-0.271999,0.880666
2026-09-07,01,13,1,2026-08-30,2026-08-28,4,1,A1,SG_G1,2,3,60,51.0843,35.7483,0.249401,0.890899
2026-09-07,01,13,1,2026-08-30,2026-08-28,4,2,A1,SG_G1,6,6,0,29.4656,27.4991,-1.071511,0.890899
2026-09-07,01,13,1,2026-08-30,2026-08-29,5,1,A1,SG_G1,6,3,60,29.4656,27.4991,1.110375,0.90125
2026-09-07,01,13,2,2026-08-16,2026-08-11,1,1,B1,全,4,4,40,40.2021,32.4782,-0.006224,0.732043
2026-09-07,01,13,2,2026-08-16,2026-08-11,1,2,B1,全,2,6,0,47.1243,32.7054,-1.440872,0.732043
2026-09-07,01,13,2,2026-08-16,2026-08-12,2,1,B1,全,3,6,0,44.7943,32.9603,-1.359037,0.740549
