レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609080101,2026-09-08,01,01R,daily,0.8201,0.008346,0.002594,0.001387,0.000360,0.000339,0.001089,0.180020,0.075881,0.055600,0.048488,0.005159,0.036854,0.017879,0.072886,0.014631,0.134244,0.030486,0.017646,0.010427,0.003243,0.015352,0.023787,0.016297,0.005466,0.014296,0.002990,0.001623,0.001468,0.001499,0.003162,0.179944,0.016556
202609080101,2026-09-08,01,01R,realtime,0.7785,0.001873,0.001739,0.000958,0.000316,0.000367,0.001056,0.162179,0.080800,0.023054,0.037651,0.003437,0.041253,0.014068,0.080436,0.012881,0.163847,0.022657,0.015480,0.009629,0.004663,0.022662,0.026923,0.017149,0.004084,0.013593,0.002143,0.000992,0.001151,0.001003,0.002244,0.221478,0.008233
202609080102,2026-09-08,01,02R,daily,0.5962,0.004766,0.002102,0.000633,0.000264,0.000227,0.001026,0.072639,0.046457,0.081137,0.007864,0.004338,0.042096,0.040031,0.024843,0.009502,0.135836,0.017782,0.018847,0.001796,0.001571,0.014595,0.021570,0.009823,0.011150,0.003800,0.001608,0.002059,0.001653,0.001712,0.001322,0.403820,0.013130
202609080102,2026-09-08,01,02R,realtime,0.5298,0.001894,0.001485,0.000522,0.000210,0.000233,0.000739,0.064243,0.036711,0.045544,0.002396,0.003036,0.040361,0.029274,0.013850,0.005607,0.166128,0.014191,0.023670,0.001052,0.001718,0.016914,0.025090,0.011135,0.007120,0.002419,0.001014,0.001604,0.001212,0.001342,0.000841,0.470234,0.008210
202609080103,2026-09-08,01,03R,daily,0.6698,0.006420,0.002053,0.001039,0.000304,0.000315,0.001545,0.056459,0.071675,0.082005,0.026049,0.006498,0.091273,0.029795,0.047428,0.014348,0.090429,0.031024,0.022243,0.005682,0.004234,0.014085,0.010795,0.017181,0.006507,0.006656,0.003978,0.001511,0.001915,0.001728,0.003363,0.330184,0.011278
202609080103,2026-09-08,01,03R,realtime,0.5253,0.002196,0.001127,0.000817,0.000232,0.000332,0.001361,0.023248,0.066379,0.041691,0.018451,0.005536,0.096032,0.019805,0.047071,0.011001,0.071194,0.018530,0.018100,0.003822,0.005461,0.017487,0.012254,0.018054,0.005454,0.004006,0.004025,0.001096,0.001314,0.001152,0.001907,0.474727,0.006135
202609080104,2026-09-08,01,04R,daily,0.7206,0.003849,0.002360,0.001020,0.000300,0.000185,0.000882,0.163885,0.040950,0.044435,0.007999,0.031252,0.022104,0.014142,0.009514,0.033072,0.198620,0.018351,0.007871,0.001504,0.005684,0.014619,0.046163,0.009213,0.002552,0.002665,0.005757,0.001119,0.001876,0.001024,0.002350,0.279376,0.025311
202609080104,2026-09-08,01,04R,realtime,0.8339,0.005573,0.007405,0.001069,0.000236,0.000356,0.000480,0.190564,0.022802,0.059990,0.062296,0.000944,0.015509,0.013423,0.100238,0.003001,0.186910,0.019672,0.014100,0.007283,0.001362,0.018201,0.034648,0.008853,0.004892,0.017149,0.000501,0.001838,0.001918,0.001173,0.003537,0.166096,0.027980
202609080105,2026-09-08,01,05R,daily,0.7129,0.007244,0.003790,0.000913,0.000409,0.000361,0.001696,0.049199,0.046831,0.087591,0.043757,0.017102,0.022421,0.028535,0.161617,0.030368,0.077243,0.012854,0.011667,0.011317,0.011488,0.013674,0.010090,0.010551,0.006497,0.020634,0.006865,0.001474,0.000820,0.001255,0.002349,0.287108,0.012280
202609080105,2026-09-08,01,05R,realtime,0.4703,0.026081,0.008131,0.001042,0.000207,0.000267,0.001213,0.006100,0.037845,0.022085,0.031601,0.048517,0.037174,0.017466,0.046887,0.078427,0.010745,0.011922,0.003477,0.004052,0.010672,0.022637,0.001951,0.008832,0.001552,0.002119,0.004017,0.001081,0.001355,0.001690,0.002094,0.529739,0.019022
