レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609140201,2026-09-14,02,01R,daily,0.8819,0.003294,0.000854,0.001166,0.000272,0.000254,0.000573,0.233009,0.118900,0.081085,0.035308,0.007687,0.029170,0.029647,0.042490,0.005596,0.124626,0.018873,0.029542,0.011208,0.001535,0.006447,0.039513,0.018495,0.009517,0.021442,0.001991,0.001869,0.001636,0.001220,0.001958,0.118062,0.002761
202609140201,2026-09-14,02,01R,realtime,0.8502,0.001062,0.000620,0.000970,0.000246,0.000292,0.000408,0.211840,0.107981,0.101630,0.020928,0.006042,0.029391,0.028783,0.030398,0.003570,0.150299,0.013075,0.025142,0.011507,0.001702,0.009623,0.040914,0.017641,0.009924,0.015446,0.002172,0.001599,0.001573,0.001340,0.002646,0.149840,0.001397
202609140202,2026-09-14,02,02R,daily,0.6937,0.002491,0.001215,0.000635,0.000304,0.000216,0.000594,0.101818,0.071191,0.073936,0.025546,0.009142,0.020133,0.035961,0.062212,0.007877,0.152954,0.012083,0.018648,0.005800,0.002614,0.014620,0.034080,0.007723,0.007372,0.008259,0.002142,0.002338,0.001539,0.002565,0.001767,0.306325,0.005902
202609140202,2026-09-14,02,02R,realtime,0.6302,0.001729,0.000993,0.000374,0.000343,0.000215,0.000579,0.102044,0.049675,0.118318,0.014263,0.006395,0.017090,0.040402,0.045815,0.008278,0.122951,0.006452,0.014743,0.005659,0.002119,0.013790,0.019151,0.005533,0.011352,0.007089,0.003041,0.003356,0.001258,0.002968,0.001862,0.369776,0.002388
202609140203,2026-09-14,02,03R,daily,0.7844,0.003736,0.000901,0.001115,0.000343,0.000284,0.000595,0.071414,0.165019,0.046669,0.055087,0.005856,0.071505,0.021059,0.092536,0.007875,0.082146,0.034433,0.021161,0.011788,0.002586,0.011747,0.016636,0.022217,0.005881,0.014617,0.003236,0.003849,0.001240,0.001240,0.001916,0.215584,0.005730
202609140203,2026-09-14,02,03R,realtime,0.7913,0.001106,0.000408,0.000639,0.000330,0.000258,0.000361,0.089776,0.156052,0.029588,0.078520,0.005138,0.073625,0.014890,0.091230,0.009685,0.075931,0.044167,0.009512,0.020713,0.001633,0.012495,0.019464,0.018774,0.004633,0.017621,0.003988,0.003195,0.001214,0.001143,0.001569,0.208672,0.003672
202609140204,2026-09-14,02,04R,daily,0.8095,0.003741,0.000722,0.001029,0.000303,0.000312,0.000934,0.074554,0.177624,0.097474,0.026876,0.004869,0.098546,0.027975,0.060324,0.004863,0.049607,0.039451,0.047310,0.010385,0.003495,0.012254,0.012956,0.019516,0.010580,0.009191,0.001967,0.002607,0.002675,0.000978,0.001816,0.190527,0.004541
202609140204,2026-09-14,02,04R,realtime,0.8088,0.001061,0.000520,0.000816,0.000346,0.000311,0.000587,0.108246,0.175799,0.099341,0.023073,0.004156,0.092967,0.026547,0.052557,0.004524,0.050663,0.040778,0.033482,0.011276,0.002342,0.015041,0.013033,0.018255,0.009877,0.011843,0.001896,0.002334,0.002344,0.000890,0.001933,0.191209,0.001954
202609140205,2026-09-14,02,05R,daily,0.5084,0.001020,0.000474,0.000302,0.000211,0.000150,0.000577,0.017298,0.068252,0.122804,0.010335,0.005819,0.033389,0.065820,0.016967,0.005283,0.047659,0.008774,0.030456,0.002228,0.002223,0.015128,0.009254,0.011520,0.020097,0.002964,0.002313,0.002189,0.000815,0.001018,0.000983,0.491592,0.002084
202609140205,2026-09-14,02,05R,realtime,0.4800,0.000869,0.000207,0.000229,0.000260,0.000181,0.000641,0.020667,0.076997,0.086341,0.008473,0.006826,0.034393,0.065831,0.017522,0.007463,0.046157,0.009716,0.022603,0.002384,0.001614,0.018396,0.010325,0.008382,0.020301,0.003326,0.002973,0.002367,0.001035,0.001177,0.000835,0.519974,0.001530
202609140206,2026-09-14,02,06R,daily,0.8832,0.002655,0.001947,0.000793,0.000203,0.000194,0.000590,0.077431,0.293103,0.044242,0.009553,0.007365,0.136092,0.023198,0.019205,0.009069,0.049446,0.061985,0.066721,0.003430,0.003268,0.006143,0.009509,0.029900,0.006311,0.004647,0.004213,0.001049,0.002087,0.001125,0.001539,0.116756,0.006231
202609140206,2026-09-14,02,06R,realtime,0.8868,0.001204,0.000453,0.000416,0.000177,0.000187,0.000463,0.047225,0.366129,0.043448,0.004231,0.004569,0.154432,0.025428,0.012070,0.008328,0.037484,0.049428,0.057089,0.003501,0.001955,0.004717,0.006106,0.036403,0.005778,0.003225,0.004642,0.000884,0.001801,0.000982,0.001068,0.113178,0.002998
202609140207,2026-09-14,02,07R,daily,0.6345,0.003093,0.000996,0.000525,0.000246,0.000182,0.000808,0.086501,0.074803,0.066704,0.014759,0.005414,0.045689,0.033055,0.031507,0.007519,0.116736,0.016890,0.042176,0.004278,0.001495,0.028662,0.013653,0.012821,0.004101,0.005553,0.003281,0.001843,0.002848,0.003054,0.002622,0.365506,0.002681
202609140207,2026-09-14,02,07R,realtime,0.6196,0.005422,0.001840,0.001222,0.000236,0.000271,0.000537,0.104477,0.085942,0.048786,0.011391,0.004980,0.037879,0.042671,0.017454,0.006146,0.112158,0.015886,0.034130,0.004773,0.000621,0.022834,0.009963,0.014953,0.007887,0.006290,0.001183,0.002129,0.003091,0.004200,0.003432,0.380371,0.006846
202609140208,2026-09-14,02,08R,daily,0.8141,0.003313,0.000852,0.001198,0.000298,0.000321,0.000955,0.228942,0.074148,0.054025,0.032296,0.009797,0.022770,0.023542,0.037130,0.012613,0.158920,0.018005,0.014978,0.015053,0.003373,0.013093,0.036156,0.012183,0.004865,0.020111,0.003856,0.002225,0.001415,0.001119,0.002645,0.185918,0.003884
202609140208,2026-09-14,02,08R,realtime,0.7930,0.001043,0.000634,0.000826,0.000290,0.000334,0.000693,0.238675,0.076637,0.039163,0.028416,0.006883,0.023903,0.029700,0.040977,0.010172,0.149627,0.013944,0.011092,0.015859,0.003595,0.016346,0.042042,0.009046,0.005531,0.013138,0.005139,0.001834,0.001523,0.001150,0.001867,0.206979,0.002941
202609140209,2026-09-14,02,09R,daily,0.8042,0.007020,0.001254,0.000748,0.000361,0.000282,0.000964,0.151405,0.072831,0.113238,0.014598,0.007428,0.023537,0.029281,0.035719,0.006679,0.152667,0.012984,0.050250,0.008289,0.003394,0.013475,0.044262,0.012408,0.011888,0.008551,0.003349,0.003307,0.001629,0.002008,0.002547,0.195778,0.007869
202609140209,2026-09-14,02,09R,realtime,0.8273,0.001837,0.001607,0.000401,0.000423,0.000290,0.000909,0.209769,0.067845,0.124637,0.010427,0.005288,0.021438,0.039381,0.031153,0.007085,0.126917,0.011769,0.032896,0.012219,0.002669,0.012761,0.050061,0.011007,0.015715,0.009938,0.004431,0.004192,0.001843,0.001714,0.001568,0.172686,0.005125
202609140210,2026-09-14,02,10R,daily,0.4260,0.001317,0.000739,0.000369,0.000179,0.000134,0.000510,0.017845,0.064427,0.064161,0.010517,0.005532,0.027334,0.038736,0.048914,0.005400,0.053868,0.007299,0.010299,0.004007,0.001346,0.021659,0.009030,0.011372,0.006203,0.004401,0.001545,0.002397,0.001228,0.001932,0.001070,0.574012,0.002218
202609140211,2026-09-14,02,11R,daily,0.4734,0.001381,0.000591,0.000401,0.000218,0.000149,0.000695,0.030618,0.042790,0.109007,0.005454,0.004092,0.016736,0.036214,0.023655,0.004571,0.092123,0.005484,0.029118,0.003065,0.000965,0.018611,0.012329,0.008004,0.012685,0.002702,0.001634,0.002067,0.001494,0.001579,0.000986,0.526609,0.003973
