レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609110201,2026-09-11,02,01R,daily,0.5622,0.002407,0.001057,0.000704,0.000266,0.000206,0.000492,0.045121,0.096265,0.040921,0.025700,0.006171,0.047110,0.017541,0.040177,0.009577,0.114338,0.010598,0.020052,0.004990,0.002838,0.016149,0.011646,0.017641,0.007536,0.007231,0.004276,0.002432,0.001775,0.001387,0.001429,0.437822,0.004144
202609110201,2026-09-11,02,01R,realtime,0.5538,0.001449,0.000571,0.000763,0.000354,0.000217,0.000472,0.064226,0.058892,0.042201,0.031168,0.003680,0.045875,0.013291,0.047722,0.010938,0.124253,0.010383,0.018527,0.005151,0.003201,0.015857,0.011401,0.013019,0.008601,0.008709,0.004695,0.002117,0.001178,0.001183,0.001406,0.446225,0.002275
202609110202,2026-09-11,02,02R,daily,0.6998,0.003941,0.001135,0.000786,0.000256,0.000255,0.000479,0.128785,0.042132,0.057020,0.031863,0.007048,0.014253,0.019165,0.094888,0.011924,0.164484,0.010106,0.015388,0.008831,0.002571,0.021500,0.027271,0.005144,0.003458,0.011644,0.002029,0.002119,0.001518,0.001521,0.001571,0.300215,0.006701
202609110202,2026-09-11,02,02R,realtime,0.6794,0.001494,0.001199,0.000633,0.000271,0.000237,0.000477,0.156905,0.016368,0.048278,0.020258,0.003874,0.010862,0.010117,0.090127,0.008146,0.201282,0.009814,0.013231,0.006885,0.001793,0.020267,0.029366,0.003798,0.002953,0.009896,0.001903,0.001634,0.001108,0.001132,0.002324,0.320566,0.002804
202609110203,2026-09-11,02,03R,daily,0.8359,0.002427,0.001698,0.001086,0.000294,0.000239,0.001144,0.022766,0.314478,0.036521,0.031038,0.019027,0.112943,0.023054,0.049217,0.022357,0.026216,0.028734,0.023352,0.009566,0.009027,0.009605,0.007872,0.042128,0.005929,0.011879,0.012158,0.001275,0.002514,0.000987,0.002796,0.164134,0.003537
202609110203,2026-09-11,02,03R,realtime,0.8062,0.001515,0.000228,0.000888,0.000334,0.000209,0.001036,0.013078,0.367274,0.031201,0.025204,0.007492,0.139133,0.021776,0.030441,0.016805,0.019337,0.019008,0.015700,0.006995,0.007867,0.008096,0.007305,0.033868,0.003556,0.010073,0.010897,0.000785,0.001602,0.000808,0.001877,0.193826,0.001787
202609110204,2026-09-11,02,04R,daily,0.7414,0.003018,0.000674,0.000712,0.000264,0.000248,0.000705,0.124273,0.098919,0.039250,0.027356,0.004536,0.034905,0.013343,0.055704,0.007142,0.183248,0.029394,0.015301,0.006213,0.001452,0.019246,0.032949,0.013289,0.003092,0.007995,0.001740,0.002455,0.000925,0.000980,0.001429,0.258562,0.010677
202609110204,2026-09-11,02,04R,realtime,0.8602,0.006929,0.007679,0.002041,0.000646,0.000349,0.001060,0.228697,0.044637,0.095797,0.029257,0.016230,0.016292,0.039975,0.032224,0.019777,0.132769,0.024517,0.027824,0.003763,0.005129,0.011303,0.038142,0.009352,0.005468,0.008327,0.007205,0.003848,0.001812,0.002353,0.005251,0.139824,0.031522
202609110205,2026-09-11,02,05R,daily,0.6605,0.002125,0.001143,0.000400,0.000288,0.000222,0.000850,0.031697,0.055069,0.151557,0.014616,0.010345,0.034174,0.111913,0.035470,0.009228,0.042642,0.011272,0.063467,0.003900,0.003173,0.014838,0.008488,0.014573,0.018795,0.007148,0.003708,0.002086,0.001175,0.001497,0.001931,0.339507,0.002704
202609110205,2026-09-11,02,05R,realtime,0.6367,0.001292,0.000327,0.000262,0.000310,0.000234,0.000750,0.038267,0.035621,0.149938,0.004982,0.003345,0.029260,0.119160,0.021581,0.005292,0.052074,0.007392,0.092446,0.002275,0.002188,0.015152,0.008171,0.013236,0.018609,0.005575,0.002853,0.001286,0.000815,0.001083,0.001594,0.363277,0.001353
202609110206,2026-09-11,02,06R,daily,0.7341,0.004312,0.000729,0.001199,0.000192,0.000229,0.000387,0.143291,0.106573,0.020357,0.050334,0.004499,0.034626,0.007289,0.086717,0.003420,0.135206,0.013733,0.012077,0.011573,0.000911,0.012281,0.032345,0.012052,0.002101,0.022860,0.000749,0.001992,0.002136,0.001097,0.001282,0.265928,0.007522
202609110206,2026-09-11,02,06R,realtime,0.6816,0.002331,0.000973,0.000930,0.000218,0.000195,0.000251,0.165842,0.055940,0.016686,0.059156,0.003333,0.034113,0.004506,0.077854,0.003267,0.122834,0.009385,0.004697,0.016930,0.000552,0.013778,0.036118,0.011497,0.001324,0.027363,0.000730,0.001715,0.002435,0.001004,0.002333,0.318408,0.003304
202609110207,2026-09-11,02,07R,daily,0.2589,0.001144,0.000334,0.000284,0.000123,0.000101,0.000467,0.013606,0.024029,0.054930,0.007061,0.006380,0.011745,0.018535,0.015158,0.005020,0.042054,0.002495,0.006925,0.002596,0.001165,0.023864,0.005777,0.003114,0.002853,0.003565,0.000911,0.001220,0.001365,0.000942,0.000640,0.741076,0.000523
202609110207,2026-09-11,02,07R,realtime,0.2123,0.003383,0.001319,0.000904,0.000180,0.000105,0.000417,0.013041,0.012842,0.027516,0.008737,0.019054,0.008381,0.018725,0.014271,0.007726,0.027134,0.001840,0.002596,0.001584,0.001512,0.022935,0.003208,0.002462,0.001530,0.001903,0.001492,0.001059,0.002075,0.001135,0.001375,0.787701,0.001859
202609110208,2026-09-11,02,08R,daily,0.7093,0.001156,0.001064,0.000666,0.000234,0.000146,0.000524,0.036896,0.243059,0.038918,0.010738,0.009901,0.101255,0.026134,0.015284,0.008438,0.080847,0.031649,0.016109,0.002244,0.002093,0.009846,0.011267,0.036366,0.004371,0.002484,0.004480,0.002728,0.001090,0.001223,0.001709,0.290701,0.006382
202609110208,2026-09-11,02,08R,realtime,0.7862,0.004329,0.002048,0.000945,0.000454,0.000259,0.000586,0.014812,0.086847,0.180666,0.007228,0.015093,0.038498,0.220653,0.020753,0.017021,0.020566,0.009583,0.055480,0.002197,0.003815,0.009190,0.004518,0.024217,0.021369,0.004078,0.003945,0.002158,0.001080,0.003421,0.004845,0.213753,0.005594
202609110209,2026-09-11,02,09R,daily,0.4569,0.002280,0.001055,0.000503,0.000259,0.000140,0.000679,0.038555,0.044850,0.064593,0.007600,0.020622,0.019979,0.025994,0.020288,0.017426,0.102899,0.005876,0.016261,0.003169,0.004238,0.015974,0.013983,0.005483,0.005713,0.002685,0.006460,0.002191,0.001291,0.001491,0.001134,0.543116,0.003212
202609110209,2026-09-11,02,09R,realtime,0.6215,0.006185,0.003423,0.001484,0.000394,0.000229,0.000762,0.063667,0.030259,0.047080,0.031872,0.097385,0.016667,0.011413,0.050461,0.059379,0.105019,0.007424,0.004308,0.006844,0.004038,0.019418,0.009988,0.006829,0.003242,0.004956,0.008427,0.003648,0.002008,0.002494,0.003106,0.378548,0.009043
202609110210,2026-09-11,02,10R,daily,0.6680,0.004442,0.000719,0.000686,0.000242,0.000260,0.001047,0.090354,0.060701,0.052299,0.038452,0.007241,0.021530,0.023387,0.102492,0.016348,0.130194,0.007226,0.012337,0.025022,0.002652,0.013753,0.023977,0.004221,0.006938,0.009125,0.002664,0.003204,0.001209,0.001515,0.001270,0.332015,0.002478
202609110210,2026-09-11,02,10R,realtime,0.6175,0.001039,0.000656,0.000848,0.000298,0.000252,0.000913,0.059965,0.038006,0.092645,0.039418,0.011942,0.020907,0.017146,0.090362,0.018225,0.117907,0.005662,0.007112,0.027495,0.002046,0.010068,0.019947,0.003560,0.008147,0.008057,0.003368,0.004879,0.001777,0.001080,0.001809,0.382460,0.002001
202609110211,2026-09-11,02,11R,daily,0.3904,0.001396,0.001091,0.000449,0.000236,0.000164,0.000889,0.013382,0.066492,0.057417,0.011173,0.011566,0.023340,0.035692,0.023162,0.010165,0.046023,0.005511,0.011516,0.002690,0.002629,0.020077,0.012517,0.009732,0.004337,0.005301,0.003093,0.002174,0.001932,0.001634,0.001870,0.609611,0.002737
202609110211,2026-09-11,02,11R,realtime,0.2342,0.001098,0.000281,0.000260,0.000187,0.000120,0.000492,0.007006,0.038724,0.029111,0.003551,0.006583,0.019004,0.027066,0.011261,0.007844,0.026662,0.002466,0.006657,0.001299,0.002115,0.018352,0.006766,0.005838,0.002757,0.002446,0.001651,0.000983,0.000881,0.000863,0.000995,0.765806,0.000878
