レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609070101,2026-09-07,01,01R,daily,0.7040,0.005838,0.004788,0.001317,0.000412,0.000280,0.001543,0.041801,0.080441,0.107533,0.018651,0.030891,0.061247,0.054505,0.031730,0.056153,0.047191,0.025985,0.019552,0.004975,0.020456,0.019847,0.008874,0.013397,0.007741,0.007870,0.017946,0.001135,0.001993,0.001644,0.002985,0.296005,0.005276
202609070102,2026-09-07,01,02R,daily,0.6636,0.006494,0.002947,0.000766,0.000413,0.000321,0.002003,0.022764,0.029723,0.082824,0.051962,0.016749,0.022609,0.037729,0.160793,0.065057,0.042756,0.006698,0.008279,0.011631,0.013334,0.014953,0.006339,0.006819,0.008811,0.019886,0.009376,0.001313,0.001555,0.001621,0.001989,0.336406,0.005080
202609070103,2026-09-07,01,03R,daily,0.7714,0.005736,0.003612,0.000888,0.000399,0.000307,0.001568,0.054054,0.070701,0.145456,0.018324,0.019896,0.042589,0.073410,0.046757,0.073147,0.059417,0.024041,0.029486,0.006787,0.010013,0.011446,0.010110,0.012398,0.020587,0.006898,0.010026,0.001395,0.002420,0.001702,0.001858,0.228636,0.005935
202609070104,2026-09-07,01,04R,daily,0.8388,0.006206,0.002637,0.000940,0.000436,0.000325,0.001524,0.101613,0.059869,0.188955,0.021919,0.012000,0.031142,0.071670,0.049841,0.033524,0.076547,0.028753,0.050172,0.006376,0.007246,0.010920,0.013715,0.009323,0.025754,0.005924,0.006773,0.001432,0.001913,0.001288,0.002294,0.161178,0.007792
202609070105,2026-09-07,01,05R,daily,0.6070,0.003894,0.001790,0.000638,0.000300,0.000289,0.001097,0.023140,0.030482,0.136162,0.041350,0.005346,0.024381,0.072080,0.098584,0.013780,0.041485,0.008341,0.023188,0.006949,0.004559,0.014710,0.005669,0.006563,0.018495,0.010075,0.003083,0.001310,0.001266,0.001518,0.002212,0.392955,0.004310
202609070106,2026-09-07,01,06R,daily,0.3633,0.003057,0.001033,0.000364,0.000162,0.000173,0.000478,0.030059,0.023241,0.049948,0.027139,0.002839,0.022575,0.018324,0.040512,0.005270,0.054294,0.006089,0.009421,0.004005,0.001185,0.034728,0.007074,0.003509,0.005676,0.004273,0.000629,0.001184,0.000830,0.000967,0.000763,0.636728,0.003470
202609070107,2026-09-07,01,07R,daily,0.4988,0.002548,0.001780,0.000623,0.000166,0.000173,0.000859,0.009918,0.101162,0.032976,0.014468,0.003923,0.143832,0.028444,0.025963,0.006797,0.024950,0.023925,0.011793,0.002583,0.002864,0.017988,0.002791,0.018741,0.004180,0.005053,0.002108,0.000865,0.001610,0.001023,0.001455,0.501168,0.003271
202609070108,2026-09-07,01,08R,daily,0.5901,0.005169,0.001534,0.000623,0.000301,0.000276,0.001502,0.026206,0.022204,0.113657,0.045000,0.007411,0.022039,0.048362,0.142805,0.018767,0.030936,0.007136,0.012085,0.012936,0.003829,0.019747,0.004935,0.004658,0.011479,0.015557,0.002480,0.001100,0.001475,0.001502,0.001298,0.409896,0.003097
202609070109,2026-09-07,01,09R,daily,0.6261,0.006602,0.001711,0.001234,0.000268,0.000310,0.001462,0.041929,0.081513,0.062224,0.030473,0.002956,0.082040,0.025860,0.062857,0.011176,0.074066,0.026796,0.012938,0.007529,0.003756,0.019582,0.011265,0.020170,0.005777,0.009859,0.002686,0.001732,0.002092,0.001425,0.002951,0.373898,0.010862
202609070110,2026-09-07,01,10R,daily,0.5407,0.003920,0.001214,0.001145,0.000285,0.000238,0.001079,0.072821,0.050645,0.041800,0.017702,0.010546,0.042894,0.016703,0.023036,0.015540,0.120206,0.023299,0.006004,0.004124,0.002971,0.019592,0.018887,0.012415,0.003052,0.003146,0.003007,0.002510,0.001903,0.001052,0.002966,0.459312,0.015984
