レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609050703,2026-09-05,07,03R,daily,0.6094,0.002153,0.002760,0.000797,0.000369,0.000171,0.000535,0.102309,0.064323,0.040856,0.005693,0.012599,0.071944,0.030333,0.022568,0.011328,0.100090,0.026659,0.016368,0.001780,0.001878,0.012903,0.020186,0.021533,0.008977,0.004116,0.002147,0.001193,0.003614,0.001887,0.001474,0.390570,0.015890
202609050703,2026-09-05,07,03R,realtime,0.6054,0.002968,0.001447,0.000695,0.000492,0.000207,0.000800,0.100660,0.057986,0.038729,0.003234,0.009311,0.088113,0.024671,0.018635,0.016011,0.108779,0.023051,0.012080,0.001627,0.001504,0.014004,0.019044,0.025095,0.008258,0.007192,0.002911,0.002004,0.003839,0.002972,0.001574,0.394571,0.007536
202609050704,2026-09-05,07,04R,daily,0.6325,0.001369,0.004240,0.000471,0.000407,0.000170,0.000593,0.035862,0.017331,0.104781,0.013480,0.069141,0.010652,0.056731,0.064075,0.107157,0.036596,0.003129,0.008791,0.005995,0.013404,0.017814,0.011845,0.006368,0.013420,0.007329,0.010621,0.000631,0.001136,0.002314,0.001572,0.367518,0.005058
202609050704,2026-09-05,07,04R,realtime,0.5332,0.001638,0.000779,0.000250,0.000387,0.000197,0.000855,0.021580,0.016117,0.074176,0.003813,0.036673,0.011249,0.044947,0.043224,0.146334,0.032187,0.002118,0.009651,0.004638,0.016781,0.019142,0.008454,0.004889,0.011744,0.006346,0.008009,0.000542,0.000576,0.001704,0.001244,0.466780,0.002976
202609050705,2026-09-05,07,05R,daily,0.5924,0.003612,0.001546,0.001128,0.000338,0.000144,0.000339,0.155282,0.024633,0.041056,0.006920,0.016450,0.024345,0.012038,0.013998,0.014861,0.185255,0.011940,0.006329,0.002310,0.002488,0.009915,0.024304,0.006006,0.003268,0.003368,0.002862,0.002598,0.001889,0.001209,0.001828,0.407647,0.010096
202609050706,2026-09-05,07,06R,daily,0.5848,0.003001,0.001239,0.000892,0.000380,0.000181,0.000410,0.105306,0.017664,0.028280,0.023653,0.027123,0.013605,0.009581,0.053704,0.037641,0.166197,0.007718,0.004731,0.003779,0.002834,0.012523,0.026357,0.004887,0.002029,0.007309,0.002742,0.001527,0.001831,0.001124,0.001922,0.415216,0.014614
202609050706,2026-09-05,07,06R,realtime,0.5505,0.001544,0.001096,0.000472,0.000401,0.000186,0.000427,0.110125,0.013787,0.023954,0.011821,0.017624,0.011012,0.009625,0.050611,0.037009,0.172257,0.004402,0.004759,0.003207,0.003049,0.014199,0.029313,0.004631,0.002632,0.006594,0.002624,0.001240,0.001309,0.000879,0.001497,0.449540,0.008175
202609050707,2026-09-05,07,07R,daily,0.4865,0.001832,0.001935,0.000686,0.000219,0.000132,0.000552,0.030367,0.058806,0.035094,0.003480,0.006587,0.166256,0.026101,0.011059,0.008480,0.028870,0.026385,0.018879,0.001594,0.001849,0.013180,0.004740,0.018659,0.005202,0.002497,0.001789,0.001284,0.002050,0.001294,0.001380,0.513499,0.005262
202609050708,2026-09-05,07,08R,daily,0.5003,0.002808,0.002694,0.000443,0.000332,0.000142,0.000453,0.021473,0.027533,0.129468,0.004412,0.030988,0.026617,0.053425,0.015567,0.030895,0.042665,0.007626,0.030275,0.002389,0.005182,0.013565,0.009564,0.009762,0.012224,0.002843,0.004859,0.001348,0.002632,0.002399,0.001832,0.499739,0.003847
202609050709,2026-09-05,07,09R,daily,0.3479,0.001920,0.001410,0.000583,0.000260,0.000151,0.000656,0.018277,0.021613,0.060300,0.008316,0.022104,0.032581,0.020912,0.023900,0.041795,0.025483,0.006265,0.006290,0.005354,0.004977,0.013730,0.003588,0.007959,0.003646,0.004437,0.003854,0.001155,0.001821,0.001004,0.001317,0.652063,0.002279
202609050710,2026-09-05,07,10R,daily,0.1654,0.001018,0.000656,0.000223,0.000109,0.000066,0.000329,0.003598,0.015086,0.018016,0.003845,0.004359,0.039488,0.007507,0.011626,0.008221,0.010522,0.003929,0.003278,0.001391,0.000984,0.015296,0.001161,0.006201,0.001163,0.001775,0.001010,0.000623,0.000998,0.000790,0.000632,0.834618,0.001479
202609050711,2026-09-05,07,11R,daily,0.3496,0.001145,0.000502,0.000124,0.000151,0.000085,0.000694,0.006014,0.006212,0.151034,0.003809,0.002292,0.009295,0.065064,0.035468,0.005019,0.014604,0.001520,0.012003,0.001920,0.001083,0.010992,0.002738,0.001883,0.008279,0.003183,0.000431,0.000784,0.000687,0.000890,0.000531,0.650423,0.001141
202609050712,2026-09-05,07,12R,daily,0.2891,0.002943,0.000809,0.000498,0.000227,0.000124,0.000384,0.012730,0.025945,0.034952,0.007593,0.012462,0.038249,0.014215,0.033972,0.008835,0.028341,0.007534,0.007375,0.002762,0.002345,0.015180,0.003378,0.008937,0.003683,0.004985,0.001538,0.001778,0.001424,0.000831,0.001025,0.710852,0.004093
202609050901,2026-09-05,09,01R,daily,0.5170,0.003812,0.000669,0.000593,0.000253,0.000223,0.000683,0.039272,0.037645,0.038683,0.015438,0.004905,0.057706,0.018625,0.057585,0.010738,0.101574,0.019317,0.028197,0.007270,0.002512,0.023690,0.012960,0.007413,0.004697,0.006744,0.001950,0.002526,0.003806,0.001359,0.001273,0.483006,0.004879
202609050901,2026-09-05,09,01R,realtime,0.4524,0.001852,0.000372,0.000338,0.000231,0.000232,0.000536,0.032277,0.042453,0.023551,0.017909,0.003232,0.061728,0.017799,0.056880,0.010737,0.080890,0.011281,0.021292,0.007297,0.002903,0.022042,0.009612,0.005897,0.004640,0.005483,0.001795,0.002053,0.002816,0.000967,0.000888,0.547596,0.002420
202609050902,2026-09-05,09,02R,daily,0.4241,0.003069,0.000670,0.000449,0.000215,0.000179,0.000745,0.011492,0.035261,0.029315,0.009416,0.003598,0.081320,0.022238,0.039752,0.008117,0.071560,0.013402,0.022301,0.004125,0.002382,0.022865,0.007341,0.010134,0.003764,0.005430,0.001945,0.003278,0.003118,0.001847,0.001506,0.575875,0.003291
202609050902,2026-09-05,09,02R,realtime,0.3785,0.001753,0.000193,0.000316,0.000167,0.000191,0.000601,0.009534,0.033946,0.013935,0.003113,0.001872,0.088052,0.015138,0.026478,0.005882,0.078453,0.012334,0.023123,0.002998,0.002224,0.024199,0.007241,0.010579,0.002918,0.004472,0.001179,0.001625,0.002208,0.001071,0.000983,0.621502,0.001717
202609050903,2026-09-05,09,03R,daily,0.4820,0.003239,0.000588,0.000471,0.000237,0.000204,0.000773,0.026890,0.033522,0.033298,0.010150,0.004257,0.053349,0.019147,0.048260,0.009419,0.123002,0.013318,0.024688,0.004957,0.002035,0.020609,0.015045,0.007266,0.005126,0.005398,0.001800,0.003038,0.003128,0.001504,0.001189,0.517980,0.006112
202609050903,2026-09-05,09,03R,realtime,0.4688,0.001714,0.000331,0.000352,0.000222,0.000235,0.000664,0.028590,0.031954,0.022165,0.006004,0.001882,0.066073,0.016376,0.039948,0.007479,0.134029,0.012119,0.023047,0.004679,0.002504,0.021817,0.017696,0.006315,0.004416,0.005324,0.001713,0.002884,0.003046,0.001106,0.000831,0.531239,0.003249
202609050904,2026-09-05,09,04R,daily,0.4052,0.003287,0.000707,0.000459,0.000197,0.000177,0.000680,0.017926,0.024912,0.032289,0.006596,0.002745,0.046841,0.017480,0.038497,0.012777,0.092432,0.010579,0.022249,0.003918,0.002481,0.027445,0.010158,0.006178,0.004603,0.004413,0.002023,0.002919,0.003464,0.001687,0.001113,0.594797,0.003969
202609050904,2026-09-05,09,04R,realtime,0.5519,0.018068,0.002344,0.001249,0.000339,0.000330,0.001086,0.032531,0.025947,0.035251,0.011025,0.003219,0.073614,0.031457,0.065223,0.011506,0.100448,0.016736,0.015878,0.004394,0.002937,0.023535,0.010577,0.011817,0.003637,0.014731,0.001606,0.004181,0.008093,0.003712,0.002407,0.448054,0.014066
202609050905,2026-09-05,09,05R,daily,0.4713,0.003545,0.000635,0.000564,0.000213,0.000199,0.000778,0.027960,0.042915,0.026581,0.011463,0.004340,0.064928,0.016049,0.048620,0.011121,0.090985,0.020573,0.019719,0.005863,0.002425,0.028892,0.012988,0.006811,0.002499,0.005404,0.001587,0.002818,0.004039,0.001413,0.001395,0.528692,0.003986
202609050905,2026-09-05,09,05R,realtime,0.4249,0.001609,0.000285,0.000422,0.000192,0.000179,0.000538,0.026702,0.025182,0.018186,0.010683,0.001546,0.063679,0.010824,0.058636,0.008337,0.093690,0.016645,0.017680,0.003865,0.001883,0.030709,0.011775,0.005157,0.002064,0.004789,0.001415,0.002077,0.002914,0.000952,0.001057,0.575092,0.001237
202609050906,2026-09-05,09,06R,daily,0.4744,0.004037,0.000672,0.000601,0.000228,0.000184,0.001102,0.026586,0.040150,0.029252,0.007520,0.010304,0.072647,0.029578,0.044004,0.015649,0.089588,0.014011,0.019397,0.005010,0.004305,0.015545,0.010188,0.008660,0.003561,0.005404,0.003626,0.002439,0.002772,0.001580,0.001627,0.525591,0.004180
202609050906,2026-09-05,09,06R,realtime,0.4012,0.001762,0.000328,0.000379,0.000204,0.000190,0.000906,0.026711,0.025342,0.017319,0.005763,0.003183,0.056459,0.021245,0.030458,0.014812,0.102157,0.007961,0.023174,0.003394,0.003689,0.018244,0.010220,0.008115,0.002213,0.006224,0.002306,0.001305,0.001483,0.001337,0.001319,0.598821,0.002976
202609050907,2026-09-05,09,07R,daily,0.3027,0.002214,0.000384,0.000237,0.000170,0.000114,0.000753,0.010539,0.011704,0.044034,0.005584,0.004280,0.019994,0.025648,0.035545,0.008261,0.067608,0.003539,0.009349,0.003301,0.001550,0.019982,0.007419,0.003673,0.003267,0.003542,0.001293,0.002065,0.002272,0.001754,0.000864,0.697332,0.001730
202609050907,2026-09-05,09,07R,realtime,0.2450,0.002015,0.000146,0.000137,0.000138,0.000108,0.000522,0.006802,0.007583,0.030122,0.002847,0.001587,0.020178,0.019428,0.024363,0.007535,0.068112,0.002217,0.007450,0.001886,0.001214,0.019342,0.005280,0.002744,0.002586,0.003353,0.001111,0.001692,0.001923,0.001314,0.000485,0.754984,0.000798
202609050908,2026-09-05,09,08R,daily,0.3746,0.002316,0.000455,0.000431,0.000190,0.000159,0.000656,0.017545,0.019464,0.033530,0.005925,0.001850,0.043329,0.021136,0.026759,0.005021,0.102320,0.008865,0.018404,0.003890,0.002135,0.023225,0.007561,0.005749,0.004730,0.003886,0.001658,0.003408,0.002815,0.001708,0.001310,0.625358,0.004214
202609050908,2026-09-05,09,08R,realtime,0.3041,0.001228,0.000239,0.000272,0.000144,0.000167,0.000459,0.009626,0.014518,0.025895,0.003546,0.000792,0.039999,0.020184,0.020825,0.004184,0.081392,0.004826,0.014301,0.002766,0.002176,0.025558,0.007135,0.004974,0.004582,0.003572,0.001306,0.003156,0.002450,0.001151,0.000671,0.695948,0.001958
202609050909,2026-09-05,09,09R,daily,0.2984,0.002638,0.000358,0.000350,0.000169,0.000133,0.000632,0.010180,0.013731,0.031987,0.005804,0.003575,0.028985,0.017052,0.026777,0.007487,0.071625,0.004601,0.012179,0.004105,0.001929,0.022672,0.007589,0.004626,0.003987,0.003486,0.001846,0.002844,0.002485,0.001377,0.001013,0.701622,0.002157
202609050909,2026-09-05,09,09R,realtime,0.3095,0.002638,0.000211,0.000260,0.000160,0.000156,0.000535,0.008803,0.009354,0.046743,0.002949,0.001940,0.028840,0.013138,0.023278,0.006467,0.083344,0.004700,0.010782,0.002991,0.001466,0.024928,0.009755,0.004633,0.004708,0.004250,0.002284,0.003831,0.002978,0.001349,0.000763,0.690545,0.001221
202609050910,2026-09-05,09,10R,daily,0.3810,0.002840,0.000594,0.000420,0.000193,0.000175,0.000794,0.012831,0.030188,0.034956,0.007672,0.002070,0.052930,0.028112,0.049005,0.005713,0.056723,0.008745,0.012408,0.006578,0.002128,0.024771,0.007375,0.008638,0.004495,0.006802,0.001314,0.003184,0.002938,0.002279,0.001236,0.619018,0.002875
202609050910,2026-09-05,09,10R,realtime,0.3129,0.001914,0.000183,0.000327,0.000157,0.000202,0.000671,0.009963,0.019903,0.028325,0.004673,0.004859,0.044738,0.022334,0.033169,0.009489,0.048240,0.004587,0.006487,0.005885,0.001951,0.029381,0.006587,0.007132,0.004949,0.005652,0.000991,0.003220,0.003207,0.001954,0.000876,0.687059,0.000933
202609050911,2026-09-05,09,11R,daily,0.3576,0.002230,0.000485,0.000500,0.000177,0.000169,0.000569,0.015752,0.028486,0.018589,0.007000,0.002916,0.053716,0.014331,0.025245,0.006902,0.089041,0.010384,0.011693,0.004295,0.002034,0.023655,0.008942,0.007967,0.003008,0.004313,0.001804,0.003004,0.002464,0.001583,0.001340,0.642378,0.005027
202609050911,2026-09-05,09,11R,realtime,0.3325,0.001398,0.000238,0.000396,0.000146,0.000191,0.000494,0.008344,0.035341,0.018783,0.003012,0.001263,0.064107,0.016891,0.017932,0.004966,0.074638,0.006753,0.009989,0.003515,0.002332,0.025476,0.009049,0.008716,0.003129,0.004351,0.001509,0.002821,0.002358,0.001257,0.000808,0.667499,0.002299
202609050912,2026-09-05,09,12R,daily,0.4032,0.003351,0.000596,0.000453,0.000205,0.000175,0.000756,0.016936,0.024801,0.038685,0.009328,0.002206,0.038969,0.022682,0.047302,0.006309,0.083901,0.008442,0.019330,0.006905,0.002473,0.027210,0.010246,0.007074,0.004128,0.005891,0.001742,0.003147,0.002160,0.002130,0.001637,0.596796,0.004035
202609050912,2026-09-05,09,12R,realtime,0.3880,0.001700,0.000291,0.000290,0.000190,0.000198,0.000615,0.019563,0.020905,0.027042,0.006131,0.001059,0.038902,0.017589,0.044913,0.006330,0.097344,0.007334,0.018785,0.005659,0.002751,0.033063,0.011888,0.005397,0.003995,0.005686,0.001614,0.002404,0.001622,0.001630,0.001060,0.611991,0.002061
202609051001,2026-09-05,10,01R,daily,0.1824,0.000632,0.000381,0.000113,0.000101,0.000068,0.000174,0.004656,0.010712,0.010757,0.001674,0.002562,0.017486,0.011796,0.004129,0.001422,0.066360,0.002806,0.007690,0.001053,0.000972,0.021294,0.001731,0.002495,0.004713,0.000726,0.000875,0.001510,0.000508,0.001201,0.000385,0.817614,0.001402
202609051001,2026-09-05,10,01R,realtime,0.1704,0.001029,0.000251,0.000086,0.000103,0.000069,0.000153,0.003789,0.008115,0.010965,0.000967,0.000946,0.015466,0.012160,0.005364,0.001094,0.062652,0.002357,0.008725,0.000956,0.000655,0.018665,0.001542,0.002005,0.004634,0.000796,0.000925,0.001553,0.000781,0.001335,0.000256,0.829591,0.002015
202609051002,2026-09-05,10,02R,daily,0.4501,0.003716,0.001096,0.000379,0.000283,0.000164,0.000496,0.030063,0.029411,0.024392,0.007278,0.004615,0.033565,0.029230,0.035770,0.003687,0.151146,0.009201,0.012792,0.003625,0.002850,0.020816,0.011009,0.007349,0.005759,0.006531,0.001838,0.002404,0.001256,0.002446,0.000966,0.549858,0.006008
202609051002,2026-09-05,10,02R,realtime,0.4508,0.002368,0.000749,0.000238,0.000258,0.000171,0.000425,0.022031,0.039814,0.013165,0.004752,0.002871,0.036025,0.024949,0.030585,0.002332,0.175316,0.007163,0.016117,0.002970,0.002926,0.019633,0.011183,0.008617,0.005048,0.005858,0.001952,0.001913,0.001200,0.002056,0.000579,0.549222,0.007515
202609051003,2026-09-05,10,03R,daily,0.5377,0.003904,0.001400,0.000398,0.000210,0.000171,0.000646,0.014094,0.086496,0.027704,0.006437,0.003555,0.134548,0.036528,0.024754,0.005200,0.057730,0.028913,0.019386,0.005843,0.003212,0.022268,0.004351,0.026951,0.004879,0.005312,0.001916,0.002009,0.001653,0.003075,0.001482,0.462265,0.002708
202609051003,2026-09-05,10,03R,realtime,0.5733,0.002889,0.000460,0.000590,0.000216,0.000194,0.000595,0.014081,0.095954,0.029608,0.003717,0.002596,0.150644,0.028695,0.036317,0.003529,0.063496,0.033760,0.019534,0.004623,0.003384,0.023421,0.005463,0.026939,0.004797,0.004572,0.002639,0.001645,0.001236,0.004219,0.001370,0.426738,0.002076
202609051004,2026-09-05,10,04R,daily,0.4770,0.003799,0.001005,0.000507,0.000227,0.000168,0.000444,0.008887,0.075683,0.012718,0.010994,0.004868,0.130728,0.013528,0.025134,0.007700,0.054271,0.022849,0.012603,0.005282,0.005639,0.031128,0.004206,0.021260,0.003003,0.005484,0.004321,0.002020,0.001458,0.001806,0.001283,0.522976,0.004019
202609051004,2026-09-05,10,04R,realtime,0.5099,0.003660,0.000266,0.000384,0.000202,0.000198,0.000476,0.008057,0.068723,0.009355,0.027693,0.002089,0.138270,0.008079,0.030062,0.008635,0.070308,0.030560,0.008213,0.006931,0.005636,0.031956,0.004532,0.020244,0.002738,0.006643,0.006319,0.002703,0.001626,0.002043,0.000693,0.490137,0.002569
202609051005,2026-09-05,10,05R,daily,0.7276,0.004784,0.001399,0.000537,0.000468,0.000229,0.001136,0.062299,0.048429,0.097876,0.004983,0.014243,0.031478,0.084453,0.023527,0.019312,0.162277,0.014893,0.042326,0.006046,0.006673,0.017293,0.018126,0.010612,0.027934,0.003914,0.008168,0.002483,0.002158,0.002658,0.001516,0.272417,0.005351
202609051005,2026-09-05,10,05R,realtime,0.8013,0.001949,0.000441,0.000242,0.000273,0.000260,0.001013,0.043459,0.026089,0.239369,0.001433,0.011999,0.018207,0.065866,0.010540,0.017561,0.184684,0.015828,0.056411,0.005786,0.006689,0.013488,0.018596,0.007910,0.029539,0.001893,0.009643,0.003346,0.002529,0.002867,0.000732,0.198682,0.002675
202609051006,2026-09-05,10,06R,daily,0.6679,0.003608,0.002199,0.000487,0.000316,0.000210,0.000472,0.011566,0.083464,0.096223,0.007272,0.003968,0.059234,0.126693,0.033950,0.006924,0.044109,0.018302,0.056732,0.008919,0.011313,0.022638,0.005315,0.019962,0.018547,0.008587,0.006854,0.002810,0.001310,0.002481,0.001642,0.332071,0.001824
202609051006,2026-09-05,10,06R,realtime,0.6909,0.002855,0.000233,0.000259,0.000229,0.000305,0.000475,0.006192,0.139679,0.035184,0.006409,0.004105,0.081820,0.107676,0.028620,0.006176,0.055320,0.024952,0.069280,0.007323,0.013165,0.032128,0.006370,0.019262,0.016028,0.009268,0.008892,0.002265,0.001585,0.002875,0.000661,0.309105,0.001301
202609051007,2026-09-05,10,07R,daily,0.6194,0.004263,0.001082,0.000480,0.000317,0.000221,0.000494,0.049639,0.052164,0.033321,0.010677,0.003575,0.036767,0.032201,0.029103,0.004091,0.220139,0.021780,0.029496,0.004905,0.002111,0.020253,0.018365,0.009938,0.010388,0.004598,0.002050,0.002889,0.001121,0.002320,0.001514,0.380597,0.009141
202609051007,2026-09-05,10,07R,realtime,0.7192,0.001466,0.000697,0.000228,0.000271,0.000276,0.000504,0.069937,0.063279,0.034165,0.010980,0.002460,0.033360,0.033127,0.035666,0.003493,0.259260,0.024584,0.049681,0.007807,0.002717,0.019002,0.024526,0.006912,0.014492,0.004288,0.002735,0.002718,0.001351,0.002281,0.000951,0.280779,0.006010
202609051008,2026-09-05,10,08R,daily,0.6975,0.006523,0.003208,0.000708,0.000529,0.000302,0.001276,0.018768,0.074522,0.064378,0.016487,0.025604,0.046432,0.076945,0.066326,0.048748,0.053748,0.016513,0.025458,0.015908,0.024759,0.017782,0.009018,0.019788,0.010906,0.019329,0.018616,0.002088,0.002029,0.004090,0.002888,0.302482,0.003842
202609051008,2026-09-05,10,08R,realtime,0.6706,0.003801,0.000417,0.000381,0.000381,0.000341,0.001147,0.009748,0.071115,0.086313,0.005225,0.025067,0.046669,0.090028,0.051186,0.051201,0.047920,0.010274,0.023845,0.010709,0.032232,0.018448,0.007760,0.018444,0.011201,0.012912,0.022266,0.001989,0.001817,0.004581,0.001394,0.329390,0.001798
202609051009,2026-09-05,10,09R,daily,0.6961,0.003960,0.000951,0.000697,0.000278,0.000266,0.000376,0.058495,0.090210,0.025991,0.022546,0.001965,0.064642,0.025177,0.053597,0.002069,0.155619,0.029312,0.021842,0.011487,0.001573,0.024166,0.026324,0.026695,0.007547,0.015258,0.000800,0.003584,0.000921,0.002036,0.001499,0.303869,0.016248
202609051009,2026-09-05,10,09R,realtime,0.7302,0.002241,0.000380,0.000278,0.000164,0.000278,0.000231,0.021423,0.163164,0.023661,0.017059,0.000546,0.087081,0.023882,0.068919,0.001200,0.132249,0.028417,0.020860,0.016815,0.001591,0.028147,0.021046,0.033018,0.005676,0.017966,0.000674,0.002750,0.001449,0.002096,0.001478,0.269758,0.005503
202609051010,2026-09-05,10,10R,daily,0.5750,0.003647,0.000736,0.000543,0.000278,0.000226,0.000605,0.044376,0.038844,0.020172,0.013447,0.005124,0.024811,0.019140,0.037150,0.006043,0.236073,0.015345,0.009629,0.006690,0.002530,0.023053,0.026850,0.009320,0.003970,0.005977,0.001984,0.002507,0.001016,0.001386,0.001774,0.424982,0.011773
