レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609120201,2026-09-12,02,01R,daily,0.5363,0.002173,0.001300,0.000500,0.000185,0.000177,0.000600,0.061157,0.083424,0.056209,0.025265,0.005686,0.040473,0.027543,0.054019,0.007134,0.064335,0.008104,0.017665,0.006916,0.001070,0.022923,0.011921,0.013694,0.006071,0.007725,0.001241,0.001375,0.001970,0.002050,0.001137,0.463721,0.002238
202609120201,2026-09-12,02,01R,realtime,0.4148,0.002076,0.000513,0.000434,0.000202,0.000143,0.000378,0.039194,0.036887,0.059683,0.028758,0.002987,0.036797,0.018359,0.053352,0.008592,0.045366,0.005414,0.014668,0.005004,0.000824,0.021536,0.007432,0.008167,0.004001,0.006342,0.001233,0.000993,0.001323,0.001722,0.001365,0.585235,0.001020
202609120202,2026-09-12,02,02R,daily,0.8313,0.001450,0.000767,0.000888,0.000195,0.000124,0.000413,0.224148,0.123157,0.017190,0.007853,0.006077,0.033764,0.007574,0.010826,0.004781,0.271082,0.022797,0.009663,0.001948,0.001003,0.007965,0.044709,0.010965,0.002268,0.002676,0.001870,0.001844,0.001361,0.000789,0.001119,0.168717,0.010017
202609120202,2026-09-12,02,02R,realtime,0.8763,0.002721,0.001312,0.001458,0.000311,0.000196,0.000630,0.022926,0.300893,0.050934,0.005675,0.004008,0.160949,0.069027,0.007157,0.006584,0.025074,0.034116,0.074729,0.001075,0.002149,0.008478,0.004112,0.064460,0.007603,0.003429,0.001931,0.001041,0.001933,0.001825,0.002887,0.123739,0.006639
202609120203,2026-09-12,02,03R,daily,0.6540,0.002379,0.000711,0.000321,0.000318,0.000174,0.000898,0.040996,0.021872,0.275963,0.009892,0.012262,0.007611,0.059762,0.024383,0.009251,0.066532,0.003822,0.038974,0.004647,0.002597,0.013400,0.009555,0.006309,0.024962,0.004954,0.004223,0.002179,0.001363,0.001370,0.001211,0.345952,0.001154
202609120203,2026-09-12,02,03R,realtime,0.7764,0.000976,0.000356,0.000216,0.000330,0.000162,0.000657,0.048510,0.011205,0.425350,0.002869,0.005130,0.005576,0.071273,0.013853,0.006466,0.063276,0.003029,0.053778,0.003081,0.002018,0.008608,0.009258,0.003255,0.025282,0.003411,0.003333,0.001426,0.001085,0.000899,0.000850,0.223568,0.000913
202609120204,2026-09-12,02,04R,daily,0.8068,0.002359,0.000944,0.001265,0.000291,0.000293,0.000564,0.214762,0.077701,0.054708,0.020577,0.003307,0.026846,0.021782,0.036431,0.005673,0.196921,0.017459,0.025713,0.006817,0.002831,0.008384,0.030999,0.007403,0.009276,0.014635,0.002165,0.003084,0.001700,0.001106,0.001391,0.193236,0.009376
202609120204,2026-09-12,02,04R,realtime,0.8330,0.000507,0.000772,0.000886,0.000362,0.000281,0.000353,0.278361,0.041971,0.065125,0.018019,0.003247,0.020302,0.023635,0.032133,0.004775,0.213733,0.012114,0.025896,0.006058,0.002195,0.006789,0.032254,0.006571,0.009702,0.012245,0.001791,0.003236,0.001764,0.000937,0.001498,0.166963,0.005526
202609120205,2026-09-12,02,05R,daily,0.6921,0.001161,0.000821,0.000226,0.000205,0.000135,0.000924,0.023144,0.089179,0.205456,0.005698,0.017872,0.034746,0.123203,0.020167,0.010129,0.026850,0.008335,0.048583,0.002802,0.003242,0.012416,0.006225,0.011595,0.029089,0.002144,0.002663,0.001076,0.001212,0.001031,0.000720,0.307914,0.001036
202609120205,2026-09-12,02,05R,realtime,0.7127,0.000671,0.000168,0.000207,0.000186,0.000111,0.000613,0.010323,0.085579,0.253571,0.001562,0.007912,0.042612,0.180150,0.012963,0.006104,0.014798,0.003611,0.041332,0.001592,0.002211,0.008796,0.003477,0.007686,0.019986,0.001313,0.001799,0.000670,0.001085,0.000790,0.000569,0.287299,0.000255
202609120206,2026-09-12,02,06R,daily,0.8335,0.005971,0.001428,0.001325,0.000469,0.000247,0.001660,0.162104,0.129765,0.078882,0.016396,0.012690,0.054889,0.019216,0.027265,0.019276,0.117376,0.027698,0.027687,0.004944,0.005762,0.013396,0.025167,0.029703,0.003756,0.009171,0.013855,0.002984,0.004327,0.001978,0.005694,0.166490,0.008428
202609120206,2026-09-12,02,06R,realtime,0.8615,0.002973,0.001690,0.001925,0.000382,0.000308,0.000471,0.124339,0.147188,0.058573,0.076227,0.001167,0.052725,0.025111,0.073209,0.001704,0.091329,0.022180,0.020369,0.011381,0.000599,0.009777,0.023077,0.028445,0.004932,0.056453,0.000417,0.002455,0.002835,0.001654,0.004809,0.138530,0.012768
202609120207,2026-09-12,02,07R,daily,0.3372,0.001163,0.000690,0.000282,0.000166,0.000115,0.000316,0.006876,0.063441,0.038733,0.019039,0.011002,0.032509,0.021413,0.038843,0.011025,0.020580,0.005241,0.009089,0.002456,0.002214,0.023616,0.003422,0.008799,0.004062,0.004782,0.002514,0.001136,0.000968,0.000896,0.000649,0.662811,0.001149
