レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609100101,2026-09-10,01,1R,daily,3-1-2,4-1-5,3-1-4,4-1-2,3-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609100101,2026-09-10,01,1R,realtime,3-1-2,2-1-3,4-1-5,4-1-2,3-1-5,まくり差し,差し,まくり差し,まくり,まくり差し
202609100102,2026-09-10,01,2R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609100102,2026-09-10,01,2R,realtime,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609100103,2026-09-10,01,3R,daily,2-1-3,3-1-2,5-1-2,5-1-3,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609100104,2026-09-10,01,4R,daily,2-1-3,2-1-4,4-1-2,3-1-4,3-1-2,差し,差し,まくり,まくり差し,まくり差し
202609100105,2026-09-10,01,5R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609100106,2026-09-10,01,6R,daily,2-1-3,3-1-2,2-1-4,4-1-2,3-1-4,差し,まくり差し,差し,まくり,まくり差し
202609100107,2026-09-10,01,7R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609100108,2026-09-10,01,8R,daily,3-1-4,3-1-2,3-1-5,4-1-5,5-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609100109,2026-09-10,01,9R,daily,3-1-2,3-1-4,4-1-2,2-1-3,4-1-5,まくり差し,まくり差し,まくり,差し,まくり差し
202609100110,2026-09-10,01,10R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609100111,2026-09-10,01,11R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609100112,2026-09-10,01,12R,daily,3-1-4,3-1-2,5-1-2,4-1-2,2-1-4,まくり差し,まくり差し,まくり差し,まくり,差し
202609100301,2026-09-10,03,1R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-5,差し,まくり差し,差し,差し,まくり差し
202609100301,2026-09-10,03,1R,realtime,5-1-2,2-1-3,5-1-3,3-1-5,3-1-2,まくり差し,差し,まくり差し,まくり差し,まくり差し
202609100302,2026-09-10,03,2R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609100302,2026-09-10,03,2R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,4-1-3,差し,差し,差し,差し,差し
202609100303,2026-09-10,03,3R,daily,2-1-3,3-1-2,5-1-2,2-1-5,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609100303,2026-09-10,03,3R,realtime,5-1-2,5-1-3,2-1-3,3-1-2,5-2-1,まくり差し,まくり差し,差し,まくり差し,まくり差し
202609100304,2026-09-10,03,4R,daily,3-1-4,3-1-2,4-1-2,4-1-5,4-1-3,まくり差し,まくり差し,まくり,まくり差し,差し
202609100304,2026-09-10,03,4R,realtime,4-1-5,4-1-2,4-1-3,3-1-4,4-1-6,まくり差し,まくり,差し,まくり差し,まくり
202609100305,2026-09-10,03,5R,daily,2-1-4,2-1-3,4-1-2,2-1-5,3-1-2,差し,差し,まくり,差し,まくり差し
202609100305,2026-09-10,03,5R,realtime,2-1-3,2-1-4,4-1-2,2-1-5,4-1-5,差し,差し,まくり,差し,まくり差し
202609100306,2026-09-10,03,6R,daily,2-1-3,2-1-4,2-1-5,2-1-6,4-1-2,差し,差し,差し,差し,まくり
202609100306,2026-09-10,03,6R,realtime,2-1-3,2-1-4,4-1-6,6-1-3,4-1-3,差し,差し,まくり,まくり差し,差し
202609100307,2026-09-10,03,7R,daily,5-1-2,5-1-3,5-2-1,5-1-4,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609100307,2026-09-10,03,7R,realtime,5-1-3,3-1-5,5-3-1,5-1-2,3-5-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609100308,2026-09-10,03,8R,daily,2-1-3,3-1-2,2-1-4,2-3-1,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609100308,2026-09-10,03,8R,realtime,3-1-2,3-1-4,2-1-3,3-1-5,2-3-1,まくり差し,まくり差し,差し,まくり差し,差し
202609100309,2026-09-10,03,9R,daily,2-1-3,3-1-2,4-1-2,2-1-4,4-1-5,差し,まくり差し,まくり,差し,まくり差し
202609100309,2026-09-10,03,9R,realtime,4-1-2,4-1-5,4-5-1,4-1-6,4-1-3,まくり,まくり差し,まくり,まくり,差し
202609100310,2026-09-10,03,10R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202609100310,2026-09-10,03,10R,realtime,3-1-2,3-1-4,2-1-3,3-1-5,4-1-3,まくり差し,まくり差し,差し,まくり差し,差し
202609100311,2026-09-10,03,11R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-1-6,差し,差し,差し,まくり差し,差し
202609100311,2026-09-10,03,11R,realtime,2-1-3,2-1-4,3-1-2,2-1-5,5-1-2,差し,差し,まくり差し,差し,まくり差し
202609100312,2026-09-10,03,12R,daily,2-1-3,2-1-4,2-3-1,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202609100401,2026-09-10,04,1R,daily,2-1-4,2-1-3,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202609100401,2026-09-10,04,1R,realtime,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609100402,2026-09-10,04,2R,daily,2-1-4,2-1-3,4-1-2,4-2-1,2-1-5,差し,差し,まくり,まくり,差し
202609100402,2026-09-10,04,2R,realtime,2-1-3,2-1-4,2-1-6,2-3-1,6-1-2,まくり差し,まくり差し,まくり差し,まくり,差し
202609100403,2026-09-10,04,3R,daily,2-1-4,2-1-3,4-1-2,4-2-1,2-4-1,差し,差し,まくり,まくり,差し
202609100403,2026-09-10,04,3R,realtime,2-1-4,2-1-3,4-1-2,2-1-5,2-1-6,差し,差し,まくり,差し,差し
202609100404,2026-09-10,04,4R,daily,3-1-4,3-1-2,4-1-3,2-1-3,3-1-5,まくり差し,まくり差し,差し,差し,まくり差し
202609100404,2026-09-10,04,4R,realtime,3-1-4,4-1-3,4-1-2,3-1-2,2-1-4,まくり差し,差し,まくり,まくり差し,差し
202609100405,2026-09-10,04,5R,daily,2-1-3,2-1-4,2-1-5,5-2-1,5-1-2,差し,差し,差し,まくり差し,まくり差し
202609100405,2026-09-10,04,5R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-5-1,差し,差し,差し,差し,差し
202609100406,2026-09-10,04,6R,daily,3-1-4,3-1-2,4-1-2,2-1-4,2-1-3,まくり差し,まくり差し,まくり,差し,差し
202609100406,2026-09-10,04,6R,realtime,3-1-4,4-1-3,3-1-5,3-1-2,2-1-3,まくり差し,差し,まくり差し,まくり差し,差し
202609100407,2026-09-10,04,7R,daily,2-1-3,2-1-4,2-1-5,3-1-5,3-1-4,差し,差し,差し,まくり差し,まくり差し
202609100407,2026-09-10,04,7R,realtime,2-1-3,2-1-5,2-1-4,2-3-1,5-1-2,差し,差し,差し,差し,まくり差し
202609100408,2026-09-10,04,8R,daily,3-1-4,2-1-3,3-1-2,4-1-3,4-1-2,まくり差し,差し,まくり差し,差し,まくり
202609100408,2026-09-10,04,8R,realtime,2-1-3,2-1-4,3-1-4,4-1-2,3-1-2,差し,差し,まくり差し,まくり,まくり差し
202609100409,2026-09-10,04,9R,daily,2-1-3,3-1-2,3-1-4,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609100409,2026-09-10,04,9R,realtime,2-1-3,3-1-2,3-1-5,3-1-4,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609100410,2026-09-10,04,10R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609100410,2026-09-10,04,10R,realtime,2-1-3,3-1-2,2-3-1,2-1-6,2-1-4,差し,まくり差し,差し,差し,差し
202609100411,2026-09-10,04,11R,daily,2-1-3,3-1-2,3-1-5,2-1-5,2-1-4,差し,まくり差し,まくり差し,差し,差し
202609100412,2026-09-10,04,12R,daily,2-1-4,2-1-3,2-1-5,4-1-2,4-1-5,差し,差し,差し,まくり,まくり差し
202609100501,2026-09-10,05,1R,daily,4-1-2,4-1-5,2-1-4,4-1-3,4-2-1,まくり,まくり差し,差し,差し,まくり
202609100501,2026-09-10,05,1R,realtime,4-1-2,4-1-5,4-2-1,2-1-4,4-1-3,まくり,まくり差し,まくり,差し,差し
202609100502,2026-09-10,05,2R,daily,2-1-3,3-1-4,3-1-2,2-1-4,4-1-3,差し,まくり差し,まくり差し,差し,差し
