レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609110201,2026-09-11,02,1R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609110202,2026-09-11,02,2R,daily,2-1-3,2-1-4,2-1-5,2-3-1,5-1-2,差し,差し,差し,差し,まくり差し
202609110203,2026-09-11,02,3R,daily,3-1-4,3-1-5,3-1-2,3-4-1,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609110204,2026-09-11,02,4R,daily,2-1-3,2-1-4,2-3-1,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202609110205,2026-09-11,02,5R,daily,4-1-2,4-1-5,4-1-3,4-2-1,4-1-6,まくり,まくり差し,差し,まくり,まくり
202609110206,2026-09-11,02,6R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202609110207,2026-09-11,02,7R,daily,2-1-3,2-1-4,4-1-2,3-1-2,4-1-3,差し,差し,まくり,まくり差し,差し
202609110208,2026-09-11,02,8R,daily,3-1-2,3-1-4,3-1-5,3-2-1,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609110209,2026-09-11,02,9R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609110210,2026-09-11,02,10R,daily,2-1-3,2-1-5,5-1-2,2-1-4,5-1-3,差し,差し,まくり差し,差し,まくり差し
202609110211,2026-09-11,02,11R,daily,3-1-2,2-1-3,3-1-4,3-1-5,4-1-3,まくり差し,差し,まくり差し,まくり差し,差し
202609110212,2026-09-11,02,12R,daily,3-1-4,4-1-3,3-4-1,4-3-1,3-1-5,まくり差し,差し,まくり,まくり,まくり差し
202609110301,2026-09-11,03,1R,daily,3-1-2,3-1-4,2-1-3,3-2-1,3-1-5,まくり差し,まくり差し,差し,まくり,まくり差し
