レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609060101,2026-09-06,01,1R,daily,2-1-3,2-1-4,2-1-5,4-1-2,4-1-5,差し,差し,差し,まくり,まくり差し
202609060101,2026-09-06,01,1R,realtime,2-1-3,2-1-4,2-1-5,4-1-2,3-1-2,差し,差し,差し,まくり,まくり差し
202609060102,2026-09-06,01,2R,daily,5-1-2,2-1-3,3-1-5,5-1-4,5-1-3,まくり差し,差し,まくり差し,まくり差し,まくり差し
202609060102,2026-09-06,01,2R,realtime,3-1-5,3-1-4,3-1-2,5-1-3,5-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609060103,2026-09-06,01,3R,daily,3-1-4,3-1-2,3-1-5,4-1-2,4-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609060103,2026-09-06,01,3R,realtime,3-1-4,3-1-5,3-1-2,4-1-2,4-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609060104,2026-09-06,01,4R,daily,2-1-3,2-1-4,3-1-4,4-1-3,3-1-2,差し,差し,まくり差し,差し,まくり差し
202609060104,2026-09-06,01,4R,realtime,2-1-3,2-1-4,4-1-2,3-1-2,2-1-5,差し,差し,まくり,まくり差し,差し
202609060105,2026-09-06,01,5R,daily,4-1-2,4-1-3,4-1-5,3-1-4,3-1-2,まくり,差し,まくり差し,まくり差し,まくり差し
202609060105,2026-09-06,01,5R,realtime,4-1-5,4-1-2,4-1-3,4-5-1,4-1-6,まくり差し,まくり,差し,まくり,まくり
202609060106,2026-09-06,01,6R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609060106,2026-09-06,01,6R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609060107,2026-09-06,01,7R,daily,3-1-2,3-1-4,3-1-5,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609060107,2026-09-06,01,7R,realtime,3-1-4,3-1-2,3-1-5,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609060108,2026-09-06,01,8R,daily,5-1-2,2-1-3,5-1-3,2-1-5,5-1-4,まくり差し,差し,まくり差し,差し,まくり差し
202609060108,2026-09-06,01,8R,realtime,5-1-2,5-1-6,5-1-3,5-1-4,5-6-1,まくり,まくり差し,差し,まくり,まくり
202609060109,2026-09-06,01,9R,daily,3-1-2,3-1-5,3-1-4,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609060109,2026-09-06,01,9R,realtime,6-1-3,3-1-6,6-1-2,3-6-1,6-3-1,差し,まくり,差し,まくり,差し
202609060110,2026-09-06,01,10R,daily,3-1-2,2-1-3,3-1-4,2-1-4,2-3-1,まくり差し,差し,まくり差し,差し,差し
202609060110,2026-09-06,01,10R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し
202609060111,2026-09-06,01,11R,daily,2-1-4,2-1-3,4-1-2,2-1-5,4-2-1,差し,差し,まくり,差し,まくり
202609060111,2026-09-06,01,11R,realtime,2-1-3,2-1-4,2-1-5,4-1-2,4-1-5,差し,差し,差し,まくり,まくり差し
202609060112,2026-09-06,01,12R,daily,2-1-3,3-1-2,2-1-4,3-1-4,2-1-5,差し,まくり差し,差し,まくり差し,差し
202609060201,2026-09-06,02,1R,daily,3-1-4,4-1-2,3-1-2,4-1-3,4-2-1,まくり差し,まくり,まくり差し,差し,まくり
202609060201,2026-09-06,02,1R,realtime,3-1-2,3-1-4,2-1-4,4-1-2,4-2-1,まくり差し,まくり差し,差し,まくり,まくり
202609060202,2026-09-06,02,2R,daily,2-1-3,3-1-2,3-1-5,2-1-4,3-1-4,差し,まくり差し,まくり差し,差し,まくり差し
202609060202,2026-09-06,02,2R,realtime,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609060203,2026-09-06,02,3R,daily,3-1-4,4-1-3,4-1-5,4-1-2,2-1-4,まくり差し,差し,まくり差し,まくり,差し
202609060203,2026-09-06,02,3R,realtime,4-1-3,3-1-4,4-1-5,4-1-2,3-1-5,差し,まくり差し,まくり差し,まくり,まくり差し
202609060204,2026-09-06,02,4R,daily,2-1-4,2-1-3,2-1-5,2-4-1,2-3-1,差し,差し,差し,差し,差し
202609060204,2026-09-06,02,4R,realtime,2-1-4,2-1-5,2-1-3,2-1-6,4-1-2,差し,差し,差し,差し,まくり
202609060205,2026-09-06,02,5R,daily,4-1-3,3-1-4,4-1-5,4-1-2,4-3-1,差し,まくり差し,まくり差し,まくり,まくり
202609060205,2026-09-06,02,5R,realtime,4-1-3,4-1-5,4-3-1,4-1-2,3-1-4,まくり,まくり差し,まくり,差し,差し
202609060206,2026-09-06,02,6R,daily,2-1-3,2-1-4,2-3-1,4-1-2,4-1-3,差し,差し,差し,まくり,差し
