レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609080101,2026-09-08,01,1R,daily,2-1-3,2-1-4,2-1-5,3-1-4,2-3-1,差し,差し,差し,まくり差し,差し
202609080102,2026-09-08,01,2R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609080103,2026-09-08,01,3R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-3-1,まくり差し,差し,まくり差し,まくり差し,差し
202609080104,2026-09-08,01,4R,daily,2-1-3,2-1-4,2-3-1,2-1-5,2-1-6,差し,差し,差し,差し,差し
202609080105,2026-09-08,01,5R,daily,5-1-3,5-1-2,5-1-4,2-1-3,5-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609080106,2026-09-08,01,6R,daily,3-1-4,3-1-2,3-1-5,4-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609080107,2026-09-08,01,7R,daily,3-1-4,2-1-3,3-1-2,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609080108,2026-09-08,01,8R,daily,5-1-3,3-1-5,3-1-2,3-1-4,4-1-5,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609080109,2026-09-08,01,9R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202609080110,2026-09-08,01,10R,daily,2-1-3,5-1-2,2-1-5,2-1-4,5-1-3,差し,まくり差し,差し,差し,まくり差し
202609080111,2026-09-08,01,11R,daily,2-1-3,3-1-2,3-1-4,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609080112,2026-09-08,01,12R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609080301,2026-09-08,03,1R,daily,3-1-4,3-1-2,3-1-5,4-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609080301,2026-09-08,03,1R,realtime,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609080302,2026-09-08,03,2R,daily,2-1-3,2-1-4,2-1-5,2-1-6,5-1-2,差し,差し,差し,差し,まくり差し
202609080302,2026-09-08,03,2R,realtime,2-1-3,2-1-4,2-1-5,5-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609080303,2026-09-08,03,3R,daily,3-1-4,3-1-2,3-1-5,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609080303,2026-09-08,03,3R,realtime,3-1-4,3-1-2,3-1-5,3-1-6,3-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609080304,2026-09-08,03,4R,daily,2-1-3,3-1-4,3-1-2,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609080304,2026-09-08,03,4R,realtime,2-1-3,3-1-4,2-1-4,4-1-3,3-1-5,差し,まくり差し,差し,差し,まくり差し
202609080305,2026-09-08,03,5R,daily,3-1-2,2-1-3,2-3-1,3-1-5,3-2-1,まくり差し,差し,差し,まくり差し,まくり
202609080305,2026-09-08,03,5R,realtime,3-1-2,2-1-3,3-1-5,3-1-4,2-3-1,まくり差し,差し,まくり差し,まくり差し,差し
202609080306,2026-09-08,03,6R,daily,2-1-3,2-1-5,2-1-4,3-1-2,5-1-2,差し,差し,差し,まくり差し,まくり差し
202609080306,2026-09-08,03,6R,realtime,2-1-3,2-1-5,5-1-2,2-1-4,5-1-3,差し,差し,まくり差し,差し,まくり差し
202609080307,2026-09-08,03,7R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609080307,2026-09-08,03,7R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202609080308,2026-09-08,03,8R,daily,4-1-3,4-1-2,4-3-1,4-2-1,4-1-5,差し,まくり,まくり,まくり,まくり差し
202609080309,2026-09-08,03,9R,daily,2-1-3,2-1-4,2-1-5,2-1-6,3-1-2,差し,差し,差し,差し,まくり差し
202609080310,2026-09-08,03,10R,daily,3-1-5,3-1-4,3-1-2,5-1-3,4-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609080311,2026-09-08,03,11R,daily,3-1-4,3-1-2,4-1-3,4-1-2,2-1-3,まくり差し,まくり差し,差し,まくり,差し
202609080312,2026-09-08,03,12R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609080401,2026-09-08,04,1R,daily,2-1-4,2-1-3,2-4-1,4-2-1,4-1-2,差し,差し,差し,まくり,まくり
202609080401,2026-09-08,04,1R,realtime,2-1-4,2-4-1,4-2-1,4-1-2,2-1-6,差し,差し,まくり,まくり差し,差し
202609080402,2026-09-08,04,2R,daily,4-1-2,4-1-5,4-2-1,2-1-4,4-1-3,まくり,まくり差し,まくり,差し,差し
202609080402,2026-09-08,04,2R,realtime,4-1-2,4-1-5,4-1-3,4-1-6,4-2-1,まくり,まくり差し,差し,まくり,まくり
202609080403,2026-09-08,04,3R,daily,4-1-5,4-5-1,4-1-2,4-1-3,4-2-1,まくり差し,まくり,まくり,差し,まくり
202609080403,2026-09-08,04,3R,realtime,4-1-2,4-1-3,4-1-5,4-2-1,4-3-1,まくり,差し,まくり差し,まくり,まくり
202609080404,2026-09-08,04,4R,daily,5-1-2,5-1-3,5-1-4,5-2-1,5-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609080404,2026-09-08,04,4R,realtime,5-1-6,5-1-2,5-1-4,5-1-3,5-6-1,差し,差し,差し,差し,差し
202609080405,2026-09-08,04,5R,daily,5-1-2,5-2-1,2-1-3,2-1-5,2-5-1,まくり差し,まくり差し,差し,差し,差し
202609080405,2026-09-08,04,5R,realtime,5-1-2,2-1-5,5-2-1,2-1-3,2-5-1,まくり差し,差し,まくり差し,差し,差し
202609080406,2026-09-08,04,6R,daily,3-1-2,3-1-4,2-1-3,3-2-1,3-2-4,まくり差し,まくり差し,差し,まくり,まくり
202609080406,2026-09-08,04,6R,realtime,2-1-3,3-1-2,2-1-4,2-3-1,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609080407,2026-09-08,04,7R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609080407,2026-09-08,04,7R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609080408,2026-09-08,04,8R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-1-6,差し,差し,まくり差し,差し,差し
202609080409,2026-09-08,04,9R,daily,3-1-4,3-1-5,3-1-2,3-4-1,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609080410,2026-09-08,04,10R,daily,3-1-4,3-1-2,2-1-3,2-1-4,4-1-2,まくり差し,まくり差し,差し,差し,まくり
202609080411,2026-09-08,04,11R,daily,3-1-4,3-1-2,3-1-5,5-1-2,5-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609080412,2026-09-08,04,12R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609080701,2026-09-08,07,1R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609080702,2026-09-08,07,2R,daily,3-1-4,3-1-2,4-1-2,2-1-3,4-1-3,まくり差し,まくり差し,まくり,差し,差し
202609080703,2026-09-08,07,3R,daily,2-1-3,2-1-4,2-1-5,2-3-1,4-1-5,差し,差し,差し,差し,まくり差し
202609080704,2026-09-08,07,4R,daily,2-1-3,2-1-4,2-1-5,4-1-2,4-1-5,差し,差し,差し,まくり,まくり差し
202609080705,2026-09-08,07,5R,daily,2-1-3,2-1-4,2-1-5,5-1-2,3-1-2,差し,差し,差し,まくり差し,まくり差し
202609080706,2026-09-08,07,6R,daily,6-1-2,2-1-3,2-1-4,3-1-2,2-1-5,まくり差し,差し,差し,まくり差し,差し
202609080707,2026-09-08,07,7R,daily,4-1-2,3-1-2,4-1-5,2-1-3,3-1-4,まくり,まくり差し,まくり差し,差し,まくり差し
