レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609070101,2026-09-07,01,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,4-1-5,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609070102,2026-09-07,01,2R,daily,5-1-2,5-1-4,5-1-3,5-1-6,4-1-5,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609070103,2026-09-07,01,3R,daily,4-1-5,4-1-2,4-1-3,3-1-4,2-1-3,まくり差し,まくり,差し,まくり差し,差し
202609070104,2026-09-07,01,4R,daily,4-1-2,2-1-4,4-2-1,2-1-3,4-1-3,まくり,差し,まくり,差し,差し
202609070105,2026-09-07,01,5R,daily,4-1-2,4-1-5,4-1-3,2-1-4,5-1-2,まくり,まくり差し,差し,差し,まくり差し
202609070106,2026-09-07,01,6R,daily,2-1-3,3-1-2,2-1-4,2-1-5,5-1-2,差し,まくり差し,差し,差し,まくり差し
202609070107,2026-09-07,01,7R,daily,3-1-4,3-1-2,3-1-5,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609070108,2026-09-07,01,8R,daily,5-1-4,5-1-2,4-1-5,5-1-3,4-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609070109,2026-09-07,01,9R,daily,3-1-2,2-1-3,3-1-4,3-1-5,3-2-1,まくり差し,差し,まくり差し,まくり差し,まくり
202609070110,2026-09-07,01,10R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609070111,2026-09-07,01,11R,daily,2-1-3,3-1-2,2-1-4,3-1-4,2-3-1,差し,まくり差し,差し,まくり差し,差し
202609070112,2026-09-07,01,12R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202609070301,2026-09-07,03,1R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-3-1,まくり差し,差し,まくり差し,まくり差し,差し
202609070302,2026-09-07,03,2R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609070303,2026-09-07,03,3R,daily,5-1-4,5-1-2,5-1-3,3-1-5,5-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609070304,2026-09-07,03,4R,daily,5-1-2,2-1-4,2-1-3,4-1-2,5-1-4,まくり差し,差し,差し,まくり,まくり差し
202609070305,2026-09-07,03,5R,daily,2-1-3,3-1-2,3-1-4,2-1-4,4-1-2,差し,まくり差し,まくり差し,差し,まくり
202609070306,2026-09-07,03,6R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609070307,2026-09-07,03,7R,daily,3-1-4,3-1-2,4-1-3,4-1-2,4-1-5,まくり差し,まくり差し,差し,まくり,まくり差し
202609070308,2026-09-07,03,8R,daily,2-1-3,2-1-4,3-1-2,4-1-2,4-2-1,差し,差し,まくり差し,まくり,まくり
202609070309,2026-09-07,03,9R,daily,2-1-3,3-1-2,4-1-2,4-1-3,2-1-4,差し,まくり差し,まくり,差し,差し
202609070310,2026-09-07,03,10R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202609070311,2026-09-07,03,11R,daily,2-1-3,2-1-4,4-1-2,4-2-1,3-1-2,差し,差し,まくり,まくり,まくり差し
202609070312,2026-09-07,03,12R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-1-6,差し,差し,まくり差し,差し,差し
202609070401,2026-09-07,04,1R,daily,2-1-4,2-1-3,2-1-5,2-4-1,4-2-1,差し,差し,差し,差し,まくり
202609070402,2026-09-07,04,2R,daily,2-1-3,3-1-2,2-1-4,3-1-5,2-1-5,差し,まくり差し,差し,まくり差し,差し
202609070403,2026-09-07,04,3R,daily,2-1-3,2-1-4,2-1-5,2-3-1,4-1-2,差し,差し,差し,差し,まくり
202609070404,2026-09-07,04,4R,daily,4-1-2,4-1-3,4-2-1,4-1-5,4-1-6,まくり,差し,まくり,まくり差し,まくり
202609070405,2026-09-07,04,5R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609070406,2026-09-07,04,6R,daily,2-1-3,2-1-4,2-1-6,2-3-1,2-1-5,差し,差し,差し,差し,差し
202609070407,2026-09-07,04,7R,daily,2-1-3,2-1-4,2-3-1,2-1-5,2-1-6,差し,差し,差し,差し,差し
202609070408,2026-09-07,04,8R,daily,4-1-2,4-1-3,4-1-6,4-1-5,4-2-1,まくり,差し,まくり,まくり差し,まくり
202609070409,2026-09-07,04,9R,daily,5-1-2,3-1-5,5-1-3,3-1-2,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609070410,2026-09-07,04,10R,daily,2-1-3,3-1-2,2-1-4,4-1-2,3-1-4,差し,まくり差し,差し,まくり,まくり差し
202609070411,2026-09-07,04,11R,daily,3-1-4,3-1-2,3-1-5,3-1-6,4-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609070412,2026-09-07,04,12R,daily,3-1-4,3-1-2,3-1-5,3-1-6,4-1-5,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609070701,2026-09-07,07,1R,daily,2-1-3,2-1-4,2-3-1,2-3-4,2-3-5,差し,差し,差し,まくり,まくり
202609070702,2026-09-07,07,2R,daily,5-1-2,5-1-3,2-1-3,2-1-5,3-1-5,まくり差し,まくり差し,差し,差し,まくり差し
202609070703,2026-09-07,07,3R,daily,5-1-2,5-1-3,5-1-4,3-1-5,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609070704,2026-09-07,07,4R,daily,4-1-2,4-1-3,4-1-5,3-1-4,2-1-4,まくり,差し,まくり差し,まくり差し,差し
202609070705,2026-09-07,07,5R,daily,3-1-2,3-1-4,3-1-5,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609070706,2026-09-07,07,6R,daily,5-1-2,5-1-4,5-1-3,2-1-5,5-2-1,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609070707,2026-09-07,07,7R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609070708,2026-09-07,07,8R,daily,5-1-2,2-1-3,5-1-3,5-1-4,2-1-5,まくり差し,差し,まくり差し,まくり差し,差し
202609070709,2026-09-07,07,9R,daily,2-1-3,2-1-5,2-1-4,5-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609070710,2026-09-07,07,10R,daily,2-1-3,2-1-4,4-1-2,4-1-5,4-1-3,差し,差し,まくり,まくり差し,差し
202609070711,2026-09-07,07,11R,daily,3-1-4,3-1-2,5-1-2,4-1-2,5-1-4,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609070712,2026-09-07,07,12R,daily,2-1-3,2-1-4,4-1-2,4-1-5,3-1-2,差し,差し,まくり,まくり差し,まくり差し
202609070901,2026-09-07,09,1R,daily,2-1-3,2-1-4,5-1-2,2-1-5,5-1-3,差し,差し,まくり差し,差し,まくり差し
202609070902,2026-09-07,09,2R,daily,5-1-2,3-1-5,5-1-4,3-1-4,4-1-5,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609070903,2026-09-07,09,3R,daily,2-1-4,4-1-2,2-1-3,3-1-4,3-1-2,差し,まくり,差し,まくり差し,まくり差し
202609070904,2026-09-07,09,4R,daily,2-1-4,4-1-2,2-1-3,3-1-4,4-1-5,差し,まくり,差し,まくり差し,まくり差し
