レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609120201,2026-09-12,02,1R,daily,2-1-3,2-1-4,3-1-4,3-1-2,3-1-5,差し,差し,まくり差し,まくり差し,まくり差し
202609120201,2026-09-12,02,1R,realtime,3-1-5,2-1-3,5-1-3,3-1-2,5-1-2,まくり差し,差し,まくり差し,まくり差し,まくり差し
202609120202,2026-09-12,02,2R,daily,2-1-3,2-3-1,2-1-4,2-1-5,2-3-4,差し,差し,差し,差し,まくり
202609120202,2026-09-12,02,2R,realtime,2-1-3,2-3-1,2-1-4,2-1-5,3-2-1,まくり差し,まくり,まくり差し,まくり差し,まくり
202609120203,2026-09-12,02,3R,daily,4-1-2,4-1-3,4-1-5,4-2-1,4-1-6,まくり,差し,まくり差し,まくり,まくり
202609120203,2026-09-12,02,3R,realtime,4-1-2,4-2-1,4-1-5,4-1-6,4-5-1,まくり,まくり,まくり差し,まくり,まくり
202609120204,2026-09-12,02,4R,daily,2-1-4,2-1-3,2-4-1,2-1-5,2-3-4,差し,差し,差し,差し,まくり
202609120204,2026-09-12,02,4R,realtime,2-1-4,2-1-3,2-4-1,2-1-5,2-3-1,差し,差し,差し,差し,差し
202609120205,2026-09-12,02,5R,daily,4-1-2,4-1-5,4-1-3,4-2-1,4-5-1,まくり,まくり差し,差し,まくり,まくり
202609120206,2026-09-12,02,6R,daily,2-1-3,3-1-2,2-3-1,2-1-4,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609120207,2026-09-12,02,7R,daily,3-1-4,3-1-2,4-1-2,3-1-5,2-1-4,まくり差し,まくり差し,まくり,まくり差し,差し
202609120208,2026-09-12,02,8R,daily,5-1-2,5-1-3,2-1-3,5-1-4,2-1-5,まくり差し,まくり差し,差し,まくり差し,差し
202609120209,2026-09-12,02,9R,daily,4-1-5,4-5-1,5-1-4,4-1-2,4-1-3,まくり差し,まくり,まくり差し,まくり,差し
202609120210,2026-09-12,02,10R,daily,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し
202609120211,2026-09-12,02,11R,daily,3-1-5,3-1-2,3-1-4,3-1-6,5-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
