レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609130201,2026-09-13,02,1R,daily,2-1-3,2-1-4,3-1-4,3-1-2,3-1-5,差し,差し,まくり差し,まくり差し,まくり差し
202609130201,2026-09-13,02,1R,realtime,2-1-3,3-1-4,3-1-2,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609130202,2026-09-13,02,2R,daily,4-1-2,4-1-5,4-2-1,4-1-6,2-1-3,まくり,まくり差し,まくり,まくり,差し
202609130203,2026-09-13,02,3R,daily,2-1-3,2-1-4,2-3-4,2-3-1,2-4-3,差し,差し,まくり,差し,まくり
202609130204,2026-09-13,02,4R,daily,3-1-4,3-1-5,3-1-2,3-4-1,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202609130205,2026-09-13,02,5R,daily,4-1-2,4-2-1,4-1-5,4-1-3,4-5-1,まくり,まくり,まくり差し,差し,まくり
202609130206,2026-09-13,02,6R,daily,3-1-4,3-1-5,3-1-2,3-4-1,4-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609130207,2026-09-13,02,7R,daily,3-1-2,3-1-5,3-1-4,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609130208,2026-09-13,02,8R,daily,2-1-3,2-1-4,2-1-5,3-1-2,5-1-2,差し,差し,差し,まくり差し,まくり差し
202609130209,2026-09-13,02,9R,daily,3-1-2,2-1-3,3-1-4,3-1-5,3-2-1,まくり差し,差し,まくり差し,まくり差し,まくり
202609130210,2026-09-13,02,10R,daily,3-1-2,3-1-5,2-1-3,5-1-2,3-1-4,まくり差し,まくり差し,差し,まくり差し,まくり差し
202609130211,2026-09-13,02,11R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202609130212,2026-09-13,02,12R,daily,5-1-2,2-1-3,5-1-3,2-1-5,5-1-4,まくり差し,差し,まくり差し,差し,まくり差し
202609130501,2026-09-13,05,1R,daily,4-1-5,4-1-3,4-1-2,3-1-4,4-5-1,まくり差し,差し,まくり,まくり差し,まくり
202609130502,2026-09-13,05,2R,daily,2-1-3,3-1-4,4-1-3,3-1-2,4-1-2,差し,まくり差し,差し,まくり差し,まくり
202609130503,2026-09-13,05,3R,daily,2-1-4,2-1-3,4-1-2,4-1-3,4-2-1,差し,差し,まくり,差し,まくり
202609130504,2026-09-13,05,4R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609130505,2026-09-13,05,5R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609130506,2026-09-13,05,6R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202609130507,2026-09-13,05,7R,daily,5-1-2,2-1-3,2-1-5,5-1-3,5-1-4,まくり差し,差し,差し,まくり差し,まくり差し
202609130508,2026-09-13,05,8R,daily,2-1-3,2-1-4,2-1-5,5-1-2,3-1-2,差し,差し,差し,まくり差し,まくり差し
202609130509,2026-09-13,05,9R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609130510,2026-09-13,05,10R,daily,2-1-4,2-1-3,3-1-4,3-1-2,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202609130511,2026-09-13,05,11R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-3-1,差し,差し,まくり差し,差し,差し
202609130512,2026-09-13,05,12R,daily,2-1-4,4-1-2,2-1-3,3-1-4,4-1-5,差し,まくり,差し,まくり差し,まくり差し
202609130601,2026-09-13,06,1R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-5,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609130602,2026-09-13,06,2R,daily,2-1-3,2-1-4,2-1-5,4-1-2,2-3-1,差し,差し,差し,まくり,差し
202609130603,2026-09-13,06,3R,daily,5-1-2,5-1-3,5-1-4,5-1-6,3-1-5,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609130604,2026-09-13,06,4R,daily,3-1-4,2-1-3,3-1-2,2-1-4,4-1-2,まくり差し,差し,まくり差し,差し,まくり
202609130605,2026-09-13,06,5R,daily,3-1-4,3-1-2,3-1-5,4-1-2,2-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202609130606,2026-09-13,06,6R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609130607,2026-09-13,06,7R,daily,2-1-4,2-1-3,2-1-5,5-1-2,2-3-1,差し,差し,差し,まくり差し,差し
