レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609140601,2026-09-14,06,1R,realtime,3-1-4,3-1-5,4-1-5,5-1-4,3-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609140602,2026-09-14,06,2R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609140602,2026-09-14,06,2R,realtime,3-1-4,3-1-5,3-1-2,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609140603,2026-09-14,06,3R,daily,3-1-4,3-1-2,4-1-2,2-1-3,4-1-3,まくり差し,まくり差し,まくり,差し,差し
202609140603,2026-09-14,06,3R,realtime,3-1-4,3-1-2,3-4-1,3-1-5,4-1-3,まくり差し,まくり差し,まくり,まくり差し,差し
202609140604,2026-09-14,06,4R,daily,2-1-4,4-1-2,2-1-3,2-1-5,5-1-2,差し,まくり,差し,差し,まくり差し
202609140604,2026-09-14,06,4R,realtime,2-1-5,5-1-2,2-1-4,2-1-3,4-1-2,差し,まくり差し,差し,差し,まくり
202609140605,2026-09-14,06,5R,daily,5-1-2,2-1-3,5-1-3,5-1-4,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609140605,2026-09-14,06,5R,realtime,5-1-2,5-1-6,2-1-3,5-1-3,5-1-4,まくり差し,まくり差し,差し,まくり差し,まくり差し
202609140606,2026-09-14,06,6R,daily,5-1-2,2-1-3,5-1-3,5-1-4,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609140606,2026-09-14,06,6R,realtime,5-1-2,2-1-3,2-1-5,5-1-3,3-1-2,まくり差し,差し,差し,まくり差し,まくり差し
202609140607,2026-09-14,06,7R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609140607,2026-09-14,06,7R,realtime,2-1-3,2-1-4,3-1-4,3-1-2,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609140608,2026-09-14,06,8R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-3-1,まくり差し,差し,まくり差し,まくり差し,差し
202609140609,2026-09-14,06,9R,daily,3-1-4,3-1-2,3-1-5,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609140610,2026-09-14,06,10R,daily,2-1-4,2-1-3,3-1-4,4-1-2,2-1-5,差し,差し,まくり差し,まくり,差し
202609140611,2026-09-14,06,11R,daily,3-1-4,4-1-3,4-1-2,3-1-2,3-1-5,まくり差し,差し,まくり,まくり差し,まくり差し
202609140612,2026-09-14,06,12R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609140701,2026-09-14,07,1R,daily,2-1-4,2-1-3,3-1-4,4-1-2,3-1-2,差し,差し,まくり差し,まくり,まくり差し
202609140702,2026-09-14,07,2R,daily,4-1-2,4-1-5,2-1-4,2-1-3,4-5-1,まくり,まくり差し,差し,差し,まくり
202609140703,2026-09-14,07,3R,daily,3-1-4,3-1-2,2-1-3,4-1-3,3-1-5,まくり差し,まくり差し,差し,差し,まくり差し
202609140704,2026-09-14,07,4R,daily,3-1-2,2-1-3,5-1-2,5-1-3,3-1-5,まくり差し,差し,まくり差し,まくり差し,まくり差し
202609140705,2026-09-14,07,5R,daily,5-1-2,2-1-3,2-1-5,2-1-4,5-1-3,まくり差し,差し,差し,差し,まくり差し
202609140706,2026-09-14,07,6R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609140707,2026-09-14,07,7R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609140708,2026-09-14,07,8R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609140709,2026-09-14,07,9R,daily,4-1-5,4-1-2,4-1-3,4-1-6,4-5-1,まくり差し,まくり,差し,まくり,まくり
202609140710,2026-09-14,07,10R,daily,3-1-4,3-1-2,3-1-5,4-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609140711,2026-09-14,07,11R,daily,4-1-2,2-1-4,2-1-3,4-1-5,4-1-3,まくり,差し,差し,まくり差し,差し
202609140712,2026-09-14,07,12R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202609140801,2026-09-14,08,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609140801,2026-09-14,08,1R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
