レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609050101,2026-09-05,01,1R,daily,2-1-3,3-1-2,3-1-4,4-1-2,2-1-4,差し,まくり差し,まくり差し,まくり,差し
202609050101,2026-09-05,01,1R,realtime,2-1-3,3-1-2,4-1-2,2-1-4,4-1-5,差し,まくり差し,まくり,差し,まくり差し
202609050102,2026-09-05,01,2R,daily,2-1-3,3-1-2,3-1-4,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609050102,2026-09-05,01,2R,realtime,3-1-2,3-1-4,2-1-3,3-1-5,3-1-6,まくり差し,まくり差し,差し,まくり差し,まくり差し
202609050103,2026-09-05,01,3R,daily,4-1-2,4-1-5,2-1-4,4-1-3,4-2-1,まくり,まくり差し,差し,差し,まくり
202609050103,2026-09-05,01,3R,realtime,2-1-4,4-1-2,2-1-3,2-1-5,5-1-2,差し,まくり,差し,差し,まくり差し
202609050104,2026-09-05,01,4R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609050104,2026-09-05,01,4R,realtime,3-1-2,3-1-5,3-1-4,5-1-2,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609050105,2026-09-05,01,5R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609050106,2026-09-05,01,6R,daily,2-1-3,3-1-2,2-1-5,2-1-4,3-1-5,差し,まくり差し,差し,差し,まくり差し
202609050107,2026-09-05,01,7R,daily,3-1-4,3-1-2,3-1-5,3-4-1,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609050108,2026-09-05,01,8R,daily,5-1-2,5-1-3,3-1-5,3-1-2,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609050109,2026-09-05,01,9R,daily,2-1-3,2-1-4,3-1-2,2-3-1,2-1-5,差し,差し,まくり差し,差し,差し
202609050110,2026-09-05,01,10R,daily,2-1-3,3-1-2,4-1-2,2-1-4,3-1-4,差し,まくり差し,まくり,差し,まくり差し
202609050111,2026-09-05,01,11R,daily,2-1-3,3-1-2,4-1-5,2-1-5,5-1-2,差し,まくり差し,まくり差し,差し,まくり差し
