レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:22:22.616340+09:00,1,53.4,0.0,6.72,0.0,52.5,0.0,6.71,0.0,47.9,0.0,6.69,-0.5,51.0,1.0,6.73,-0.5,53.5,0.0,6.71,-0.5,49.9,0.0,6.73,-0.5
202609101401,2026-09-10,14,01R,08:44,2026-09-10T08:34:19.043665+09:00,1,47.0,0.0,6.84,0.0,52.5,0.0,6.97,0.0,47.0,0.0,6.86,0.0,47.0,0.0,6.83,0.0,51.1,0.0,6.91,0.0,50.0,0.0,6.89,0.0
202609102102,2026-09-10,21,02R,08:58,2026-09-10T08:48:22.819583+09:00,1,52.0,0.0,6.69,0.0,47.0,0.0,6.69,0.0,51.5,0.5,6.68,0.0,53.7,0.0,6.66,0.0,63.9,0.0,6.79,0.0,54.0,0.0,6.74,0.0
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:00:53.634336+09:00,1,46.5,0.5,6.81,0.0,47.9,0.0,6.82,0.0,44.0,3.0,6.75,0.0,46.0,1.0,6.81,0.0,47.1,0.0,6.7,0.0,51.1,0.0,6.92,0.0
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:14:25.791104+09:00,1,51.0,1.0,6.67,-0.5,53.5,0.0,6.71,0.0,52.0,0.0,6.71,0.0,50.2,0.0,6.65,0.0,52.0,0.0,6.77,0.0,51.5,0.5,6.74,-0.5
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:26:24.433915+09:00,1,47.0,0.0,6.75,0.0,47.1,0.0,6.89,0.0,45.5,1.5,6.83,-0.5,47.0,0.0,6.78,-0.5,46.5,0.5,6.83,0.0,47.4,0.0,6.78,0.0
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:40:28.474133+09:00,1,53.9,0.0,6.68,-0.5,47.5,0.0,6.66,0.0,54.9,0.0,6.72,0.0,45.5,1.5,6.69,-0.5,52.0,0.0,6.72,-0.5,52.6,0.0,6.74,-0.5
202609101404,2026-09-10,14,04R,10:02,2026-09-10T09:52:23.052824+09:00,1,47.0,0.0,6.72,0.0,46.5,0.5,6.75,0.5,53.5,0.0,6.8,0.0,47.7,0.0,6.83,0.0,47.0,0.0,6.81,0.0,46.0,1.0,6.83,-0.5
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:08:18.853636+09:00,1,51.0,1.0,6.68,0.0,52.0,0.0,6.78,0.0,52.0,0.0,6.72,-0.5,52.5,0.0,6.7,0.0,54.5,0.0,6.77,-0.5,52.2,0.0,6.72,0.0
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:18:17.720510+09:00,1,48.7,0.0,6.8,0.0,46.5,0.5,6.85,0.0,50.1,0.0,6.85,0.0,47.0,0.0,6.83,0.0,46.0,1.0,6.91,-0.5,47.0,0.0,6.86,0.0
202609101301,2026-09-10,13,01R,10:38,2026-09-10T10:28:20.586887+09:00,1,52.7,0.0,6.87,0.0,53.1,0.0,6.91,-0.5,52.0,0.0,6.84,0.0,54.1,0.0,6.91,0.0,52.2,0.0,6.83,-0.5,54.5,0.0,6.78,3.0
202609101701,2026-09-10,17,01R,10:45,2026-09-10T10:36:19.387101+09:00,1,53.8,0.0,6.82,-0.5,52.9,0.0,6.87,-0.5,52.3,0.0,6.76,0.0,52.1,0.0,6.78,0.0,52.5,0.0,6.84,-0.5,52.0,0.0,6.86,-0.5
202609102106,2026-09-10,21,06R,10:47,2026-09-10T10:38:19.918878+09:00,1,50.5,0.0,6.67,0.0,52.6,0.0,6.67,0.0,51.5,0.5,6.72,0.0,49.9,0.0,6.72,-0.5,52.5,0.0,6.76,-0.5,52.5,0.0,6.77,-0.5
202609101601,2026-09-10,16,01R,10:53,2026-09-10T10:44:25.419090+09:00,1,53.1,0.0,6.82,-0.5,52.0,0.0,6.75,-0.5,52.1,0.0,6.67,0.0,54.0,0.0,6.9,0.0,53.0,0.0,6.84,-0.5,49.7,0.0,6.83,-0.5
202609100401,2026-09-10,04,01R,10:55,2026-09-10T10:46:20.663850+09:00,1,45.5,1.5,6.83,0.0,50.0,0.0,6.84,0.0,45.0,2.0,6.82,0.0,45.0,2.0,6.86,-0.5,44.5,2.5,6.77,0.0,51.5,0.0,6.7,-0.5
202609101406,2026-09-10,14,06R,10:58,2026-09-10T10:48:18.634714+09:00,1,47.0,0.0,6.87,0.0,47.0,0.0,6.83,0.0,46.0,1.0,6.82,0.0,50.0,0.0,6.81,0.0,47.0,0.0,6.84,0.0,46.0,1.0,6.86,0.0
202609100501,2026-09-10,05,01R,11:03,2026-09-10T10:54:20.905857+09:00,1,52.0,0.0,6.75,-0.5,53.7,0.0,6.76,-0.5,49.0,3.0,6.8,0.0,52.0,0.0,6.73,0.0,52.0,0.0,6.8,0.0,52.0,0.0,6.79,-0.5
202609101302,2026-09-10,13,02R,11:06,2026-09-10T10:56:28.462905+09:00,1,52.0,0.0,6.87,0.0,56.8,0.0,6.96,0.0,52.6,0.0,6.93,-0.5,51.0,1.0,6.95,0.0,51.0,1.0,6.88,0.0,52.0,0.0,6.96,-0.5
202609101702,2026-09-10,17,02R,11:11,2026-09-10T11:02:22.649704+09:00,1,52.1,0.0,6.76,-0.5,52.1,0.0,6.76,-0.5,56.5,0.0,6.75,-0.5,52.0,0.0,6.7,0.5,52.0,0.0,6.79,-0.5,52.4,0.0,6.79,-0.5
202609100301,2026-09-10,03,01R,11:14,2026-09-10T11:04:25.475462+09:00,1,53.1,0.0,6.59,0.5,52.0,0.0,6.59,0.0,53.3,0.0,6.59,0.0,53.7,0.0,6.61,0.0,53.9,0.0,6.46,2.0,52.1,0.0,6.53,0.5
202609102107,2026-09-10,21,07R,11:18,2026-09-10T11:08:23.437341+09:00,1,52.0,0.0,6.62,0.0,51.5,0.5,6.71,-0.5,52.0,0.0,6.71,1.0,53.5,0.0,6.68,0.0,57.4,0.0,6.74,0.0,50.5,1.5,6.78,-0.5
202609101602,2026-09-10,16,02R,11:22,2026-09-10T11:12:24.121930+09:00,1,46.5,0.5,6.83,-0.5,54.9,0.0,6.78,0.0,52.0,0.0,6.95,-0.5,46.0,1.0,6.77,-0.5,54.9,0.0,6.76,0.0,55.4,0.0,7.04,-0.5
202609100402,2026-09-10,04,02R,11:24,2026-09-10T11:14:17.568494+09:00,1,47.0,0.0,6.69,0.0,44.0,3.0,6.72,0.0,45.0,2.0,6.71,-0.5,47.4,0.0,6.73,0.0,47.7,0.0,6.71,0.0,51.3,0.0,6.75,-0.5
202609101407,2026-09-10,14,07R,11:28,2026-09-10T11:18:20.734236+09:00,1,47.0,0.0,6.77,0.0,46.5,0.5,6.84,0.0,47.2,0.0,6.76,0.0,46.5,0.5,6.85,0.0,47.0,0.0,6.83,-0.5,46.5,0.5,6.83,0.0
202609100502,2026-09-10,05,02R,11:32,2026-09-10T11:22:25.764255+09:00,1,52.0,0.0,6.68,0.0,53.3,0.0,6.73,0.0,53.3,0.0,6.63,0.0,52.5,0.0,6.73,-0.5,51.5,0.5,6.75,-0.5,52.0,0.0,6.69,0.0
202609101303,2026-09-10,13,03R,11:35,2026-09-10T11:26:20.895970+09:00,1,52.4,0.0,6.86,-0.5,52.8,0.0,6.87,0.0,52.0,0.0,6.84,0.0,52.6,0.0,6.96,0.0,52.5,0.0,6.82,0.0,58.8,0.0,6.89,0.0
202609101703,2026-09-10,17,03R,11:39,2026-09-10T11:30:34.614932+09:00,1,52.5,0.0,6.72,-0.5,52.3,0.0,6.76,-0.5,52.3,0.0,6.79,-0.5,51.5,0.5,6.73,0.0,52.0,0.0,6.77,0.0,52.0,0.0,6.71,-0.5
202609100302,2026-09-10,03,02R,11:41,2026-09-10T11:32:21.723646+09:00,1,54.4,0.0,6.55,0.5,52.0,0.0,6.59,0.5,52.8,0.0,6.56,0.5,55.2,0.0,6.46,0.0,53.8,0.0,6.66,0.5,52.0,0.0,6.59,-0.5
202609101603,2026-09-10,16,03R,11:49,2026-09-10T11:40:26.673770+09:00,1,53.7,0.0,6.84,0.0,51.0,1.0,6.82,-0.5,54.1,0.0,6.85,-0.5,51.5,0.5,6.84,-0.5,52.0,0.0,6.75,-0.5,47.6,0.0,6.8,-0.5
202609102108,2026-09-10,21,08R,11:51,2026-09-10T11:42:18.772426+09:00,1,52.0,0.0,6.72,0.0,52.6,0.0,6.71,-0.5,53.5,0.0,6.65,0.0,44.5,2.5,6.76,0.0,50.2,0.0,6.67,0.0,51.5,0.5,6.71,-0.5
202609100403,2026-09-10,04,03R,11:53,2026-09-10T11:44:24.915320+09:00,1,54.7,0.0,6.78,0.0,47.0,0.0,6.84,0.0,50.6,0.0,6.85,0.0,45.0,2.0,6.82,0.0,46.5,0.5,6.83,-0.5,52.1,0.0,6.79,0.0
202609101304,2026-09-10,13,04R,11:59,2026-09-10T11:50:31.568168+09:00,1,53.0,0.0,6.89,0.0,52.3,0.0,6.81,0.0,52.0,0.0,6.82,0.0,52.0,0.0,6.88,0.0,53.0,0.0,6.98,0.0,52.4,0.0,6.96,-0.5
202609100503,2026-09-10,05,03R,12:01,2026-09-10T11:52:17.969881+09:00,1,52.0,0.0,6.71,0.0,52.0,0.0,6.64,-0.5,50.0,2.0,6.6,-0.5,52.9,0.0,6.67,0.0,52.0,0.0,6.72,0.0,49.0,3.0,6.71,0.0
202609101408,2026-09-10,14,08R,12:05,2026-09-10T11:56:26.629294+09:00,1,53.5,0.0,6.74,0.0,51.1,0.0,6.84,0.0,47.7,0.0,6.84,0.0,45.0,2.0,6.91,0.0,46.0,1.0,6.82,0.0,47.9,0.0,6.93,0.0
202609100303,2026-09-10,03,03R,12:08,2026-09-10T11:58:20.414319+09:00,1,52.0,0.0,6.54,-0.5,52.2,0.0,6.5,0.5,52.0,0.0,6.53,0.5,51.0,1.0,6.65,0.0,52.0,0.0,6.47,0.5,55.2,0.0,6.62,0.0
202609101704,2026-09-10,17,04R,12:13,2026-09-10T12:04:19.470298+09:00,1,56.5,0.0,6.72,0.0,52.0,0.0,6.74,0.0,53.9,0.0,6.76,-0.5,54.9,0.0,6.81,0.0,55.2,0.0,6.77,0.0,52.0,0.0,6.78,-0.5
202609101604,2026-09-10,16,04R,12:20,2026-09-10T12:10:26.765352+09:00,1,53.1,0.0,6.76,0.0,54.3,0.0,6.89,-0.5,52.3,0.0,6.87,-0.5,49.5,2.5,6.83,-0.5,52.6,0.0,6.86,0.0,51.0,1.0,6.83,-0.5
202609100404,2026-09-10,04,04R,12:22,2026-09-10T12:12:22.270566+09:00,1,47.7,0.0,6.77,-0.5,47.2,0.0,6.81,0.0,45.5,1.5,6.8,0.0,47.0,0.0,6.75,-0.5,47.7,0.0,6.82,0.0,47.9,0.0,6.82,0.0
202609102109,2026-09-10,21,09R,12:24,2026-09-10T12:14:18.497042+09:00,1,52.0,0.0,6.75,0.0,53.5,0.0,6.74,-0.5,47.0,0.0,6.76,0.0,47.5,0.0,6.69,0.0,52.0,0.0,6.72,-0.5,51.0,1.0,6.74,0.0
202609101305,2026-09-10,13,05R,12:28,2026-09-10T12:18:20.875688+09:00,1,52.0,0.0,6.8,0.0,49.5,2.5,6.79,-0.5,52.3,0.0,6.85,0.0,52.0,0.0,6.81,0.0,52.0,0.0,6.82,-0.5,51.0,1.0,6.78,0.0
