レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202609112101,2026-09-11,21,01R,08:32,2026-09-11T08:22:24.459077+09:00,1,51.0,1.0,6.7,0.0,63.9,0.0,6.84,0.0,45.0,2.0,6.83,0.0,52.3,0.0,6.74,0.0,50.0,0.0,6.78,-0.5,52.0,0.0,6.79,0.0
202609111401,2026-09-11,14,01R,08:44,2026-09-11T08:34:21.519060+09:00,1,46.5,0.5,6.77,-0.5,47.0,0.0,6.77,0.0,46.0,1.0,6.77,-0.5,47.7,0.0,6.76,-0.5,47.0,0.0,6.88,0.0,47.2,0.0,6.83,0.0
202609112102,2026-09-11,21,02R,08:58,2026-09-11T08:48:15.753675+09:00,1,52.3,0.0,6.73,0.0,50.5,0.0,6.74,0.0,51.5,0.5,6.79,-0.5,51.5,0.5,6.73,-0.5,47.6,0.0,6.69,0.0,53.6,0.0,6.72,-0.5
202609111402,2026-09-11,14,02R,09:10,2026-09-11T09:00:54.502388+09:00,1,47.6,0.0,6.71,0.0,46.5,0.5,6.78,-0.5,53.7,0.0,6.8,0.0,50.1,0.0,6.77,0.0,52.2,0.0,6.93,0.0,47.7,0.0,6.88,0.0
202609112103,2026-09-11,21,03R,09:24,2026-09-11T09:14:28.305864+09:00,1,52.1,0.0,6.76,-0.5,57.7,0.0,6.83,-0.5,52.0,0.0,6.8,-0.5,51.5,0.5,6.78,0.0,54.5,0.0,6.81,-0.5,52.0,0.0,6.81,-0.5
202609111403,2026-09-11,14,03R,09:36,2026-09-11T09:26:20.065242+09:00,1,45.0,2.0,6.83,0.0,47.0,0.0,6.84,0.0,47.5,0.0,6.73,0.0,50.5,0.0,6.88,0.0,45.5,1.5,6.8,0.0,47.0,0.0,6.86,0.0
202609112104,2026-09-11,21,04R,09:50,2026-09-11T09:40:23.989633+09:00,1,53.3,0.0,6.71,0.0,54.6,0.0,6.83,-0.5,52.0,0.0,6.76,0.0,48.5,0.0,6.76,-0.5,52.0,0.0,6.7,0.0,52.0,0.0,6.83,0.0
202609111404,2026-09-11,14,04R,10:02,2026-09-11T09:52:18.873646+09:00,1,47.3,0.0,6.77,0.0,46.5,0.5,6.87,0.0,47.2,0.0,6.84,0.0,47.0,0.0,6.77,0.0,47.0,0.0,6.8,0.0,50.9,0.0,6.91,0.0
202609112105,2026-09-11,21,05R,10:20,2026-09-11T10:10:24.438708+09:00,1,52.5,0.0,6.75,0.0,45.5,1.5,6.75,-0.5,63.9,0.0,6.83,0.0,51.0,1.0,6.84,-0.5,51.5,0.5,6.8,-0.5,52.1,0.0,6.76,0.0
202609111405,2026-09-11,14,05R,10:28,2026-09-11T10:18:22.395951+09:00,1,46.0,1.0,6.77,0.0,48.4,0.0,6.84,-0.5,47.0,0.0,6.78,0.0,47.0,0.0,6.84,0.0,47.0,0.0,6.81,0.0,44.0,3.0,6.84,0.0
