レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202609120201,2026-09-12,02,01R,栗原 直也,7.3,0.2,3.6,1,,G3,1,,IP,3,,IP,1,,IP,1,,IP,1,,IP,6,,IP,1,,IP,4,,IP,5,,IP,佐藤 駿介,2.5,0.2,4.3,6,,IP,6,,IP,2,,IP,5,,IP,6,,IP,6,,IP,5,,IP,6,,IP,4,,IP,4,,IP,鈴木 唯央,4.8,0.17,3.5,2,,IP,5,,IP,4,,IP,3,,IP,4,,IP,4,,IP,2,,IP,4,,IP,4,,IP,4,,IP,立具 敬司,2.7,0.23,3.5,6,,IP,6,,IP,6,,IP,6,,IP,5,,IP,5,,IP,6,,IP,3,,IP,3,,IP,3,,IP,羽野 諒,3.9,0.1,2.3,4,,IP,5,6,IP,3,4,IP,4,,IP,3,,G3,4,,IP,3,,IP,5,,IP,4,,IP,6,,IP,澁澤 周羽,1.4,0.25,4.3,6,,IP,6,,IP,5,,IP,4,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP
202609120202,2026-09-12,02,02R,古場 輝義,6.4,0.15,2.7,3,,IP,2,,IP,4,,G3,5,,IP,2,,IP,1,,IP,2,,IP,5,,IP,2,,G3,2,,G3,藤原 啓史朗,8.2,0.12,2.7,3,,IP,2,,IP,1,,IP,3,,IP,3,,IP,2,,IP,1,,IP,1,,IP,2,,IP,2,,G2,松崎 祐太郎,5.4,0.13,2.5,1,,IP,妨,,IP,2,,IP,6,,IP,2,,IP,3,,G3,3,,G3,2,4,IP,6,,IP,4,,IP,西田 靖,3.2,0.18,3.5,2,2,IP,6,2,IP,1,2,IP,6,3,G3,6,2,IP,5,2,IP,4,2,IP,5,2,IP,5,2,IP,6,3,IP,細川 明人,2.8,0.18,3.9,5,,IP,4,,IP,6,,IP,6,6,IP,5,,IP,5,,IP,3,,IP,6,,IP,6,,IP,2,,IP,竹腰 正樹,3.3,0.13,3.5,6,,IP,2,,IP,5,,IP,6,,IP,4,,IP,3,,IP,5,,IP,5,,IP,4,,G3,6,,G3
202609120203,2026-09-12,02,03R,渡部 悟,7.6,0.11,2.6,4,,G3,1,,G3,5,,IP,3,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,和田 操拓,5.7,0.12,2.8,3,,G3,2,,G3,4,,IP,3,,IP,2,,IP,2,,IP,3,,IP,5,,IP,6,,IP,2,,IP,野田 昇吾,3.7,0.13,1.8,3,,IP,3,,IP,4,,IP,5,,IP,5,5,IP,6,,IP,4,,IP,5,,IP,2,,IP,5,4,IP,山下 大輝,8.1,0.14,2.9,2,,IP,3,,IP,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,6,,IP,橋本 英一,3.7,0.16,3.2,2,,IP,4,,IP,5,,IP,5,,IP,5,,IP,6,,IP,2,,IP,5,,IP,4,,IP,4,,IP,大野 芳顕,4.0,0.16,3.1,4,,IP,5,,IP,5,,IP,5,,IP,2,,IP,3,,IP,5,,G3,3,,IP,5,,IP,3,,IP
202609120204,2026-09-12,02,04R,酒井 俊弘,7.22,0.16,4.1,落,,G3,6,,IP,1,,IP,2,,IP,2,,IP,4,,IP,2,,IP,1,,IP,2,,IP,2,,IP,山口 達也,6.1,0.14,3.4,6,,IP,2,,IP,2,,IP,1,,IP,1,,G3,1,1,G3,4,,G2,6,,G2,5,,G2,6,1,IP,中村 裕将,5.0,0.13,2.4,3,,IP,2,,IP,6,,IP,4,,IP,5,,IP,6,,IP,3,5,IP,3,,IP,2,,IP,2,4,IP,入海 馨,5.56,0.14,2.9,2,,IP,6,,IP,2,,IP,4,5,IP,5,,IP,3,,SG,転,,SG,2,,G2,5,,G2,3,,IP,山崎 裕司,5.0,0.16,3.9,4,,IP,5,,IP,3,,IP,4,,IP,5,,IP,2,,IP,2,,IP,3,,IP,4,,IP,3,,IP,富澤 祐作,3.0,0.17,5.2,欠,,IP,5,,IP,5,,IP,4,,IP,6,5,IP,6,,IP,5,5,IP,2,,IP,3,,IP,6,,IP
202609120205,2026-09-12,02,05R,江本 真治,8.5,0.17,4.1,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,2,,G2,2,,IP,1,,IP,2,,IP,3,,IP,立具 敬司,3.2,0.18,3.5,6,,IP,6,,IP,5,,IP,4,,IP,5,,IP,3,,IP,3,,IP,5,,IP,3,,IP,5,,IP,西村 勝,2.8,0.19,3.3,6,,IP,2,,IP,6,,IP,6,4,IP,6,,IP,3,,IP,6,,IP,3,,IP,5,,IP,6,,IP,里岡 右貴,6.6,0.12,2.3,4,,IP,3,,IP,1,,IP,F,,IP,2,,IP,1,,IP,2,,IP,4,3,IP,1,,IP,3,,IP,半田 尚也,3.2,0.21,4.1,3,,IP,4,,IP,2,,IP,4,,IP,5,,IP,6,,IP,5,,IP,6,,IP,5,,IP,5,,IP,板倉 敦史,1.89,0.25,5.0,5,,IP,6,,IP,5,,IP,4,,IP,6,,IP,6,,IP,6,,IP,エ,,IP,4,,IP,6,,G3
202609120206,2026-09-12,02,06R,新出 浩司,7.4,0.12,2.1,4,,IP,3,,IP,1,,IP,1,,IP,3,,IP,2,,IP,1,,IP,4,,G3,1,,IP,3,,IP,金子 賢志,5.7,0.16,3.8,2,,IP,2,3,IP,4,,G3,4,,G2,6,,G2,4,,G2,4,,G2,5,,IP,2,,IP,1,,IP,是澤 孝宏,6.2,0.14,3.0,5,,IP,4,,IP,4,4,IP,5,,IP,1,,IP,2,,IP,2,,IP,2,,IP,1,,IP,3,,IP,竹腰 正樹,6.1,0.13,3.0,1,,IP,1,,IP,1,,IP,5,,IP,4,,IP,6,,IP,4,,IP,3,,IP,1,,IP,4,,IP,澁澤 周羽,1.1,0.19,3.5,6,6,IP,6,6,IP,6,6,IP,6,6,IP,6,6,IP,6,6,IP,5,6,IP,6,6,IP,6,6,IP,6,6,IP,小坂 尚哉,6.4,0.14,2.6,2,,IP,1,,IP,5,,IP,2,,IP,4,,IP,2,,IP,2,,IP,3,,IP,3,,IP,4,,IP
202609120207,2026-09-12,02,07R,渡邉 俊介,8.33,0.17,3.4,落,,IP,3,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,G2,1,,IP,5,,IP,1,,IP,野田 昇吾,2.9,0.13,2.9,3,,IP,5,,IP,5,,IP,3,4,IP,5,,IP,6,,IP,4,,IP,4,,IP,6,,IP,6,,IP,金子 貴志,6.2,0.14,2.8,2,,IP,4,,IP,1,,IP,2,,IP,2,,IP,5,,IP,5,,IP,2,,IP,4,,IP,2,,IP,新井 英孝,4.2,0.18,4.8,3,,G3,5,,G3,6,,IP,6,,G3,3,,IP,3,,IP,3,,G3,5,,G3,2,5,IP,4,,IP,佐藤 駿介,4.2,0.19,3.5,5,,IP,5,,IP,2,,IP,3,,IP,4,,IP,3,,IP,6,,IP,3,,IP,6,,IP,3,,IP,富永 大一,3.6,0.19,3.5,5,,IP,3,5,IP,4,,IP,5,,IP,4,,IP,6,,IP,6,,IP,4,,IP,3,5,IP,3,,IP
202609120208,2026-09-12,02,08R,池田 剛規,7.3,0.16,3.0,5,,IP,1,,IP,2,,IP,3,,IP,1,,IP,1,,IP,1,,IP,6,,IP,1,,IP,3,,IP,岡部 大輝,5.8,0.14,2.8,5,,IP,2,,IP,1,,IP,6,,IP,1,,IP,6,,IP,3,,IP,2,,IP,3,,IP,3,,IP,西田 靖,3.4,0.14,3.0,3,2,IP,6,2,IP,3,2,IP,6,2,IP,5,2,IP,1,2,IP,6,1,G3,6,2,G3,4,2,IP,5,2,IP,橋本 英一,3.3,0.2,3.4,6,,IP,5,,IP,4,,IP,6,,IP,4,,IP,6,,IP,3,,IP,2,,IP,4,,IP,5,,IP,山口 達也,4.2,0.14,2.7,5,,IP,2,,IP,4,2,G3,6,6,G2,3,,G2,1,,G2,6,,G2,4,1,IP,6,,IP,6,3,IP,三浦 洋次朗,3.3,0.21,4.6,3,4,IP,2,,IP,6,,IP,5,,IP,転,,G2,5,,G2,5,,IP,5,,IP,6,,IP,2,,IP
202609120209,2026-09-12,02,09R,山崎 裕司,9.6,0.19,3.4,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,2,,IP,1,,IP,1,,IP,1,,IP,細川 明人,4.4,0.16,3.8,2,,IP,4,,IP,6,,IP,1,,IP,2,,IP,4,,IP,6,,IP,5,,IP,5,,IP,4,,IP,江本 真治,4.9,0.14,2.7,3,,IP,3,,IP,3,,IP,3,,IP,4,,G2,5,5,G2,6,5,G2,3,,IP,2,,IP,6,,IP,青木 蓮,6.0,0.11,2.1,6,,G3,5,,IP,1,,IP,3,,IP,1,,G3,2,5,G3,6,,IP,3,,IP,3,,IP,1,,IP,山下 大輝,6.8,0.17,3.5,4,,IP,3,,IP,5,,IP,2,4,IP,3,,IP,1,,IP,2,,IP,2,,IP,1,,IP,3,,IP,鈴木 唯央,2.6,0.17,4.3,6,,IP,4,,IP,5,,IP,6,,IP,3,5,IP,F,,IP,5,,IP,3,,IP,5,,IP,5,,IP
202609120210,2026-09-12,02,10R,入海 馨,9.2,0.14,2.6,1,,IP,1,,IP,1,,IP,1,,IP,1,,SG,1,,IP,1,,G2,4,,G2,1,,IP,4,,IP,小坂 尚哉,7.2,0.13,2.9,1,,IP,1,3,IP,5,,IP,4,,IP,2,,IP,3,,IP,1,,IP,2,,IP,3,,IP,2,,IP,栗原 直也,5.44,0.2,4.3,転,,G3,2,2,G3,1,,IP,4,2,IP,2,,IP,3,,IP,1,,IP,5,,IP,6,,IP,F,,IP,半田 尚也,3.2,0.2,3.9,4,,IP,3,,IP,5,,IP,5,,IP,4,,IP,5,,IP,4,,IP,6,,IP,6,,IP,3,,IP,大野 芳顕,3.3,0.15,2.5,3,,IP,転,,IP,5,,IP,4,,IP,4,,G3,5,,G3,5,,IP,3,,IP,6,,IP,4,4,IP,藤山 雅弘,2.3,0.21,4.7,6,,IP,6,,IP,5,,IP,6,,IP,3,,IP,3,,IP,5,,IP,6,,IP,6,4,IP,5,,IP
