レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202609070101,2026-09-07,01,01R,中島 航,7.0,0.14,3.7,6,,IP,2,,IP,6,,IP,2,,IP,3,,IP,1,,G3,2,,IP,2,,IP,1,,G3,1,,IP,松尾 光広,4.1,0.15,3.5,3,,IP,4,,IP,5,3,IP,5,,IP,5,,IP,2,,IP,妨,,IP,3,,IP,1,,IP,6,,IP,阪本 勇介,4.0,0.23,4.0,3,,IP,6,,IP,2,5,IP,6,,IP,3,4,IP,6,,IP,3,,IP,3,,IP,6,,IP,4,,IP,前川 守嗣,5.3,0.14,3.1,3,,IP,3,,IP,4,,IP,3,,IP,3,,IP,3,,IP,4,,IP,3,,IP,6,,IP,2,5,IP,品川 賢次,3.6,0.2,4.5,5,,IP,6,,IP,4,,IP,5,,IP,4,,IP,3,,IP,4,4,IP,5,,IP,6,,IP,1,4,IP,山本 隆幸,5.6,0.18,4.5,4,,IP,6,,IP,3,5,IP,3,,G3,1,5,G3,5,,IP,1,4,IP,4,,G1,2,,IP,4,,IP
202609070102,2026-09-07,01,02R,加倉 侑征,5.2,0.16,4.0,3,,IP,1,,IP,4,,IP,4,,G3,6,,IP,5,,IP,1,,IP,3,,IP,6,,IP,2,,IP,鈴木 峻佑,4.9,0.14,2.9,5,,IP,3,,IP,4,,IP,6,,IP,2,3,IP,3,,IP,3,,IP,3,3,IP,2,,IP,5,,IP,相馬 翔,4.0,0.14,2.6,5,,IP,3,,IP,6,,IP,4,,IP,4,,IP,6,,IP,3,,IP,4,,IP,2,,IP,4,,IP,八木 治樹,4.0,0.13,2.7,5,,IP,4,,IP,1,,IP,4,,IP,5,,IP,5,,IP,4,,IP,2,,IP,5,,IP,5,,IP,山本 寛久,6.7,0.16,3.7,3,,G3,3,6,G3,3,,IP,1,,G2,4,,G2,1,,G2,3,,IP,2,,IP,4,,IP,4,,IP,笠原 亮,5.44,0.17,3.7,4,,IP,4,,IP,2,,IP,不,5,IP,2,5,IP,3,,IP,1,5,IP,6,,G1,4,,IP,5,,G2
202609070103,2026-09-07,01,03R,松本 真広,5.1,0.17,3.9,4,,G3,1,,G3,4,3,G3,3,,IP,4,,IP,1,,IP,F,,IP,1,,IP,6,,IP,5,,IP,澤 大介,5.6,0.22,4.0,4,,IP,4,1,IP,4,,IP,2,,IP,5,,IP,1,,IP,3,,IP,5,,IP,1,1,IP,3,,IP,森 智哉,4.1,0.15,3.1,1,,IP,5,,IP,F,,IP,4,,IP,4,,IP,3,,IP,6,,IP,6,,IP,1,,IP,6,,IP,鳥居塚 孝博,4.3,0.16,3.3,5,,IP,3,,G3,4,,G3,4,,G3,3,5,G3,2,,G3,4,,IP,3,,IP,F,,IP,5,,G2,眞鳥 康太,4.7,0.19,4.0,3,,IP,1,,IP,6,,IP,2,6,IP,4,6,IP,5,,IP,6,6,IP,1,4,IP,6,6,IP,4,6,IP,林 美憲,4.8,0.14,3.4,4,4,IP,2,3,IP,2,3,IP,3,4,IP,4,3,IP,6,3,IP,2,5,IP,5,3,IP,3,2,IP,6,2,IP
202609070104,2026-09-07,01,04R,吉田 翔悟,3.9,0.18,4.1,4,,IP,1,,IP,4,,IP,F,,IP,4,,IP,5,,G3,2,,IP,転,,IP,3,,IP,6,,IP,黒柳 浩孝,7.4,0.14,2.4,2,,IP,2,,IP,3,,IP,2,,IP,3,,IP,5,,IP,1,,IP,2,,IP,2,,IP,1,,IP,三品 隆浩,4.7,0.19,4.1,3,4,IP,2,,IP,5,,IP,3,,IP,1,,IP,5,,IP,6,,IP,2,,IP,5,,IP,5,,IP,赤岩 善生,6.9,0.16,2.9,5,2,G3,1,2,G3,4,3,G3,1,2,IP,2,2,IP,6,,G3,4,,G2,2,2,G2,2,2,IP,2,,SG,笠 雅雄,5.7,0.19,3.8,2,,IP,5,,IP,6,,IP,3,,IP,2,4,IP,1,,IP,3,,IP,4,,IP,5,,IP,1,,IP,河野 真也,3.6,0.19,4.0,5,,IP,6,,IP,4,,IP,3,5,IP,5,,IP,3,,IP,5,,IP,3,,IP,6,,IP,3,,IP
202609070105,2026-09-07,01,05R,谷口 丞,8.2,0.12,3.2,1,,IP,2,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,5,,IP,1,,IP,2,,IP,山谷 央,5.8,0.18,4.3,6,,IP,2,,IP,3,,IP,5,,IP,2,,IP,2,3,IP,6,,IP,2,,IP,2,,IP,2,,IP,小野 信樹,3.0,0.15,2.8,3,,IP,5,,IP,6,,IP,6,,IP,4,,IP,6,,IP,1,,IP,5,,IP,5,,IP,6,,IP,湯川 浩司,7.2,0.15,2.9,3,,IP,3,,IP,3,,IP,3,,IP,1,,IP,2,,SG,3,,G2,2,,G2,2,,IP,5,,G1,宇佐見 淳,3.9,0.18,3.5,1,,IP,5,,IP,5,,IP,3,,IP,3,,IP,6,,IP,6,,IP,6,,IP,4,,IP,3,,IP,阪本 勇介,3.0,0.2,4.0,5,,IP,4,,IP,5,,IP,4,,IP,2,,IP,5,,IP,6,,IP,5,5,IP,6,,IP,4,,IP
202609070106,2026-09-07,01,06R,笠置 博之,6.7,0.22,3.3,2,,IP,1,,IP,6,3,IP,6,,IP,1,,IP,2,,IP,6,,IP,2,,IP,1,3,IP,1,,IP,廣瀬 篤哉,5.3,0.14,2.3,1,,IP,6,5,IP,4,,IP,4,,IP,1,,IP,3,4,IP,4,,IP,5,4,IP,3,,IP,3,,IP,松浦 勝,2.3,0.24,3.5,6,4,IP,6,,IP,6,,IP,2,,IP,3,,IP,5,,IP,6,,IP,6,,IP,6,,IP,6,,IP,相馬 翔,3.7,0.21,3.5,5,,IP,5,,IP,5,3,IP,3,,IP,5,,IP,5,,IP,1,,IP,2,,IP,5,,IP,6,,IP,橋本 久和,5.5,0.18,3.2,4,,IP,1,,IP,5,,IP,2,,IP,6,4,G3,5,,IP,2,,IP,5,6,IP,1,,IP,2,,IP,鳥本 智史,2.4,0.16,2.9,6,,IP,6,,IP,4,,IP,3,,IP,6,,IP,6,,IP,4,,IP,6,,IP,4,,IP,6,,IP
202609070107,2026-09-07,01,07R,山崎 義明,9.0,0.18,3.2,1,,IP,1,,IP,2,,IP,4,,IP,1,,G3,2,,G3,1,,IP,1,,IP,1,,IP,1,,IP,品川 賢次,4.89,0.21,4.1,5,,IP,3,,IP,2,,IP,3,,IP,4,,IP,落,,IP,4,,IP,2,,IP,4,,IP,5,,IP,鈴谷 一平,7.4,0.14,3.2,3,,IP,1,,IP,3,,IP,3,,IP,3,,IP,1,,IP,1,,IP,1,,IP,2,,IP,5,,IP,齋藤 勇,4.7,0.18,3.9,6,,IP,5,,IP,4,,IP,3,,IP,4,,IP,3,,IP,2,,IP,4,,IP,2,,IP,4,,IP,森 智哉,3.7,0.19,4.2,5,,IP,5,,IP,6,,IP,3,,IP,4,,IP,5,,IP,4,,IP,4,,IP,2,,IP,4,,IP,花本 夏樹,2.3,0.22,4.8,6,3,IP,4,,IP,6,4,IP,6,,IP,4,5,IP,5,5,IP,6,,IP,3,4,IP,6,5,IP,5,3,IP
202609070108,2026-09-07,01,08R,松江 秀徳,6.3,0.2,4.0,1,,IP,5,,IP,4,,IP,3,,G2,1,,IP,1,,IP,F,,G3,1,,IP,2,,IP,5,,IP,萩原 知哉,5.0,0.15,2.8,2,,IP,1,,IP,2,,IP,4,6,IP,5,,IP,6,,IP,4,,IP,6,,IP,2,,IP,4,,IP,松本 真広,4.2,0.19,3.9,3,,G3,6,,G3,3,,G3,3,,IP,5,,IP,4,,IP,4,,IP,3,,IP,6,,IP,3,,IP,黒柳 浩孝,5.1,0.16,3.0,1,,IP,2,,IP,2,,IP,6,2,IP,4,,IP,6,,IP,6,,IP,2,,IP,5,,IP,2,3,IP,笠原 亮,6.6,0.18,3.9,2,6,IP,3,,IP,6,,IP,5,,IP,3,,IP,2,,IP,2,,G1,4,,G1,1,,IP,1,,G2,前川 守嗣,4.6,0.12,2.0,4,,IP,3,,IP,6,,IP,1,5,IP,5,,IP,1,5,IP,5,,IP,2,5,IP,6,,IP,5,,IP
202609070109,2026-09-07,01,09R,笠 雅雄,7.2,0.15,2.6,4,,IP,1,,IP,1,,IP,4,,IP,1,,IP,3,,IP,3,,IP,4,,IP,1,,IP,2,,IP,鳥居塚 孝博,8.4,0.16,3.5,3,,IP,1,,G3,1,,G3,3,,IP,2,,IP,1,,G2,3,,G2,3,,IP,1,,IP,1,3,IP,山本 隆幸,6.44,0.22,4.0,5,,IP,3,2,IP,3,,IP,1,,IP,3,,G3,1,,G3,2,,G3,4,,IP,転,,IP,3,5,IP,加倉 侑征,3.7,0.18,3.4,2,,IP,4,,IP,4,,IP,5,,IP,5,,G3,6,,IP,3,,IP,4,,IP,3,6,IP,F,,IP,伊藤 将吉,4.6,0.17,3.3,1,,IP,4,,IP,5,,IP,4,4,IP,4,,IP,5,,IP,4,,IP,3,,IP,5,,IP,2,3,IP,山谷 央,2.7,0.17,3.9,転,5,IP,5,,IP,5,,IP,3,,IP,4,,IP,4,,IP,5,,IP,5,,IP,6,,IP,4,,IP
202609070110,2026-09-07,01,10R,若林 樹蘭,6.6,0.13,3.0,1,,IP,2,,IP,1,,IP,3,,IP,3,,IP,F,,IP,1,,IP,5,,IP,4,,IP,1,,IP,赤岩 善生,6.6,0.15,3.1,3,,G3,1,,IP,3,,IP,3,,IP,1,,G3,5,,G3,1,,G3,5,,G2,2,,G2,4,,IP,廣瀬 将亨,7.1,0.14,2.5,1,,IP,1,,IP,1,,G3,1,,G3,4,,IP,3,,IP,1,,G2,6,,G2,3,,IP,5,,IP,澤 大介,4.5,0.19,3.3,4,,IP,4,,IP,4,,IP,3,,IP,4,,IP,6,,IP,5,5,IP,4,,IP,1,,IP,4,5,IP,八木 治樹,3.4,0.14,3.1,2,,IP,5,,IP,5,,IP,2,,IP,5,,IP,5,,IP,5,,IP,4,,IP,5,,IP,5,,IP,武富 智亮,5.67,0.12,3.5,2,,G3,2,,IP,2,,IP,3,,IP,5,,IP,3,,G2,エ,,G2,6,,G2,3,,IP,4,,IP
