レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609120904,2026-09-12,09,4R,realtime,67.29,26.9,40.38,8.88,60.43,4.87,75.2,18.22,44.17,2.54,61.41,52.24,20.88,52.31,11.5,26.28,2.12,58.65,14.21,55.18,3.17,51.88,49.94,19.96,42.37,9.32,36.31,2.93,33.01,8.0,45.02,2.59,42.79,48.74,19.48,48.33,10.63,40.18,3.24,49.44,11.98,47.04,2.7,48.03,44.46,17.77,46.34,10.19,44.22,3.57,36.52,8.85,58.45,3.36,43.74,37.0,14.79,46.34,10.19,51.18,4.13,47.25,11.45,50.22,2.88,43.44
202609120905,2026-09-12,09,5R,daily,67.29,26.9,56.28,12.38,45.24,3.65,50.0,12.11,50.0,2.87,57.91,52.24,20.88,48.33,10.63,30.09,2.43,50.0,12.11,50.0,2.87,48.92,49.94,19.96,44.35,9.75,35.64,2.87,50.0,12.11,50.0,2.87,47.58,48.74,19.48,52.31,11.5,47.73,3.85,50.0,12.11,50.0,2.87,49.82,44.46,17.77,46.34,10.19,46.16,3.72,50.0,12.11,50.0,2.87,46.67,37.0,14.79,44.35,9.75,58.58,4.72,50.0,12.11,50.0,2.87,44.25
202609120905,2026-09-12,09,5R,realtime,67.29,26.9,56.28,12.38,45.24,3.65,61.82,14.98,44.17,2.54,60.44,52.24,20.88,48.33,10.63,30.09,2.43,42.04,10.19,55.18,3.17,47.29,49.94,19.96,44.35,9.75,35.64,2.87,52.68,12.76,45.02,2.59,47.94,48.74,19.48,52.31,11.5,47.73,3.85,52.05,12.61,47.04,2.7,50.15,44.46,17.77,46.34,10.19,46.16,3.72,38.55,9.34,58.45,3.36,44.38,37.0,14.79,44.35,9.75,58.58,4.72,52.93,12.82,50.22,2.88,44.98
202609120906,2026-09-12,09,6R,daily,67.29,26.9,48.33,10.63,43.1,3.48,50.0,12.11,50.0,2.87,55.99,52.24,20.88,46.34,10.19,30.7,2.48,50.0,12.11,50.0,2.87,48.53,49.94,19.96,50.32,11.07,53.68,4.33,50.0,12.11,50.0,2.87,50.34,48.74,19.48,52.31,11.5,40.57,3.27,50.0,12.11,50.0,2.87,49.24,44.46,17.77,32.42,7.13,40.87,3.3,50.0,12.11,50.0,2.87,43.18,37.0,14.79,68.21,15.0,51.8,4.18,50.0,12.11,50.0,2.87,48.95
202609120906,2026-09-12,09,6R,realtime,67.29,26.9,48.33,10.63,43.1,3.48,56.77,13.75,41.16,2.36,57.12,52.24,20.88,46.34,10.19,30.7,2.48,47.33,11.47,49.43,2.84,47.85,49.94,19.96,50.32,11.07,53.68,4.33,65.35,15.83,46.81,2.69,53.88,48.74,19.48,52.31,11.5,40.57,3.27,48.99,11.87,55.43,3.18,49.31,44.46,17.77,32.42,7.13,40.87,3.3,49.22,11.93,52.07,2.99,43.11,37.0,14.79,68.21,15.0,51.8,4.18,32.44,7.86,55.21,3.17,45.0
202609120907,2026-09-12,09,7R,daily,67.29,26.9,46.34,10.19,40.11,3.24,50.0,12.11,50.0,2.87,55.31,52.24,20.88,50.32,11.07,44.15,3.56,50.0,12.11,50.0,2.87,50.49,49.94,19.96,50.32,11.07,56.78,4.58,50.0,12.11,50.0,2.87,50.59,48.74,19.48,42.37,9.32,42.29,3.41,50.0,12.11,50.0,2.87,47.2,44.46,17.77,48.33,10.63,54.64,4.41,50.0,12.11,50.0,2.87,47.79,37.0,14.79,56.28,12.38,45.93,3.7,50.0,12.11,50.0,2.87,45.86
202609120907,2026-09-12,09,7R,realtime,67.29,26.9,46.34,10.19,40.11,3.23,68.61,16.62,41.16,2.36,59.31,52.24,20.88,50.32,11.07,44.15,3.56,51.61,12.5,49.43,2.84,50.85,49.94,19.96,50.32,11.07,56.78,4.58,58.18,14.1,46.81,2.69,52.39,48.74,19.48,42.37,9.32,42.29,3.41,38.85,9.41,55.43,3.18,44.81,44.46,17.77,48.33,10.63,54.64,4.41,27.03,6.55,52.07,2.99,42.35,37.0,14.79,56.28,12.38,45.93,3.7,55.8,13.52,55.21,3.17,47.56
202609120908,2026-09-12,09,8R,daily,67.29,26.9,44.35,9.75,46.25,3.73,50.0,12.11,50.0,2.87,55.37,52.24,20.88,48.33,10.63,47.69,3.85,50.0,12.11,50.0,2.87,50.34,49.94,19.96,48.33,10.63,51.68,4.17,50.0,12.11,50.0,2.87,49.75,48.74,19.48,64.24,14.13,53.22,4.29,50.0,12.11,50.0,2.87,52.89,44.46,17.77,46.34,10.19,38.86,3.13,50.0,12.11,50.0,2.87,46.08,37.0,14.79,46.34,10.19,54.45,4.39,50.0,12.11,50.0,2.87,44.36
202609120908,2026-09-12,09,8R,realtime,67.29,26.9,44.35,9.75,46.25,3.73,69.13,16.75,41.16,2.36,59.49,52.24,20.88,48.33,10.63,47.69,3.85,56.37,13.66,49.43,2.84,51.85,49.94,19.96,48.33,10.63,51.68,4.17,62.68,15.18,46.81,2.69,52.63,48.74,19.48,64.24,14.13,53.22,4.29,47.83,11.59,55.43,3.18,52.67,44.46,17.77,46.34,10.19,38.86,3.13,27.85,6.75,52.07,2.99,40.84,37.0,14.79,46.34,10.19,54.45,4.39,36.24,8.78,55.21,3.17,41.32
202609120909,2026-09-12,09,9R,daily,67.29,26.9,46.34,10.19,60.53,4.88,50.0,12.11,50.0,2.87,56.96,52.24,20.88,50.32,11.07,54.81,4.42,50.0,12.11,50.0,2.87,51.35,49.94,19.96,52.31,11.5,47.73,3.85,50.0,12.11,50.0,2.87,50.3,48.74,19.48,44.35,9.75,63.34,5.11,50.0,12.11,50.0,2.87,49.33,44.46,17.77,48.33,10.63,53.18,4.29,50.0,12.11,50.0,2.87,47.67,37.0,14.79,48.33,10.63,40.18,3.24,50.0,12.11,50.0,2.87,43.65
