レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609070101,2026-09-07,01,01R,5070,0.1852,0.1424,0.2279,4557,0.1865,0.1438,0.2292,4562,0.1736,0.1326,0.2147,4195,0.1401,0.1041,0.1761,3653,0.2298,0.1804,0.2791,4025,0.18,0.1366,0.2233
202609070102,2026-09-07,01,02R,5012,0.14,0.103,0.177,4380,0.1549,0.1074,0.2025,5122,0.1961,0.1507,0.2415,4943,0.1357,0.0917,0.1797,3874,0.1452,0.1045,0.1859,4019,0.1751,0.1356,0.2147
202609070103,2026-09-07,01,03R,5107,0.1891,0.1471,0.231,3852,0.185,0.1424,0.2276,5181,0.1691,0.1303,0.208,3686,0.1682,0.1366,0.1999,5048,0.1725,0.1328,0.2121,3743,0.1566,0.1173,0.1958
202609070104,2026-09-07,01,04R,4919,0.1637,0.125,0.2023,4161,0.1472,0.1095,0.1848,3202,0.1861,0.1394,0.2329,3946,0.1516,0.1172,0.186,4232,0.161,0.1179,0.2042,4513,0.1759,0.1374,0.2143
202609070105,2026-09-07,01,05R,5344,0.1196,0.0784,0.1609,3681,0.1641,0.1225,0.2058,3305,0.1553,0.1123,0.1983,4044,0.1256,0.0869,0.1642,4118,0.1475,0.1106,0.1843,4562,0.193,0.152,0.2341
202609070106,2026-09-07,01,06R,4538,0.158,0.1126,0.2033,4992,0.1484,0.1147,0.1821,3867,0.1834,0.1314,0.2355,5122,0.1991,0.1537,0.2445,3475,0.1745,0.1281,0.2208,5430,0.1883,0.1371,0.2394
202609070107,2026-09-07,01,07R,3319,0.1506,0.1159,0.1854,3653,0.2299,0.1805,0.2792,4877,0.1305,0.0931,0.168,3277,0.1609,0.1194,0.2024,5181,0.175,0.1362,0.2139,4181,0.2062,0.1614,0.251
202609070108,2026-09-07,01,08R,4027,0.1629,0.123,0.2028,4440,0.1691,0.1196,0.2187,5107,0.1906,0.1486,0.2325,4161,0.1442,0.1065,0.1818,4019,0.1616,0.1221,0.2012,4195,0.1565,0.1205,0.1925
202609070109,2026-09-07,01,09R,4232,0.1536,0.1105,0.1968,3686,0.1712,0.1396,0.2029,4025,0.1606,0.1172,0.2039,5012,0.1445,0.1075,0.1815,4033,0.1385,0.1024,0.1746,3681,0.1775,0.1359,0.2192
202609070110,2026-09-07,01,10R,5228,0.1558,0.1142,0.1973,3946,0.1546,0.1202,0.189,4040,0.1341,0.0941,0.1742,3852,0.182,0.1394,0.2246,4943,0.1386,0.0946,0.1826,4531,0.16,0.1205,0.1994
