レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609130512,2026-09-13,05,12R,4140,0.1608,0.1223,0.1993,3997,0.1462,0.1105,0.1818,4587,0.1826,0.1255,0.2396,4227,0.1629,0.1174,0.2084,3582,0.1527,0.1156,0.1898,3947,0.1756,0.1363,0.2149
202609130601,2026-09-13,06,01R,3286,0.154,0.1129,0.195,3906,0.215,0.1685,0.2616,3939,0.1658,0.1286,0.2029,3777,0.2179,0.1748,0.2611,4811,0.1506,0.1116,0.1896,5463,0.2145,0.1634,0.2656
202609130602,2026-09-13,06,02R,4684,0.1194,0.0834,0.1553,4269,0.1347,0.1034,0.166,3627,0.1903,0.1499,0.2307,5091,0.1507,0.1129,0.1885,5369,0.1485,0.1061,0.191,4358,0.2232,0.1814,0.265
202609130603,2026-09-13,06,03R,4899,0.142,0.0962,0.1878,4345,0.1586,0.1224,0.1947,4431,0.1523,0.1043,0.2002,3516,0.1605,0.1169,0.2041,3721,0.1118,0.0772,0.1465,4336,0.1518,0.1157,0.1879
202609130604,2026-09-13,06,04R,4798,0.1022,0.0652,0.1392,4639,0.1529,0.108,0.1978,4666,0.1405,0.1,0.181,3796,0.1542,0.1047,0.2037,3392,0.1844,0.1414,0.2275,5353,0.2141,0.1665,0.2618
202609130605,2026-09-13,06,05R,4876,0.1475,0.1114,0.1837,3939,0.1718,0.1346,0.2089,5066,0.1416,0.0999,0.1832,4434,0.1577,0.1223,0.1931,4369,0.1368,0.0942,0.1794,3842,0.1918,0.1483,0.2352
202609130606,2026-09-13,06,06R,4022,0.1279,0.0898,0.1661,4654,0.1501,0.1121,0.1881,4381,0.1497,0.1114,0.1881,5369,0.1456,0.1032,0.1881,5463,0.201,0.1499,0.2521,4150,0.144,0.1107,0.1774
202609130607,2026-09-13,06,07R,3516,0.156,0.1124,0.1996,4677,0.1397,0.1059,0.1735,3306,0.1457,0.1015,0.1899,3286,0.1585,0.1174,0.1995,4588,0.1346,0.0963,0.1728,3811,0.1737,0.1354,0.212
202609130608,2026-09-13,06,08R,3777,0.2134,0.1703,0.2566,3796,0.1572,0.1077,0.2067,5091,0.1477,0.1099,0.1855,4967,0.1507,0.1119,0.1896,3714,0.1417,0.1023,0.1811,4431,0.1717,0.1237,0.2196
202609130609,2026-09-13,06,09R,4666,0.139,0.0985,0.1795,3721,0.1119,0.0773,0.1466,4684,0.1209,0.0849,0.1568,4068,0.1465,0.1064,0.1866,3906,0.2149,0.1684,0.2615,4066,0.1682,0.1294,0.207
