レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609140201,2026-09-14,02,01R,5259,0.1563,0.1074,0.2051,4973,0.187,0.1475,0.2264,3814,0.1909,0.1471,0.2347,3161,0.1599,0.113,0.2069,5008,0.1279,0.0925,0.1633,5455,0.1981,0.13,0.2662
202609140202,2026-09-14,02,02R,4555,0.1642,0.1246,0.2037,4388,0.1553,0.1177,0.1928,5313,0.1654,0.1228,0.2081,4363,0.1358,0.1024,0.1691,3692,0.1386,0.0987,0.1784,4846,0.1899,0.1491,0.2307
202609140203,2026-09-14,02,03R,3834,0.162,0.1137,0.2104,4674,0.1393,0.1056,0.173,4883,0.1377,0.0986,0.1769,4615,0.1766,0.1338,0.2195,5038,0.1393,0.0989,0.1796,4649,0.1361,0.0998,0.1724
202609140204,2026-09-14,02,04R,3589,0.1595,0.1164,0.2027,4887,0.1508,0.1158,0.1857,4539,0.1213,0.0905,0.1521,4706,0.1918,0.1496,0.2339,4451,0.1403,0.0982,0.1825,4866,0.1821,0.1425,0.2217
202609140205,2026-09-14,02,05R,4886,0.1255,0.0796,0.1713,4631,0.1691,0.1265,0.2118,5008,0.122,0.0866,0.1574,4467,0.1383,0.1053,0.1713,4325,0.1555,0.119,0.192,4692,0.1642,0.1218,0.2065
202609140206,2026-09-14,02,06R,4708,0.1904,0.148,0.2327,4846,0.1765,0.1357,0.2173,5126,0.1331,0.097,0.1692,3711,0.1634,0.1265,0.2003,5313,0.1713,0.1287,0.214,4572,0.1596,0.1189,0.2003
202609140207,2026-09-14,02,07R,4578,0.1533,0.1096,0.1971,3692,0.1387,0.0988,0.1785,4649,0.1167,0.0804,0.153,3075,0.1176,0.0755,0.1598,5455,0.1846,0.1165,0.2527,3834,0.1829,0.1346,0.2313
202609140208,2026-09-14,02,08R,3072,0.1539,0.1132,0.1946,4706,0.1948,0.1526,0.2369,3161,0.1569,0.11,0.2039,3814,0.1939,0.1501,0.2377,4674,0.1392,0.1055,0.1729,4887,0.1642,0.1292,0.1991
202609140209,2026-09-14,02,09R,4866,0.1612,0.1216,0.2008,4539,0.1273,0.0965,0.1581,4615,0.1736,0.1308,0.2165,4388,0.1523,0.1147,0.1898,4973,0.1869,0.1474,0.2263,4631,0.1825,0.1399,0.2252
202609140210,2026-09-14,02,10R,5038,0.1319,0.0915,0.1722,4363,0.1388,0.1054,0.1721,3711,0.1604,0.1235,0.1973,4883,0.1407,0.1016,0.1799,4886,0.1329,0.087,0.1787,3589,0.1804,0.1373,0.2236
202609140211,2026-09-14,02,11R,4451,0.1329,0.0908,0.1751,4467,0.1413,0.1083,0.1743,3075,0.1146,0.0725,0.1568,5126,0.1361,0.1,0.1722,4578,0.1607,0.117,0.2045,4555,0.1851,0.1455,0.2246
202609140212,2026-09-14,02,12R,4370,0.1351,0.0927,0.1776,4762,0.122,0.0844,0.1596,4351,0.1277,0.0907,0.1648,5220,0.1066,0.0673,0.1459,4163,0.1547,0.116,0.1934,4295,0.1364,0.0976,0.1752
202609140401,2026-09-14,04,01R,3432,0.1734,0.1302,0.2166,4367,0.2003,0.1537,0.247,5023,0.1674,0.122,0.2127,3313,0.16,0.1171,0.2028,4697,0.1649,0.1188,0.211,5393,0.2238,0.1655,0.2822
202609140402,2026-09-14,04,02R,4880,0.149,0.1105,0.1874,5105,0.1714,0.1301,0.2127,4659,0.1385,0.0982,0.1787,5081,0.196,0.1517,0.2402,4863,0.1735,0.1317,0.2154,3951,0.217,0.175,0.259
202609140403,2026-09-14,04,03R,3107,0.1706,0.1269,0.2143,3771,0.1391,0.0999,0.1782,3747,0.1443,0.1063,0.1823,4200,0.1629,0.118,0.2077,4769,0.1134,0.0785,0.1482,5031,0.1663,0.1213,0.2112
202609140404,2026-09-14,04,04R,4421,0.182,0.1212,0.2428,4272,0.1438,0.1027,0.1849,3105,0.1486,0.1115,0.1857,4508,0.1864,0.1415,0.2312,5237,0.1601,0.1189,0.2012,3439,0.1648,0.1291,0.2005
202609140405,2026-09-14,04,05R,3564,0.1495,0.1099,0.1891,4976,0.1858,0.1387,0.2329,3857,0.179,0.1385,0.2195,4377,0.1401,0.1006,0.1796,3915,0.1866,0.1426,0.2305,3876,0.1812,0.1394,0.2229
202609140406,2026-09-14,04,06R,4651,0.1567,0.1116,0.2018,4053,0.1749,0.1326,0.2173,3904,0.1572,0.1166,0.1978,4367,0.1973,0.1507,0.244,4104,0.1364,0.0977,0.1751,4932,0.1597,0.1167,0.2027
202609140407,2026-09-14,04,07R,4180,0.142,0.1051,0.1789,3432,0.1809,0.1377,0.2241,4610,0.1631,0.1104,0.2158,5022,0.16,0.1204,0.1995,4082,0.1917,0.1458,0.2377,5424,0.2091,0.1619,0.2563
202609140408,2026-09-14,04,08R,5023,0.1659,0.1205,0.2112,4422,0.1574,0.1164,0.1983,3963,0.1519,0.1081,0.1958,3771,0.1361,0.0969,0.1752,5081,0.1989,0.1546,0.2431,5209,0.1982,0.1535,0.243
202609140409,2026-09-14,04,09R,5104,0.1414,0.1056,0.1772,3800,0.1591,0.1076,0.2107,3107,0.1721,0.1284,0.2158,4697,0.162,0.1159,0.2081,4508,0.1893,0.1444,0.2341,4863,0.187,0.1452,0.2289
202609140410,2026-09-14,04,10R,4377,0.1356,0.0961,0.1751,3747,0.1503,0.1123,0.1883,4272,0.1378,0.0967,0.1789,3385,0.1487,0.1087,0.1887,3951,0.2035,0.1615,0.2455,3313,0.1764,0.1335,0.2192
202609140411,2026-09-14,04,11R,4288,0.1002,0.0623,0.138,3915,0.1867,0.1427,0.2306,5031,0.1469,0.1019,0.1918,5004,0.1621,0.1186,0.2055,4880,0.1564,0.1179,0.1948,4053,0.1883,0.146,0.2307
202609140412,2026-09-14,04,12R,4610,0.1616,0.1089,0.2143,3439,0.1514,0.1157,0.1871,3876,0.1618,0.12,0.2035,4769,0.1105,0.0756,0.1453,4932,0.1462,0.1032,0.1892,4659,0.1579,0.1176,0.1981
202609140601,2026-09-14,06,01R,3392,0.1785,0.1363,0.2208,5349,0.2074,0.1637,0.251,4876,0.1491,0.1134,0.1849,4022,0.1343,0.0968,0.1719,3516,0.1624,0.1198,0.205,4068,0.1622,0.1225,0.2019
202609140602,2026-09-14,06,02R,5369,0.1483,0.0995,0.1972,3714,0.1426,0.1036,0.1816,4066,0.148,0.1096,0.1864,3939,0.1712,0.1347,0.2078,4666,0.1454,0.1059,0.1848,4588,0.1478,0.1103,0.1852
202609140603,2026-09-14,06,03R,3906,0.2074,0.1619,0.253,4684,0.1266,0.0915,0.1616,4381,0.148,0.1096,0.1865,4677,0.137,0.1035,0.1706,4150,0.1317,0.099,0.1645,3796,0.1709,0.1226,0.2193
202609140604,2026-09-14,06,04R,5066,0.1389,0.0982,0.1797,4336,0.135,0.0989,0.1711,4358,0.2037,0.1609,0.2465,3842,0.1772,0.1338,0.2205,5091,0.1548,0.1175,0.192,5463,0.2162,0.1665,0.2659
202609140605,2026-09-14,06,05R,4811,0.146,0.1067,0.1852,3777,0.2206,0.1769,0.2642,5353,0.1955,0.1486,0.2424,4431,0.1526,0.1058,0.1995,4654,0.147,0.1077,0.1863,4269,0.149,0.1182,0.1797
202609140606,2026-09-14,06,06R,4369,0.1307,0.0888,0.1725,3516,0.1625,0.1199,0.2051,4639,0.147,0.1027,0.1913,4899,0.1504,0.0991,0.2018,4434,0.1594,0.1241,0.1946,4967,0.165,0.1266,0.2035
202609140607,2026-09-14,06,07R,3721,0.1065,0.0717,0.1413,4588,0.1344,0.0969,0.1718,3796,0.1515,0.1032,0.1999,4876,0.1521,0.1164,0.1879,3286,0.169,0.1257,0.2122,4798,0.1214,0.0847,0.1581
